#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.96
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 8
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0116832000 0.8597166000 0.1286002000 0.0003464361 0.0011423653 0.0010526081
0.26000 0.0122250000 0.8445079000 0.1432671000 0.0003269742 0.0011868806 0.0010971278
0.27000 0.0126756000 0.8301499000 0.1571745000 0.0003395907 0.0010491656 0.0009755520
0.28000 0.0130260000 0.8162696000 0.1707044000 0.0003646418 0.0012107131 0.0011861748
0.29000 0.0132797000 0.8024476000 0.1842727000 0.0003175648 0.0010501458 0.0010175588
0.30000 0.0134452000 0.7890995000 0.1974553000 0.0003731208 0.0013068757 0.0013410402
0.31000 0.0135260000 0.7757998000 0.2106742000 0.0003900609 0.0013912352 0.0013395334
0.32000 0.0135956000 0.7627526000 0.2236518000 0.0003605196 0.0012992334 0.0012880856
0.33000 0.0135373000 0.7496150000 0.2368477000 0.0003759160 0.0014280272 0.0013821831
0.34000 0.0135685000 0.7367213000 0.2497102000 0.0004198277 0.0015051921 0.0014712168
0.35000 0.0134323000 0.7240031000 0.2625646000 0.0003339928 0.0014316507 0.0014064005
0.36000 0.0133139000 0.7114327000 0.2752534000 0.0003718202 0.0012511149 0.0012105589
0.37000 0.0131946000 0.6990655000 0.2877399000 0.0003155416 0.0015056603 0.0014657659
0.38000 0.0130060000 0.6867127000 0.3002813000 0.0003920086 0.0015126990 0.0014873437
0.39000 0.0127813000 0.6743638000 0.3128549000 0.0003443678 0.0013592703 0.0013163007
0.40000 0.0126485000 0.6623085000 0.3250430000 0.0003957639 0.0016614509 0.0016314488
0.41000 0.0123934000 0.6507876000 0.3368190000 0.0003370646 0.0014258261 0.0014151136
0.42000 0.0121576000 0.6390557000 0.3487867000 0.0003156975 0.0015874879 0.0015256355
0.43000 0.0119028000 0.6277190000 0.3603782000 0.0003374236 0.0015457230 0.0015098755
0.44000 0.0117707000 0.6161293000 0.3721000000 0.0003217040 0.0014567386 0.0013998983
0.45000 0.0114971000 0.6050506000 0.3834523000 0.0003024422 0.0015055559 0.0015005304
0.46000 0.0113371000 0.5941111000 0.3945518000 0.0003628097 0.0016559522 0.0015738311
0.47000 0.0111052000 0.5832774000 0.4056174000 0.0003060979 0.0014774621 0.0014942054
0.48000 0.0108250000 0.5725168000 0.4166582000 0.0003296356 0.0014404256 0.0014485893
0.49000 0.0105935000 0.5619558000 0.4274507000 0.0002772753 0.0015662328 0.0015567638
0.50000 0.0104038000 0.5516762000 0.4379200000 0.0003251411 0.0016828888 0.0016324098
