#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.97
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 12
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0634310000 0.8379109000 0.0986581000 0.0008047052 0.0012751978 0.0010200859
0.26000 0.0619050000 0.8279486000 0.1101464000 0.0007840435 0.0013980015 0.0011619946
0.27000 0.0604109000 0.8180818000 0.1215073000 0.0006816663 0.0010567688 0.0010060573
0.28000 0.0589496000 0.8084434000 0.1326070000 0.0007749460 0.0011472552 0.0010381048
0.29000 0.0574792000 0.7990110000 0.1435098000 0.0007519667 0.0011188780 0.0009979211
0.30000 0.0560459000 0.7896263000 0.1543278000 0.0006832780 0.0011965689 0.0010476955
0.31000 0.0549427000 0.7798159000 0.1652414000 0.0007268638 0.0011514120 0.0010514406
0.32000 0.0535332000 0.7699973000 0.1764695000 0.0007442288 0.0013281854 0.0012230236
0.33000 0.0523329000 0.7606899000 0.1869772000 0.0006252697 0.0013508011 0.0012985922
0.34000 0.0512626000 0.7509053000 0.1978321000 0.0006766654 0.0013022579 0.0012112272
0.35000 0.0501708000 0.7405849000 0.2092443000 0.0007406449 0.0013355977 0.0013765616
0.36000 0.0492277000 0.7309766000 0.2197957000 0.0007630916 0.0013820284 0.0014091213
0.37000 0.0480646000 0.7210530000 0.2308824000 0.0006444486 0.0014453628 0.0013497707
0.38000 0.0469957000 0.7116616000 0.2413427000 0.0007211428 0.0015301711 0.0013943782
0.39000 0.0462043000 0.7015088000 0.2522869000 0.0006410459 0.0015334073 0.0013803159
0.40000 0.0452585000 0.6916501000 0.2630914000 0.0006945362 0.0015819886 0.0014882496
0.41000 0.0442287000 0.6817798000 0.2739915000 0.0007633679 0.0015829515 0.0014128425
0.42000 0.0433443000 0.6720675000 0.2845882000 0.0006254183 0.0013587088 0.0012585316
0.43000 0.0426152000 0.6624005000 0.2949843000 0.0006217383 0.0014621483 0.0015316363
0.44000 0.0416943000 0.6529936000 0.3053121000 0.0005487935 0.0016618187 0.0015824960
0.45000 0.0409576000 0.6431456000 0.3158968000 0.0005533774 0.0015197005 0.0014720884
0.46000 0.0400637000 0.6339004000 0.3260359000 0.0005790181 0.0016228202 0.0015587752
0.47000 0.0393451000 0.6246147000 0.3360402000 0.0006322071 0.0014880089 0.0013776081
0.48000 0.0386142000 0.6150527000 0.3463331000 0.0005765417 0.0016538158 0.0015639220
0.49000 0.0379395000 0.6058000000 0.3562605000 0.0005297043 0.0016652351 0.0016729158
0.50000 0.0372108000 0.5965381000 0.3662511000 0.0005775509 0.0016564601 0.0016685365
