#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 4
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0113661000 0.8575076000 0.1311263000 0.0003153574 0.0010427790 0.0010557401
0.26000 0.0112071000 0.8476410000 0.1411519000 0.0003497453 0.0011601310 0.0011105524
0.27000 0.0110694000 0.8380844000 0.1508462000 0.0003297376 0.0010282066 0.0010336654
0.28000 0.0108947000 0.8279526000 0.1611527000 0.0003303242 0.0012899218 0.0012838766
0.29000 0.0105962000 0.8180848000 0.1713190000 0.0003590216 0.0011318917 0.0010974778
0.30000 0.0104972000 0.8076614000 0.1818414000 0.0003054359 0.0012121023 0.0012219838
0.31000 0.0102805000 0.7976499000 0.1920696000 0.0002934173 0.0011472933 0.0011596490
0.32000 0.0100269000 0.7869880000 0.2029851000 0.0003059303 0.0011766199 0.0011381915
0.33000 0.0098216000 0.7769348000 0.2132436000 0.0002988960 0.0012680849 0.0012960145
0.34000 0.0096591000 0.7663713000 0.2239696000 0.0003189791 0.0013299659 0.0013268265
0.35000 0.0094484000 0.7562588000 0.2342928000 0.0002929947 0.0013941952 0.0014007091
0.36000 0.0093058000 0.7456143000 0.2450799000 0.0002938019 0.0016081706 0.0016072880
0.37000 0.0090908000 0.7351690000 0.2557402000 0.0003247367 0.0013539665 0.0013748212
0.38000 0.0089275000 0.7248780000 0.2661945000 0.0003207295 0.0013821101 0.0014046915
0.39000 0.0087622000 0.7140834000 0.2771544000 0.0003246648 0.0014844066 0.0014431855
0.40000 0.0085819000 0.7041996000 0.2872185000 0.0002959412 0.0015261902 0.0015056516
0.41000 0.0083656000 0.6935006000 0.2981338000 0.0002864175 0.0014706687 0.0014913764
0.42000 0.0082340000 0.6836404000 0.3081256000 0.0002778634 0.0014029024 0.0013670386
0.43000 0.0080708000 0.6732767000 0.3186525000 0.0003034604 0.0014970126 0.0014800637
0.44000 0.0078982000 0.6631133000 0.3289885000 0.0002642251 0.0014250699 0.0013979201
0.45000 0.0077295000 0.6528224000 0.3394481000 0.0002760046 0.0013850560 0.0013998374
0.46000 0.0075806000 0.6430225000 0.3493969000 0.0002564868 0.0014684255 0.0014859862
0.47000 0.0074389000 0.6330945000 0.3594666000 0.0002711066 0.0015233392 0.0015440824
0.48000 0.0072512000 0.6235550000 0.3691938000 0.0002871887 0.0015995735 0.0015992787
0.49000 0.0071183000 0.6136233000 0.3792584000 0.0002671097 0.0016575728 0.0016758623
0.50000 0.0069940000 0.6041833000 0.3888227000 0.0002186460 0.0015406853 0.0015031286
