#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 9
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0112893000 0.8314126000 0.1572981000 0.0003208236 0.0011120530 0.0010925965
0.26000 0.0119185000 0.8139239000 0.1741576000 0.0003800887 0.0012259104 0.0012837501
0.27000 0.0122398000 0.7971574000 0.1906028000 0.0003364430 0.0014068710 0.0013459622
0.28000 0.0126212000 0.7806943000 0.2066845000 0.0003427850 0.0011841480 0.0012012631
0.29000 0.0128841000 0.7649695000 0.2221464000 0.0003427756 0.0012039307 0.0011852226
0.30000 0.0129920000 0.7497947000 0.2372133000 0.0003471907 0.0013435032 0.0012745180
0.31000 0.0130024000 0.7348882000 0.2521094000 0.0003376482 0.0013769975 0.0013208536
0.32000 0.0131003000 0.7198719000 0.2670278000 0.0003798310 0.0013114058 0.0012368717
0.33000 0.0131047000 0.7054634000 0.2814319000 0.0003501845 0.0015508539 0.0015080991
0.34000 0.0130837000 0.6908768000 0.2960395000 0.0003611196 0.0015497330 0.0015749852
0.35000 0.0129489000 0.6767775000 0.3102736000 0.0003753702 0.0015410225 0.0015734512
0.36000 0.0128041000 0.6631930000 0.3240029000 0.0003555905 0.0016473109 0.0015562330
0.37000 0.0125793000 0.6490236000 0.3383971000 0.0003958172 0.0014886972 0.0014533551
0.38000 0.0124409000 0.6360498000 0.3515093000 0.0003638906 0.0015334914 0.0015237595
0.39000 0.0122106000 0.6228968000 0.3648926000 0.0003071630 0.0013779724 0.0013115236
0.40000 0.0121340000 0.6098554000 0.3780106000 0.0004026127 0.0016466632 0.0016366891
0.41000 0.0118330000 0.5972877000 0.3908793000 0.0003261050 0.0014367731 0.0014213120
0.42000 0.0115929000 0.5848051000 0.4036020000 0.0003600962 0.0014921921 0.0014966150
0.43000 0.0113116000 0.5730188000 0.4156696000 0.0003373896 0.0014439447 0.0014520142
0.44000 0.0111081000 0.5611232000 0.4277687000 0.0003080427 0.0018097061 0.0018029032
0.45000 0.0108940000 0.5489024000 0.4402036000 0.0003314523 0.0014243958 0.0014244783
0.46000 0.0106808000 0.5377143000 0.4516049000 0.0003123960 0.0013969059 0.0013378065
0.47000 0.0104531000 0.5264790000 0.4630679000 0.0003202609 0.0013876239 0.0013647779
0.48000 0.0102314000 0.5151849000 0.4745837000 0.0002931784 0.0016520526 0.0016709174
0.49000 0.0099681000 0.5051616000 0.4848703000 0.0003342856 0.0015468715 0.0015161651
0.50000 0.0097808000 0.4942511000 0.4959681000 0.0003325587 0.0018008213 0.0017954756
