#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 0
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0085115000 0.5515028000 0.4399857000 0.0002812540 0.0014675673 0.0014404203
0.26000 0.0083065000 0.5307444000 0.4609491000 0.0002633942 0.0014895103 0.0014747170
0.27000 0.0080703000 0.5110598000 0.4808699000 0.0003110798 0.0015026381 0.0015123408
0.28000 0.0078012000 0.4918955000 0.5003033000 0.0002625334 0.0017998094 0.0018151145
0.29000 0.0075294000 0.4738335000 0.5186371000 0.0003251133 0.0016252760 0.0016498254
0.30000 0.0073221000 0.4562855000 0.5363924000 0.0002727944 0.0016900938 0.0017257410
0.31000 0.0070774000 0.4396540000 0.5532686000 0.0002821334 0.0014346604 0.0014170599
0.32000 0.0067904000 0.4235251000 0.5696845000 0.0002334628 0.0016314946 0.0016343765
0.33000 0.0065840000 0.4079802000 0.5854358000 0.0002666288 0.0014516469 0.0013921992
0.34000 0.0063387000 0.3932890000 0.6003723000 0.0002637287 0.0014434908 0.0014902307
0.35000 0.0060870000 0.3789481000 0.6149649000 0.0002348802 0.0016044356 0.0015971411
0.36000 0.0059189000 0.3658117000 0.6282694000 0.0002174364 0.0013243066 0.0012979711
0.37000 0.0057173000 0.3526450000 0.6416377000 0.0002388223 0.0016486477 0.0016852892
0.38000 0.0055064000 0.3404107000 0.6540829000 0.0002526207 0.0015776298 0.0015620922
0.39000 0.0053312000 0.3286236000 0.6660452000 0.0002250534 0.0014536909 0.0014380946
0.40000 0.0051351000 0.3174473000 0.6774176000 0.0002348070 0.0012589677 0.0012422805
0.41000 0.0049160000 0.3065469000 0.6885371000 0.0002162677 0.0016207834 0.0016063210
0.42000 0.0048179000 0.2962487000 0.6989334000 0.0001967786 0.0013355819 0.0013305989
0.43000 0.0046615000 0.2862249000 0.7091136000 0.0002221855 0.0014364606 0.0014342657
0.44000 0.0045085000 0.2767932000 0.7186983000 0.0002106430 0.0014315083 0.0014451438
0.45000 0.0043280000 0.2678650000 0.7278070000 0.0001900824 0.0014106195 0.0014481095
0.46000 0.0041883000 0.2592614000 0.7365503000 0.0002149609 0.0013786980 0.0013707945
0.47000 0.0040298000 0.2508691000 0.7451011000 0.0002173345 0.0012063143 0.0012592983
0.48000 0.0039110000 0.2429337000 0.7531553000 0.0001875493 0.0013792332 0.0013864033
0.49000 0.0037839000 0.2352202000 0.7609959000 0.0001993317 0.0012571243 0.0012861006
0.50000 0.0036714000 0.2279412000 0.7683874000 0.0001983723 0.0013005114 0.0012936173
