#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 14
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0668319000 0.8985612000 0.0346069000 0.0007379985 0.0009649664 0.0006361877
0.26000 0.0657944000 0.8953398000 0.0388658000 0.0008896592 0.0010199009 0.0006626244
0.27000 0.0645991000 0.8922209000 0.0431800000 0.0008435293 0.0010189310 0.0006050528
0.28000 0.0635854000 0.8889488000 0.0474658000 0.0008131066 0.0010075806 0.0007394568
0.29000 0.0624331000 0.8857070000 0.0518599000 0.0007524407 0.0010010414 0.0007641018
0.30000 0.0613143000 0.8823977000 0.0562880000 0.0007748786 0.0010182515 0.0007834707
0.31000 0.0604444000 0.8787438000 0.0608118000 0.0007799797 0.0010928924 0.0007884858
0.32000 0.0594999000 0.8751190000 0.0653811000 0.0007434461 0.0010686501 0.0008173682
0.33000 0.0584515000 0.8715080000 0.0700405000 0.0007204339 0.0011496754 0.0008631530
0.34000 0.0576382000 0.8676347000 0.0747271000 0.0007384948 0.0010729262 0.0008052884
0.35000 0.0568558000 0.8636595000 0.0794847000 0.0007229040 0.0011169732 0.0008695947
0.36000 0.0560477000 0.8596854000 0.0842669000 0.0007304653 0.0011482322 0.0008856747
0.37000 0.0554562000 0.8552334000 0.0893104000 0.0007107469 0.0011239677 0.0009434826
0.38000 0.0545350000 0.8510990000 0.0943660000 0.0007206696 0.0010814249 0.0010286227
0.39000 0.0538781000 0.8466388000 0.0994831000 0.0006523117 0.0009185587 0.0008991912
0.40000 0.0531658000 0.8423250000 0.1045092000 0.0007481238 0.0012225982 0.0010360606
0.41000 0.0525979000 0.8378204000 0.1095817000 0.0007688064 0.0011787743 0.0010520745
0.42000 0.0517399000 0.8333619000 0.1148982000 0.0006447699 0.0011161032 0.0010654789
0.43000 0.0512936000 0.8285794000 0.1201270000 0.0006305465 0.0010885667 0.0010458475
0.44000 0.0506335000 0.8237645000 0.1256020000 0.0007217520 0.0012164648 0.0010266952
0.45000 0.0502767000 0.8187095000 0.1310138000 0.0006922384 0.0011081875 0.0009830727
0.46000 0.0495608000 0.8139664000 0.1364728000 0.0006351945 0.0011258043 0.0009805998
0.47000 0.0491652000 0.8087101000 0.1421247000 0.0006377161 0.0012448678 0.0010742951
0.48000 0.0485832000 0.8035517000 0.1478651000 0.0007099735 0.0013350489 0.0010892936
0.49000 0.0481863000 0.7985301000 0.1532836000 0.0006826991 0.0013724677 0.0011750646
0.50000 0.0475823000 0.7937270000 0.1586907000 0.0007034229 0.0011670134 0.0010635364
