#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.98
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 13
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0650814000 0.8674457000 0.0674729000 0.0007506644 0.0010101148 0.0007401806
0.26000 0.0637178000 0.8607410000 0.0755412000 0.0007913032 0.0012638857 0.0008408260
0.27000 0.0623946000 0.8538604000 0.0837450000 0.0008253501 0.0012433979 0.0009824783
0.28000 0.0610805000 0.8471136000 0.0918059000 0.0008256487 0.0011082615 0.0008576090
0.29000 0.0597627000 0.8405721000 0.0996652000 0.0007103845 0.0010590164 0.0009279449
0.30000 0.0586610000 0.8336944000 0.1076446000 0.0007517340 0.0010648434 0.0008618379
0.31000 0.0573924000 0.8268696000 0.1157380000 0.0006865330 0.0012593817 0.0009816725
0.32000 0.0563204000 0.8197546000 0.1239250000 0.0007413800 0.0013333064 0.0011433360
0.33000 0.0552243000 0.8128155000 0.1319602000 0.0006526887 0.0011383812 0.0010667576
0.34000 0.0542617000 0.8053208000 0.1404175000 0.0007109604 0.0013053423 0.0011561530
0.35000 0.0532127000 0.7982499000 0.1485374000 0.0007059571 0.0013054853 0.0010919629
0.36000 0.0522293000 0.7907157000 0.1570550000 0.0006500431 0.0012804791 0.0010818227
0.37000 0.0515565000 0.7829796000 0.1654639000 0.0007184008 0.0013562932 0.0011570285
0.38000 0.0505542000 0.7758496000 0.1735962000 0.0006482084 0.0013441741 0.0011731515
0.39000 0.0495465000 0.7682320000 0.1822215000 0.0006729603 0.0012548049 0.0011445403
0.40000 0.0488608000 0.7603172000 0.1908220000 0.0006668071 0.0012708735 0.0011262049
0.41000 0.0481606000 0.7526743000 0.1991651000 0.0006466976 0.0012660463 0.0011193383
0.42000 0.0472526000 0.7448851000 0.2078623000 0.0006438295 0.0013003834 0.0011983624
0.43000 0.0463757000 0.7371363000 0.2164880000 0.0007678505 0.0013092682 0.0013337969
0.44000 0.0457495000 0.7291441000 0.2251064000 0.0006413596 0.0014349625 0.0012469109
0.45000 0.0450126000 0.7213875000 0.2335999000 0.0007430793 0.0014903517 0.0012825633
0.46000 0.0443279000 0.7136595000 0.2420126000 0.0007079624 0.0014493875 0.0014029951
0.47000 0.0436550000 0.7057106000 0.2506344000 0.0006024236 0.0016005156 0.0014843931
0.48000 0.0429762000 0.6977394000 0.2592844000 0.0006037321 0.0013457204 0.0012698257
0.49000 0.0424055000 0.6898668000 0.2677277000 0.0006987527 0.0015822097 0.0014912268
0.50000 0.0417499000 0.6820253000 0.2762248000 0.0006737780 0.0016316574 0.0015507290
