#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.98
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 3
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0104260000 0.7561504000 0.2334236000 0.0003218915 0.0014228992 0.0013585387
0.26000 0.0102427000 0.7406113000 0.2491460000 0.0003233376 0.0015531738 0.0015283040
0.27000 0.0100184000 0.7258147000 0.2641669000 0.0002994936 0.0012920428 0.0012578005
0.28000 0.0097758000 0.7107611000 0.2794631000 0.0003155056 0.0012811381 0.0013095181
0.29000 0.0095933000 0.6956968000 0.2947099000 0.0002801481 0.0014294026 0.0014569461
0.30000 0.0092929000 0.6809323000 0.3097748000 0.0003108389 0.0015831332 0.0015438915
0.31000 0.0090942000 0.6661380000 0.3247678000 0.0002731196 0.0015052715 0.0014794748
0.32000 0.0088675000 0.6518393000 0.3392932000 0.0002997857 0.0014783141 0.0014845051
0.33000 0.0086228000 0.6374136000 0.3539636000 0.0002494482 0.0015935074 0.0015786995
0.34000 0.0083957000 0.6234739000 0.3681304000 0.0003274550 0.0015922019 0.0015588522
0.35000 0.0081679000 0.6093419000 0.3824902000 0.0003344294 0.0016144028 0.0016085893
0.36000 0.0079760000 0.5960038000 0.3960202000 0.0002780597 0.0016503656 0.0016089466
0.37000 0.0077439000 0.5823846000 0.4098715000 0.0002874580 0.0014312984 0.0014274491
0.38000 0.0075818000 0.5693944000 0.4230238000 0.0003006672 0.0015828145 0.0015502713
0.39000 0.0073502000 0.5564206000 0.4362292000 0.0002901061 0.0018099293 0.0018539391
0.40000 0.0071600000 0.5435214000 0.4493186000 0.0002516290 0.0015103950 0.0014901325
0.41000 0.0069256000 0.5317185000 0.4613559000 0.0002743452 0.0015311119 0.0015066433
0.42000 0.0067837000 0.5192282000 0.4739881000 0.0002367953 0.0013958115 0.0013902661
0.43000 0.0065847000 0.5075466000 0.4858687000 0.0002599396 0.0018041788 0.0017938546
0.44000 0.0064283000 0.4964447000 0.4971270000 0.0002439823 0.0014488410 0.0014797690
0.45000 0.0062769000 0.4847864000 0.5089367000 0.0002183163 0.0013148096 0.0012938144
0.46000 0.0060664000 0.4737620000 0.5201716000 0.0002512816 0.0016629267 0.0016305361
0.47000 0.0059287000 0.4629013000 0.5311700000 0.0002182652 0.0015633205 0.0015668407
0.48000 0.0058340000 0.4524213000 0.5417447000 0.0002275606 0.0014258831 0.0014550563
0.49000 0.0056507000 0.4422127000 0.5521366000 0.0002583290 0.0014636248 0.0014866655
0.50000 0.0054881000 0.4319830000 0.5625289000 0.0002129670 0.0013139504 0.0013083229
