#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.97
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 7
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0119181000 0.8892953000 0.0987866000 0.0003644359 0.0009672020 0.0009473751
0.26000 0.0126253000 0.8771099000 0.1102648000 0.0003494164 0.0010786556 0.0009780691
0.27000 0.0130849000 0.8653262000 0.1215889000 0.0003490029 0.0010291693 0.0010056285
0.28000 0.0135091000 0.8539461000 0.1325448000 0.0003847736 0.0010141453 0.0009922268
0.29000 0.0137456000 0.8427294000 0.1435250000 0.0003531570 0.0009869122 0.0009294687
0.30000 0.0139704000 0.8314184000 0.1546112000 0.0004028833 0.0011423206 0.0010919081
0.31000 0.0140329000 0.8205010000 0.1654661000 0.0003594786 0.0011915235 0.0011221596
0.32000 0.0141242000 0.8095656000 0.1763102000 0.0003809058 0.0012850966 0.0013079786
0.33000 0.0140876000 0.7984651000 0.1874473000 0.0003901052 0.0010302481 0.0010614045
0.34000 0.0140818000 0.7877760000 0.1981422000 0.0003611021 0.0014933834 0.0014430856
0.35000 0.0140304000 0.7770164000 0.2089532000 0.0003697854 0.0013347406 0.0012876922
0.36000 0.0138966000 0.7663090000 0.2197944000 0.0002960556 0.0012604621 0.0012068218
0.37000 0.0137770000 0.7552787000 0.2309443000 0.0004094330 0.0012467701 0.0012126432
0.38000 0.0136088000 0.7447997000 0.2415915000 0.0003405915 0.0014825193 0.0014234113
0.39000 0.0133893000 0.7341421000 0.2524686000 0.0003692451 0.0014583215 0.0013938545
0.40000 0.0133483000 0.7236089000 0.2630428000 0.0003900351 0.0011958454 0.0011866054
0.41000 0.0130893000 0.7128427000 0.2740680000 0.0003779965 0.0014539822 0.0014070716
0.42000 0.0128484000 0.7027440000 0.2844076000 0.0003100203 0.0015387736 0.0014770535
0.43000 0.0126250000 0.6923590000 0.2950160000 0.0003327434 0.0015899416 0.0015396884
0.44000 0.0124238000 0.6820078000 0.3055684000 0.0003183854 0.0012663425 0.0012170744
0.45000 0.0122178000 0.6719994000 0.3157828000 0.0003267303 0.0013866738 0.0014203564
0.46000 0.0119028000 0.6620801000 0.3260171000 0.0003456836 0.0014300911 0.0014002419
0.47000 0.0116949000 0.6518224000 0.3364827000 0.0003069613 0.0014198173 0.0014192243
0.48000 0.0115421000 0.6418892000 0.3465687000 0.0003764408 0.0016860118 0.0016555860
0.49000 0.0112882000 0.6320462000 0.3566656000 0.0003653762 0.0015711482 0.0015453693
0.50000 0.0110698000 0.6224926000 0.3664376000 0.0003244171 0.0013092180 0.0013701236
