#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.96
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 11
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0616876000 0.8096242000 0.1286882000 0.0008087977 0.0013328516 0.0010969557
0.26000 0.0600447000 0.7969563000 0.1429990000 0.0007582136 0.0011521738 0.0010978340
0.27000 0.0585301000 0.7847528000 0.1567171000 0.0007142935 0.0012698469 0.0011469787
0.28000 0.0568998000 0.7724029000 0.1706973000 0.0006907410 0.0013017132 0.0011671755
0.29000 0.0553725000 0.7604226000 0.1842049000 0.0007175539 0.0013960143 0.0012821395
0.30000 0.0538133000 0.7486762000 0.1975105000 0.0007137298 0.0014585026 0.0012809406
0.31000 0.0524774000 0.7366706000 0.2108520000 0.0006728390 0.0014042726 0.0012783417
0.32000 0.0511495000 0.7251455000 0.2237050000 0.0007173695 0.0014812773 0.0014531849
0.33000 0.0499746000 0.7133000000 0.2367254000 0.0007421650 0.0015276271 0.0014567436
0.34000 0.0486967000 0.7014793000 0.2498240000 0.0006541230 0.0013854250 0.0013007410
0.35000 0.0473731000 0.6897021000 0.2629248000 0.0007063488 0.0015536333 0.0014296800
0.36000 0.0462353000 0.6783418000 0.2754229000 0.0007340595 0.0015577946 0.0014513027
0.37000 0.0451044000 0.6667869000 0.2881087000 0.0006473432 0.0016075112 0.0014885405
0.38000 0.0440902000 0.6555830000 0.3003268000 0.0006566659 0.0013754680 0.0013391101
0.39000 0.0432195000 0.6443028000 0.3124777000 0.0006500666 0.0014582971 0.0015510400
0.40000 0.0420714000 0.6329424000 0.3249862000 0.0005962408 0.0016321103 0.0015695755
0.41000 0.0410954000 0.6218654000 0.3370392000 0.0005593005 0.0013886731 0.0014296123
0.42000 0.0400463000 0.6111724000 0.3487813000 0.0006058297 0.0015059090 0.0015175197
0.43000 0.0392646000 0.6001201000 0.3606153000 0.0005885480 0.0014771905 0.0014056469
0.44000 0.0382893000 0.5896434000 0.3720673000 0.0006381907 0.0018153872 0.0018222795
0.45000 0.0374711000 0.5788000000 0.3837289000 0.0005742855 0.0016430232 0.0016274948
0.46000 0.0367224000 0.5684995000 0.3947781000 0.0006481179 0.0016802648 0.0017479285
0.47000 0.0358962000 0.5584052000 0.4056986000 0.0005855823 0.0016078227 0.0015305673
0.48000 0.0349942000 0.5484952000 0.4165106000 0.0006051583 0.0015587320 0.0015026104
0.49000 0.0342919000 0.5383138000 0.4273943000 0.0006012675 0.0015304563 0.0015436277
0.50000 0.0335443000 0.5284325000 0.4380232000 0.0005366323 0.0015979054 0.0014824910
