#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.96
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 1
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0090699000 0.6075273000 0.3834028000 0.0003241321 0.0015625231 0.0015543871
0.26000 0.0088093000 0.5877553000 0.4034354000 0.0002918013 0.0015942969 0.0016087623
0.27000 0.0086050000 0.5681838000 0.4232112000 0.0002968743 0.0014022506 0.0013928253
0.28000 0.0083097000 0.5495021000 0.4421882000 0.0002831228 0.0017757794 0.0017772515
0.29000 0.0080678000 0.5314794000 0.4604528000 0.0002942293 0.0016266666 0.0015749556
0.30000 0.0078323000 0.5137716000 0.4783961000 0.0002467029 0.0018005643 0.0018069422
0.31000 0.0075976000 0.4970100000 0.4953924000 0.0002643388 0.0015995372 0.0016012496
0.32000 0.0073066000 0.4807423000 0.5119511000 0.0002793471 0.0015277063 0.0015499716
0.33000 0.0070517000 0.4653317000 0.5276166000 0.0002367416 0.0015859554 0.0015492235
0.34000 0.0068399000 0.4495213000 0.5436388000 0.0002988378 0.0016481392 0.0016707963
0.35000 0.0066474000 0.4355092000 0.5578434000 0.0002164200 0.0014808602 0.0015166891
0.36000 0.0063942000 0.4212397000 0.5723661000 0.0002791335 0.0015979175 0.0015855286
0.37000 0.0061729000 0.4076576000 0.5861695000 0.0002950682 0.0014856132 0.0014846946
0.38000 0.0059729000 0.3945219000 0.5995052000 0.0002564848 0.0014401611 0.0014246130
0.39000 0.0058311000 0.3822599000 0.6119090000 0.0002396542 0.0015216641 0.0015676634
0.40000 0.0056488000 0.3699386000 0.6244126000 0.0002315441 0.0015261379 0.0015234004
0.41000 0.0054244000 0.3583567000 0.6362189000 0.0002333477 0.0014826069 0.0014931121
0.42000 0.0052805000 0.3467060000 0.6480135000 0.0002512449 0.0015049138 0.0015124055
0.43000 0.0051046000 0.3361192000 0.6587762000 0.0002322460 0.0013734912 0.0013784260
0.44000 0.0049066000 0.3259254000 0.6691680000 0.0002033568 0.0015400186 0.0015341592
0.45000 0.0047826000 0.3162383000 0.6789791000 0.0002177229 0.0015833273 0.0015814921
0.46000 0.0046483000 0.3064366000 0.6889151000 0.0002169255 0.0014767547 0.0014936035
0.47000 0.0044844000 0.2971771000 0.6983385000 0.0002288104 0.0014653247 0.0014771864
0.48000 0.0043468000 0.2883648000 0.7072884000 0.0002057059 0.0014939741 0.0015024772
0.49000 0.0042029000 0.2802510000 0.7155461000 0.0001889166 0.0013475054 0.0013448772
0.50000 0.0040841000 0.2716382000 0.7242777000 0.0002116606 0.0012841995 0.0013392474
