#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.97
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 2
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0097144000 0.6742107000 0.3160749000 0.0003055888 0.0014629010 0.0014439882
0.26000 0.0094841000 0.6562479000 0.3342680000 0.0003278245 0.0016516244 0.0016606686
0.27000 0.0092210000 0.6383009000 0.3524781000 0.0003174281 0.0016909612 0.0016198707
0.28000 0.0089280000 0.6206847000 0.3703873000 0.0002504945 0.0014525070 0.0014250273
0.29000 0.0087818000 0.6034071000 0.3878111000 0.0003064570 0.0014382406 0.0014065215
0.30000 0.0084781000 0.5868404000 0.4046815000 0.0002677731 0.0017123190 0.0016933163
0.31000 0.0082117000 0.5701859000 0.4216024000 0.0002686030 0.0014916130 0.0014908652
0.32000 0.0079798000 0.5544714000 0.4375488000 0.0002416190 0.0015813049 0.0015821085
0.33000 0.0077508000 0.5388759000 0.4533733000 0.0003378712 0.0015788425 0.0015863350
0.34000 0.0075504000 0.5234893000 0.4689603000 0.0002562666 0.0014464099 0.0014488947
0.35000 0.0072590000 0.5088165000 0.4839245000 0.0002921481 0.0016454611 0.0016471484
0.36000 0.0070636000 0.4946063000 0.4983301000 0.0002995469 0.0016715013 0.0016527568
0.37000 0.0068646000 0.4804016000 0.5127338000 0.0002754259 0.0015101406 0.0014989200
0.38000 0.0066448000 0.4669194000 0.5264358000 0.0002286212 0.0016623270 0.0016248221
0.39000 0.0064039000 0.4538654000 0.5397307000 0.0002847359 0.0015807973 0.0015575637
0.40000 0.0062619000 0.4411379000 0.5526002000 0.0002516118 0.0014865785 0.0014739475
0.41000 0.0060490000 0.4291412000 0.5648098000 0.0002408130 0.0015619693 0.0015399403
0.42000 0.0059115000 0.4167150000 0.5773735000 0.0002335902 0.0014783136 0.0014894181
0.43000 0.0056978000 0.4054307000 0.5888715000 0.0002443320 0.0015363332 0.0015347631
0.44000 0.0055089000 0.3941938000 0.6002973000 0.0002714156 0.0014817699 0.0014861725
0.45000 0.0053936000 0.3836761000 0.6109303000 0.0002309861 0.0017481164 0.0017842269
0.46000 0.0052408000 0.3728338000 0.6219254000 0.0002569152 0.0016604008 0.0016451345
0.47000 0.0050829000 0.3628582000 0.6320589000 0.0002395673 0.0015504007 0.0015358911
0.48000 0.0049031000 0.3531778000 0.6419191000 0.0002315459 0.0015301948 0.0015374195
0.49000 0.0047539000 0.3439919000 0.6512542000 0.0002130723 0.0012950876 0.0012917752
0.50000 0.0046426000 0.3347515000 0.6606059000 0.0001939833 0.0016353879 0.0016603542
