#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 30
#Delta R: d_R = 0.025
#Seed: 300
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0498245600 0.7129941200 0.2371813200 0.0001935831 0.0004110223 0.0003697653 2.0136013190 0.0062770979 1.5639041199 0.0105340870
0.32500 0.0467219300 0.6788764600 0.2744016100 0.0001934526 0.0005187954 0.0004956432 2.4858615144 0.0093282863 2.0258767409 0.0151047107
0.35000 0.0438775500 0.6458732200 0.3102492300 0.0002162624 0.0005062731 0.0004798270 2.9922925363 0.0123935427 2.5273204666 0.0200654007
0.37500 0.0411702800 0.6140261200 0.3448036000 0.0002014414 0.0005201531 0.0005088271 3.5322836343 0.0156426916 3.0656577372 0.0256789733
0.40000 0.0386081100 0.5834517600 0.3779401300 0.0001950002 0.0005075341 0.0004934416 4.0996652989 0.0172879062 3.6263993018 0.0286312471
0.42500 0.0363010500 0.5539444300 0.4097545200 0.0001766434 0.0004960185 0.0004945276 4.6941624691 0.0207088648 4.2231260747 0.0361555868
0.45000 0.0341335400 0.5257725800 0.4400938800 0.0001981171 0.0004888329 0.0004969007 5.3105549939 0.0303365370 4.8451665675 0.0451221803
0.47500 0.0321510700 0.4990573500 0.4687915800 0.0001824818 0.0005376808 0.0005342220 5.9480444962 0.0331550471 5.4809993871 0.0483686279
0.50000 0.0303399200 0.4737541400 0.4959059400 0.0001586896 0.0004607059 0.0004591348 6.6121710996 0.0374148999 6.1450452765 0.0505481400
0.52500 0.0286169000 0.4497211300 0.5216619700 0.0001706970 0.0005043400 0.0004963048 7.2808238553 0.0302650776 6.8127920843 0.0478221257
0.55000 0.0270158800 0.4270110600 0.5459730600 0.0001579787 0.0004774031 0.0004822180 7.9617366320 0.0414036054 7.5000847721 0.0691370243
0.57500 0.0255539800 0.4054759500 0.5689700700 0.0001680387 0.0004779705 0.0004787044 8.6556313673 0.0469244862 8.1892042275 0.0821753808
0.60000 0.0241508800 0.3852625300 0.5905865900 0.0001638064 0.0004255395 0.0004383659 9.3550959256 0.0560596399 8.9041460077 0.0961968998
0.62500 0.0228828800 0.3661903800 0.6109267400 0.0001530620 0.0005101303 0.0005385628 10.0636919474 0.0647786459 9.6130632532 0.0900435211
0.65000 0.0216832400 0.3483908400 0.6299259200 0.0001403479 0.0004334530 0.0004399692 10.7814187333 0.0659361840 10.3255154944 0.0996313102
0.67500 0.0205762400 0.3315025100 0.6479212500 0.0001448976 0.0005030154 0.0005114624 11.5112722474 0.0777200444 11.0593404638 0.1075633863
0.70000 0.0195307900 0.3156931600 0.6647760500 0.0001432215 0.0004500740 0.0004696247 12.2250521529 0.0865028000 11.7657396826 0.1223905530
0.72500 0.0185676100 0.3007146600 0.6807177300 0.0001457608 0.0004517102 0.0004626731 12.9410286727 0.1021422450 12.4996305463 0.1461906515
0.75000 0.0176869400 0.2866348600 0.6956782000 0.0001228130 0.0004156895 0.0004181619 13.7032358084 0.0911606386 13.2467262079 0.1290597022
0.77500 0.0168614100 0.2734755600 0.7096630300 0.0001271419 0.0004417277 0.0004445852 14.4249800477 0.1058965966 13.9979456723 0.1375886326
0.80000 0.0160305200 0.2611402200 0.7228292600 0.0001090215 0.0004990829 0.0005195383 15.1313033033 0.1339829893 14.6946880930 0.1738650651
0.82500 0.0152936200 0.2494532700 0.7352531100 0.0001295619 0.0003711001 0.0003823416 15.8778138185 0.1422152278 15.4589025499 0.2007356002
0.85000 0.0145899500 0.2384612200 0.7469488300 0.0001017466 0.0003867894 0.0004012286 16.6078254830 0.1258229843 16.1747328173 0.1987391907
0.87500 0.0139659700 0.2281868700 0.7578471600 0.0001069163 0.0004822114 0.0004936352 17.3373833406 0.1714085992 16.8915549145 0.2052235096
0.90000 0.0133315500 0.2183949600 0.7682734900 0.0001139752 0.0003610058 0.0003772772 18.0676164921 0.1493163281 17.6298603278 0.2015433461
0.92500 0.0127736600 0.2092799600 0.7779463800 0.0001175375 0.0004056047 0.0004209778 18.7975826916 0.1719992301 18.3706195157 0.2451882169
0.95000 0.0122024800 0.2005655600 0.7872319600 0.0001171459 0.0003878156 0.0003874845 19.5331584691 0.1806214154 19.1102574682 0.2520716704
0.97500 0.0117000500 0.1923370200 0.7959629300 0.0001105439 0.0003614395 0.0003751913 20.2365592738 0.2047035626 19.8280568693 0.3115522719
1.00000 0.0112184500 0.1846797600 0.8041017900 0.0001141765 0.0003087968 0.0003206585 20.9676795158 0.1859614771 20.5480178028 0.2729049946
1.02500 0.0107769800 0.1773048900 0.8119181300 0.0001126970 0.0003898251 0.0003972675 21.6888632808 0.2284357754 21.2815806155 0.3065086333
