#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.96
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 30
#Delta R: d_R = 0.025
#Seed: 301
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0519327600 0.7505765800 0.1974906600 0.0002242052 0.0004628842 0.0004382375 2.0827112004 0.0074897121 1.6444039136 0.0113541321
0.32500 0.0490457100 0.7205856100 0.2303686800 0.0002397755 0.0004551752 0.0004101809 2.5917915131 0.0097572855 2.1478492396 0.0150090823
0.35000 0.0463043000 0.6911478900 0.2625478100 0.0002310343 0.0004261741 0.0003966039 3.1466013183 0.0118013512 2.7014101969 0.0177193412
0.37500 0.0437387700 0.6621926400 0.2940685900 0.0002067933 0.0004297879 0.0004451824 3.7443034536 0.0151546920 3.2975578030 0.0207869798
0.40000 0.0413352300 0.6338612600 0.3248035100 0.0002098707 0.0005345347 0.0005051815 4.3796685800 0.0202507690 3.9328377926 0.0265929591
0.42500 0.0390907000 0.6062964400 0.3546128600 0.0001990855 0.0004976901 0.0004953512 5.0528751485 0.0222979173 4.6092032270 0.0357969439
0.45000 0.0369962300 0.5795219000 0.3834818700 0.0001857617 0.0004688363 0.0004474340 5.7551502089 0.0248811899 5.3134642129 0.0396959225
0.47500 0.0350595700 0.5536985500 0.4112418800 0.0001857370 0.0004467533 0.0004379838 6.4979358783 0.0287162788 6.0710625216 0.0397579455
0.50000 0.0332461600 0.5288901700 0.4378636700 0.0001767786 0.0004580033 0.0004905963 7.2604584964 0.0378656658 6.8336735612 0.0504762139
0.52500 0.0315462600 0.5050060900 0.4634476500 0.0001482487 0.0004679602 0.0004809113 8.0486391727 0.0417436851 7.6198616572 0.0648138657
0.55000 0.0299268100 0.4822060500 0.4878671400 0.0001684429 0.0004730748 0.0004666599 8.8629947016 0.0519830181 8.4513049872 0.0767447634
0.57500 0.0284405300 0.4605065600 0.5110529100 0.0001733000 0.0004947758 0.0005212763 9.6856951922 0.0498761146 9.2648788334 0.0722289722
0.60000 0.0270528300 0.4398647000 0.5330824700 0.0001549598 0.0004335771 0.0004365380 10.5271638210 0.0696365833 10.1281939436 0.0956482963
0.62500 0.0257426300 0.4200614300 0.5541959400 0.0001525878 0.0004168676 0.0004577158 11.3798517853 0.0692097522 10.9810921685 0.1026966115
0.65000 0.0244551200 0.4013426200 0.5742022600 0.0001432420 0.0004615649 0.0004679267 12.2497639555 0.0780020266 11.8625341064 0.1061395090
0.67500 0.0233369600 0.3836076400 0.5930554000 0.0001438596 0.0004928794 0.0004945927 13.1268516973 0.0798767241 12.7461977508 0.1240788415
0.70000 0.0222726600 0.3667971500 0.6109301900 0.0001504151 0.0004824190 0.0004955034 14.0143787645 0.0963724776 13.6424959495 0.1373476864
0.72500 0.0212087200 0.3508014800 0.6279898000 0.0001337202 0.0004746752 0.0004547745 14.9161518786 0.0966448738 14.5482494588 0.1488053730
0.75000 0.0202505700 0.3357520600 0.6439973700 0.0001538449 0.0005357853 0.0005448788 15.8013066021 0.1079612043 15.4259359833 0.1527576223
0.77500 0.0193412300 0.3213480600 0.6593107100 0.0001285402 0.0004388673 0.0004556329 16.7217978406 0.1033513834 16.3748968017 0.1526925061
0.80000 0.0184746100 0.3078457700 0.6736796200 0.0001467855 0.0004548793 0.0004693678 17.6314560380 0.1171885484 17.2862193741 0.1813490453
0.82500 0.0176762100 0.2950329700 0.6872908200 0.0001328247 0.0004419369 0.0004794100 18.5313779343 0.1411611870 18.1954040527 0.1945145580
0.85000 0.0169280500 0.2829099900 0.7001619600 0.0001333253 0.0004615734 0.0004633186 19.4254884979 0.1444202329 19.0914968594 0.2043178839
0.87500 0.0161955100 0.2713152600 0.7124892300 0.0001294521 0.0003913204 0.0004111728 20.3464710171 0.1586087397 20.0172243502 0.2394136408
0.90000 0.0155139200 0.2603364300 0.7241496500 0.0001181639 0.0004151147 0.0004061093 21.2972285689 0.1738217667 20.9932179611 0.2525861666
0.92500 0.0148996000 0.2501231100 0.7349772900 0.0001252227 0.0004871154 0.0004955415 22.2044274924 0.1837635469 21.9301148720 0.2646631508
0.95000 0.0142897700 0.2402148600 0.7454953700 0.0001109245 0.0004099740 0.0004155227 23.1095254207 0.1747416203 22.8085999436 0.2827376915
0.97500 0.0137179800 0.2309309600 0.7553510600 0.0001130834 0.0004113524 0.0003998826 24.0237771901 0.1886415043 23.7207227935 0.2723871967
1.00000 0.0131868100 0.2221000400 0.7647131500 0.0001048813 0.0004026461 0.0003951473 24.9283724406 0.2057553877 24.5975276173 0.3165208861
1.02500 0.0126741700 0.2136693500 0.7736564800 0.0001057632 0.0004167634 0.0004399902 25.8473250567 0.2408450199 25.5601482553 0.3273897776
