#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7011
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0111015800 0.1969061900 0.6946616600 0.0973305700 0.0001012979 0.0004048815 0.0004628466 0.0002909401 9.0358624951 0.0917090532 8.8612786778 0.1335757683
0.02000 0.0101930700 0.1781403700 0.6332854700 0.1783810900 0.0000892825 0.0003520578 0.0004302931 0.0003545779 8.2974105436 0.0702470239 8.0711508485 0.1088606795
0.03000 0.0094049700 0.1623016500 0.5813121200 0.2469812600 0.0000946421 0.0004154922 0.0004833034 0.0003807971 7.6965814355 0.0816049837 7.4279790406 0.1083526685
0.04000 0.0087342300 0.1487136600 0.5366880200 0.3058640900 0.0001004240 0.0003403916 0.0005253851 0.0004694969 7.1939020398 0.0754052209 6.8817231943 0.1016593808
0.05000 0.0081480100 0.1369535600 0.4980164900 0.3568819400 0.0000957377 0.0003443108 0.0004456776 0.0004513146 6.7578772988 0.0640716473 6.4075584508 0.0988157919
0.06000 0.0076255100 0.1266481100 0.4643308700 0.4013955100 0.0000919237 0.0003406080 0.0005446840 0.0004996555 6.3687270159 0.0673295287 5.9868474031 0.0956433149
0.07000 0.0071543600 0.1176653900 0.4344056000 0.4407746500 0.0000771883 0.0003145826 0.0004258580 0.0004816241 6.0437560913 0.0705276965 5.6155252187 0.1189696293
0.08000 0.0067417400 0.1095774000 0.4079705400 0.4757103200 0.0000741736 0.0003361569 0.0005770485 0.0005528343 5.7370651330 0.0652451396 5.2770468106 0.1015520688
0.09000 0.0063732500 0.1023487400 0.3843070900 0.5069709200 0.0000931249 0.0002617172 0.0004423948 0.0004707149 5.4700487735 0.0574605716 4.9806162107 0.0975356140
0.10000 0.0060455400 0.0959389500 0.3630069500 0.5350085600 0.0000848292 0.0003086235 0.0004292276 0.0004944279 5.2287144547 0.0567101427 4.7031363121 0.0811944407
0.11000 0.0057603200 0.0900947000 0.3436096700 0.5605353100 0.0000812277 0.0002845720 0.0004280264 0.0004901058 5.0311230905 0.0563576689 4.4696238754 0.0840912714
0.12000 0.0054658600 0.0848423000 0.3261488100 0.5835430300 0.0000788895 0.0002827528 0.0004553518 0.0004752911 4.8429017893 0.0589522374 4.2518552607 0.1045024079
0.13000 0.0052105600 0.0800584100 0.3101912400 0.6045397900 0.0000748537 0.0002747682 0.0004601158 0.0005032281 4.6649135869 0.0602786185 4.0490334970 0.0872914819
0.14000 0.0049885400 0.0756322900 0.2953893600 0.6239898100 0.0000760124 0.0002389907 0.0004269572 0.0004910947 4.5136464489 0.0606993525 3.8734520504 0.0876925907
0.15000 0.0047595600 0.0716064300 0.2819937900 0.6416402200 0.0000642099 0.0002530370 0.0004581779 0.0004723249 4.3628839994 0.0535149332 3.6938287357 0.0829516551
0.16000 0.0045597900 0.0678535800 0.2694234200 0.6581632100 0.0000683945 0.0002190101 0.0004415314 0.0004712016 4.2333131221 0.0441621711 3.5350068606 0.0775911509
0.17000 0.0043623900 0.0644840500 0.2580291100 0.6731244500 0.0000693958 0.0002585786 0.0004701925 0.0004571021 4.1147264582 0.0473452137 3.3828107559 0.0763124057
0.18000 0.0042110000 0.0612663000 0.2472773500 0.6872453500 0.0000614332 0.0002449496 0.0004800651 0.0004918537 4.0028214812 0.0526145758 3.2678124969 0.0941104914
0.19000 0.0040440400 0.0583342700 0.2372298400 0.7003918500 0.0000627865 0.0002620993 0.0004122568 0.0003961824 3.9025977930 0.0479160218 3.1366136898 0.0765392140
0.20000 0.0038830200 0.0555609100 0.2280487900 0.7125072800 0.0000633329 0.0002401460 0.0003915800 0.0004369720 3.8010494763 0.0448351687 3.0030746223 0.0819776883
0.21000 0.0037325500 0.0530486400 0.2193708400 0.7238479700 0.0000542660 0.0002317294 0.0004092632 0.0004506561 3.7226748510 0.0424146194 2.9094810914 0.0627486249
0.22000 0.0036063500 0.0506828100 0.2112503700 0.7344604700 0.0000545306 0.0002337645 0.0003823793 0.0004172018 3.6397109168 0.0462700049 2.8032783881 0.0732242705
0.23000 0.0034841600 0.0484508400 0.2036371300 0.7444278700 0.0000571183 0.0002291621 0.0003867415 0.0004288185 3.5549011367 0.0476204662 2.7048735961 0.0772474917
0.24000 0.0033487200 0.0463233500 0.1964800100 0.7538479200 0.0000609847 0.0002141648 0.0003806284 0.0004098485 3.4805611913 0.0427617258 2.6042488835 0.0787140648
0.25000 0.0032535500 0.0443828500 0.1897344300 0.7626291700 0.0000522576 0.0001884425 0.0003300126 0.0003876416 3.4210241347 0.0462103165 2.5335873532 0.0817712343
0.26000 0.0031270000 0.0425312300 0.1833391300 0.7710026400 0.0000518839 0.0002087857 0.0004056862 0.0004283925 3.3623732107 0.0453347513 2.4529601036 0.0748552041
0.27000 0.0030336200 0.0407939800 0.1773046500 0.7788677500 0.0000534561 0.0002006178 0.0003527218 0.0003866847 3.3013208675 0.0429538311 2.3694918749 0.0747110872
