#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7012
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.32000 0.0029250700 0.0404391700 0.0349313400 0.9217044200 0.0000544508 0.0001856851 0.0001850110 0.0002590988 3.3698133540 0.0454519196 2.4613639410 0.0829684521
0.33000 0.0028348400 0.0388063800 0.0337063300 0.9246524500 0.0000491450 0.0002017078 0.0001800189 0.0002805586 3.3156926806 0.0452191044 2.3883846455 0.0729350816
0.34000 0.0027421200 0.0372245500 0.0326225500 0.9274107800 0.0000512314 0.0001721524 0.0001819270 0.0002513520 3.2539036669 0.0424765235 2.3107449998 0.0701271894
0.35000 0.0026611900 0.0357060400 0.0316071800 0.9300255900 0.0000533259 0.0001521563 0.0001660946 0.0002243190 3.2031746017 0.0431238059 2.2281847053 0.0672522850
0.36000 0.0025755600 0.0343407300 0.0306461100 0.9324376000 0.0000486910 0.0001917529 0.0001759612 0.0002766703 3.1563822642 0.0404687981 2.1714709016 0.0698008110
0.37000 0.0024845200 0.0330059700 0.0297153300 0.9347941800 0.0000449254 0.0001680796 0.0001869997 0.0002589165 3.1133878964 0.0423923960 2.1242822166 0.0706235324
0.38000 0.0024159600 0.0317501800 0.0287954000 0.9370384600 0.0000537538 0.0001758374 0.0001748796 0.0002622853 3.0588311624 0.0441737025 2.0464721747 0.0694288666
0.39000 0.0023428500 0.0305750400 0.0279573800 0.9391247300 0.0000547026 0.0001906454 0.0001563087 0.0002517507 3.0341724233 0.0405193828 2.0067742517 0.0655089118
0.40000 0.0022713900 0.0294504800 0.0271665400 0.9411115900 0.0000481844 0.0001570969 0.0001447306 0.0002003043 2.9857466452 0.0377036881 1.9418589742 0.0755339769
0.41000 0.0021992100 0.0283794700 0.0264223600 0.9429989600 0.0000474802 0.0001533003 0.0001371101 0.0002175757 2.9612379822 0.0399701705 1.9054433524 0.0721072905
