#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7010
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0070043300 0.1099267000 0.8241821100 0.0588868600 0.0000779022 0.0002884801 0.0003577161 0.0002275136 5.4645387025 0.0614601715 4.9861444787 0.0966536773
0.02000 0.0066253200 0.1030340900 0.7784354800 0.1119051100 0.0000802475 0.0003532031 0.0004265187 0.0003056190 5.2212153723 0.0561754515 4.7026830027 0.0898171789
0.03000 0.0063000800 0.0967612100 0.7371527800 0.1597859300 0.0000754452 0.0003150331 0.0004484297 0.0003903183 5.0238618274 0.0521076828 4.4646704497 0.0842355622
0.04000 0.0060037400 0.0911687600 0.6995487100 0.2032787900 0.0000731816 0.0003039034 0.0004271539 0.0004183810 4.8312015268 0.0555801658 4.2536242596 0.0867825881
0.05000 0.0057271000 0.0860300400 0.6651200700 0.2431227900 0.0000704734 0.0002695581 0.0004488334 0.0004078647 4.6507408337 0.0555142902 4.0431195150 0.0879705176
0.06000 0.0054563300 0.0812878200 0.6338305100 0.2794253400 0.0000666918 0.0002834965 0.0004554627 0.0004253249 4.5025691496 0.0480445635 3.8650199291 0.0707018335
0.07000 0.0052164600 0.0769504000 0.6048901600 0.3129429800 0.0000708054 0.0002908971 0.0004478003 0.0004001929 4.3578591936 0.0483587949 3.6919500903 0.0763634275
0.08000 0.0050052800 0.0730014900 0.5781233200 0.3438699100 0.0000716758 0.0002556955 0.0004970327 0.0004651477 4.2179022920 0.0513154547 3.5295819582 0.0841916840
0.09000 0.0047969000 0.0692910800 0.5535653600 0.3723466600 0.0000730357 0.0002768598 0.0004619622 0.0004621183 4.1049722038 0.0464223611 3.4018743339 0.0713935024
0.10000 0.0046099300 0.0658928500 0.5305923900 0.3989048300 0.0000586879 0.0002378346 0.0005115061 0.0004621560 3.9836666509 0.0470515211 3.2462096333 0.0801300681
0.11000 0.0044302600 0.0627510000 0.5093625300 0.4234562100 0.0000674003 0.0002612958 0.0005415808 0.0005324712 3.8937741685 0.0514195934 3.1203110870 0.0795005889
0.12000 0.0042588500 0.0598245100 0.4893218600 0.4465947800 0.0000692620 0.0002414706 0.0004746446 0.0004883227 3.7986725076 0.0427965149 3.0178379305 0.0760298843
0.13000 0.0040930800 0.0570923200 0.4707303800 0.4680842200 0.0000701497 0.0002247857 0.0004795306 0.0004773722 3.7153374471 0.0439471302 2.9184304522 0.0758264079
0.14000 0.0039477500 0.0545768300 0.4532997100 0.4881757100 0.0000532041 0.0001940337 0.0004753547 0.0004985673 3.6290963988 0.0426407619 2.8026055422 0.0641875664
0.15000 0.0038098500 0.0520967600 0.4370350000 0.5070583900 0.0000650523 0.0002414747 0.0004692870 0.0005388354 3.5577924697 0.0422104826 2.7112041026 0.0747983888
0.16000 0.0036856700 0.0499169800 0.4216185600 0.5247787900 0.0000678069 0.0002170754 0.0005226757 0.0005166803 3.4877480679 0.0354682190 2.6097948213 0.0666780812
0.17000 0.0035590400 0.0477662000 0.4071248500 0.5415499100 0.0000610436 0.0002241702 0.0004962026 0.0004639621 3.4176268459 0.0441832246 2.5342578092 0.0787496459
0.18000 0.0034502500 0.0458174100 0.3934282400 0.5573041000 0.0000609677 0.0002028238 0.0004449434 0.0004675670 3.3541376414 0.0431687589 2.4461158981 0.0637134627
0.19000 0.0033134600 0.0439307700 0.3806223800 0.5721333900 0.0000541721 0.0001848491 0.0004531642 0.0004357752 3.2981448703 0.0361602207 2.3761300526 0.0686769191
0.20000 0.0032206800 0.0421884900 0.3682777500 0.5863130800 0.0000526856 0.0001757584 0.0004588966 0.0004677367 3.2440081078 0.0387824141 2.3008731901 0.0653133334
0.21000 0.0031114000 0.0405118500 0.3567146800 0.5996620700 0.0000562529 0.0001919148 0.0004405073 0.0004674387 3.1922773252 0.0417840676 2.2256068548 0.0690235686
0.22000 0.0030256000 0.0389193100 0.3456789400 0.6123761500 0.0000531541 0.0001970226 0.0005359053 0.0005318263 3.1504165858 0.0377153372 2.1691184866 0.0685827690
0.23000 0.0029304700 0.0374406800 0.3352435400 0.6243853100 0.0000511884 0.0001942633 0.0005228136 0.0004961421 3.0914686841 0.0346431076 2.0920804338 0.0611728855
0.24000 0.0028391500 0.0360489900 0.3252381500 0.6358737100 0.0000479053 0.0001777038 0.0004778026 0.0004554790 3.0546655530 0.0390749676 2.0434047777 0.0645231476
0.25000 0.0027510700 0.0346947600 0.3157678400 0.6467863300 0.0000522498 0.0001664427 0.0005062659 0.0005166430 3.0159554446 0.0362181498 1.9843626235 0.0675263838
0.26000 0.0026710500 0.0334189100 0.3066993500 0.6572106900 0.0000497103 0.0001629824 0.0004359672 0.0004587041 2.9748544571 0.0377359210 1.9291465407 0.0664653530
0.27000 0.0025834400 0.0322020800 0.2981380000 0.6670764800 0.0000525492 0.0001795294 0.0004247369 0.0004304488 2.9396098611 0.0355297790 1.8862449182 0.0681548362
0.28000 0.0025108600 0.0310367700 0.2898892700 0.6765631000 0.0000563764 0.0001578338 0.0004090178 0.0004203562 2.8971364844 0.0325212833 1.8195338309 0.0603818551
0.29000 0.0024511800 0.0299258600 0.2819793600 0.6856436000 0.0000487540 0.0001591420 0.0004689919 0.0004859375 2.8676963361 0.0353778066 1.7911706836 0.0658906077
0.30000 0.0023828200 0.0289000900 0.2743757300 0.6943413600 0.0000460894 0.0001429256 0.0004263160 0.0004360853 2.8426392133 0.0341055088 1.7436708828 0.0635018035
0.31000 0.0023152400 0.0278984600 0.2671462000 0.7026401000 0.0000455869 0.0001554732 0.0004656720 0.0004605610 2.8148101733 0.0352779737 1.7046013342 0.0595644608
0.32000 0.0022438800 0.0269403000 0.2602275800 0.7105882400 0.0000472691 0.0001623427 0.0003835466 0.0004186885 2.7903052177 0.0359801912 1.6685203764 0.0662002510
0.33000 0.0021828400 0.0260196500 0.2535621000 0.7182354100 0.0000463737 0.0001549050 0.0004241905 0.0004278961 2.7577694299 0.0357725159 1.6260348525 0.0678602031
0.34000 0.0021263600 0.0252040400 0.2471130500 0.7255565500 0.0000406044 0.0001492103 0.0004251811 0.0004263633 2.7293928994 0.0362378104 1.5866220748 0.0688217402
0.35000 0.0020686300 0.0243286500 0.2410717800 0.7325309400 0.0000498176 0.0001437444 0.0004042238 0.0004315480 2.7088993064 0.0368209970 1.5565446040 0.0628266569
0.36000 0.0020140500 0.0235290500 0.2351252300 0.7393316700 0.0000418338 0.0001480146 0.0004317356 0.0004335584 2.6858981434 0.0337157487 1.5127215082 0.0630858374
0.37000 0.0019570200 0.0227650500 0.2293192600 0.7459586700 0.0000449253 0.0001293088 0.0003782602 0.0003852468 2.6586585151 0.0337440574 1.4674522250 0.0644683699
0.38000 0.0019112400 0.0220345100 0.2238634800 0.7521907700 0.0000393364 0.0001414717 0.0003887411 0.0003923729 2.6380184192 0.0300385394 1.4460022660 0.0605638563
0.39000 0.0018647700 0.0213059900 0.2186640600 0.7581651800 0.0000392119 0.0001524465 0.0003642799 0.0003916366 2.6162126442 0.0351568339 1.4086891470 0.0644758724
0.40000 0.0018067500 0.0206821800 0.2135276200 0.7639834500 0.0000406143 0.0001499638 0.0004063622 0.0004368242 2.6008675612 0.0321066602 1.3866948723 0.0597787458
0.41000 0.0017635500 0.0200129400 0.2086252400 0.7695982700 0.0000387818 0.0001526653 0.0004165978 0.0004219460 2.5781954847 0.0303369351 1.3597771282 0.0625147863
0.42000 0.0017209200 0.0193872200 0.2039308700 0.7749609900 0.0000398952 0.0001218365 0.0004143826 0.0004196941 2.5661079664 0.0334047902 1.3299472657 0.0599104656
0.43000 0.0016785200 0.0187638200 0.1993279700 0.7802296900 0.0000398569 0.0001298225 0.0004030355 0.0004183567 2.5398481898 0.0286742093 1.2877631625 0.0563343769
0.44000 0.0016383500 0.0181989800 0.1948882500 0.7852744200 0.0000375476 0.0001398366 0.0004259960 0.0004425149 2.5246104197 0.0310332657 1.2609064249 0.0600152888
0.45000 0.0015919900 0.0176524500 0.1905871000 0.7901684600 0.0000422218 0.0001212439 0.0003622023 0.0003795769 2.5164743249 0.0300802866 1.2511495434 0.0628812690
0.46000 0.0015509200 0.0171109200 0.1865040400 0.7948341200 0.0000396027 0.0001248703 0.0003468376 0.0003489897 2.4973376755 0.0334093359 1.2295388296 0.0677741949
0.47000 0.0015162900 0.0165979500 0.1824511500 0.7994346100 0.0000401810 0.0001263145 0.0003701989 0.0003787570 2.4842530928 0.0291073063 1.1992911590 0.0594196126
0.48000 0.0014775900 0.0161267700 0.1785107900 0.8038848500 0.0000376883 0.0001262037 0.0003682465 0.0003785517 2.4642677472 0.0315692468 1.1673573801 0.0645881953
0.49000 0.0014424100 0.0156384300 0.1748477400 0.8080714200 0.0000416595 0.0001339929 0.0004218176 0.0004445607 2.4525401142 0.0295561699 1.1483446651 0.0571838936
0.50000 0.0014093800 0.0151775700 0.1711477700 0.8122652800 0.0000367714 0.0001224511 0.0003371494 0.0003640374 2.4414361742 0.0286291132 1.1304490436 0.0559993923
