#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7001
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0056863500 0.4746734600 0.3076719000 0.2119682900 0.0000854957 0.0005185548 0.0004271812 0.0004197695 16.3882825327 0.2417090015 19.5435281896 0.3862911484
0.02000 0.0048919500 0.3890275900 0.2540453900 0.3520350700 0.0000705768 0.0004669010 0.0004452521 0.0004524648 13.2523411455 0.2136108098 15.9562648529 0.3436377938
0.03000 0.0043422600 0.3282029900 0.2159609500 0.4514938000 0.0000698860 0.0004980120 0.0003741249 0.0004938701 11.0756547198 0.2085622870 13.4924698162 0.3468950572
0.04000 0.0039154300 0.2828673200 0.1875415500 0.5256757000 0.0000622675 0.0004183115 0.0003605354 0.0004937110 9.5010806752 0.2198585956 11.5774585229 0.3318045973
0.05000 0.0035731300 0.2477281700 0.1654810700 0.5832176300 0.0000593578 0.0004622764 0.0003874545 0.0004936007 8.3471459583 0.1765215359 10.1591442015 0.2650670809
0.06000 0.0033032600 0.2196267900 0.1479291800 0.6291407700 0.0000571937 0.0004741910 0.0003643880 0.0005053714 7.4091168123 0.1459561490 8.9305850153 0.2500701386
0.07000 0.0030650700 0.1967807800 0.1335329600 0.6666211900 0.0000542321 0.0004012157 0.0003509060 0.0005206292 6.6888632402 0.1276475949 8.0494405384 0.2383939812
0.08000 0.0028978000 0.1778779500 0.1215902000 0.6976340500 0.0000525288 0.0003484136 0.0002891690 0.0004455930 6.1485296098 0.1297162554 7.2846818311 0.2142579264
0.09000 0.0027296600 0.1619050300 0.1114866300 0.7238786800 0.0000525123 0.0003837474 0.0003037235 0.0004353693 5.6452020660 0.1231054301 6.6363414699 0.2178802380
0.10000 0.0025782400 0.1481580900 0.1029197400 0.7463439300 0.0000491627 0.0003468264 0.0002980114 0.0004658245 5.2489089227 0.1310444552 6.0644628405 0.2312508628
0.11000 0.0024555000 0.1363626700 0.0953954300 0.7657864000 0.0000497165 0.0003451031 0.0002859889 0.0004426046 4.9050751708 0.1160406376 5.5778460447 0.2157374419
0.12000 0.0023390200 0.1260447500 0.0888475000 0.7827687300 0.0000458599 0.0003550655 0.0002584981 0.0004325881 4.6147111085 0.1035069222 5.1645609557 0.1841837323
0.13000 0.0022330800 0.1169608600 0.0830746400 0.7977314200 0.0000469805 0.0003064393 0.0002873815 0.0003836197 4.3696015248 0.0934409845 4.8078138773 0.1832035575
0.14000 0.0021520700 0.1088282800 0.0780329900 0.8109866600 0.0000434621 0.0003226839 0.0002708447 0.0004106273 4.1454601676 0.0929136286 4.4431423427 0.1746593367
0.15000 0.0020577000 0.1017680200 0.0734918100 0.8226824700 0.0000496184 0.0003074129 0.0002678536 0.0003686317 3.9645080293 0.0898838742 4.1693340801 0.1726647052
0.16000 0.0019730400 0.0952802200 0.0693230600 0.8334236800 0.0000472040 0.0002991489 0.0002763748 0.0003667429 3.7929002169 0.0781616812 3.8937858725 0.1865211526
0.17000 0.0019018000 0.0894974500 0.0656162100 0.8429845400 0.0000414115 0.0002412694 0.0002526407 0.0003194624 3.6641778834 0.0885312159 3.6924188294 0.1832258633
0.18000 0.0018313400 0.0841733400 0.0622392700 0.8517560500 0.0000365832 0.0002840735 0.0002375642 0.0003850124 3.5340811698 0.0707181149 3.4721013261 0.1581590330
0.19000 0.0017739800 0.0794545800 0.0591510500 0.8596203900 0.0000437617 0.0002515028 0.0002592792 0.0003703043 3.4195149499 0.0743774107 3.2828926714 0.1530886714
0.20000 0.0017189600 0.0750651000 0.0563791200 0.8668368200 0.0000420204 0.0002496491 0.0002547876 0.0003341661 3.3118441965 0.0681684095 3.0999247081 0.1461558967
0.21000 0.0016585500 0.0710347000 0.0537298800 0.8735768700 0.0000433965 0.0002902378 0.0001914042 0.0003162363 3.2290971117 0.0648211584 2.9794073727 0.1503275678
0.22000 0.0016079000 0.0673599500 0.0513825600 0.8796495900 0.0000424908 0.0002654512 0.0002268580 0.0003556497 3.1325790320 0.0695735909 2.7880297243 0.1459265471
0.23000 0.0015621600 0.0639552200 0.0491528100 0.8853298100 0.0000420372 0.0002396565 0.0002291933 0.0003497071 3.0604360268 0.0696410225 2.6725915949 0.1616097290
0.24000 0.0015118900 0.0607991100 0.0471407900 0.8905482100 0.0000413414 0.0002383265 0.0002173307 0.0003235400 2.9947382350 0.0638319764 2.5603870123 0.1449768127
0.25000 0.0014714000 0.0578513200 0.0452103500 0.8954669300 0.0000412913 0.0002356926 0.0001930825 0.0003058717 2.9381796112 0.0597794987 2.4480040754 0.1295418568
0.26000 0.0014326800 0.0551121500 0.0434786000 0.8999765700 0.0000371994 0.0002428055 0.0001910076 0.0003079359 2.8749885568 0.0562391966 2.3296650347 0.1381254037
0.27000 0.0013846700 0.0525929800 0.0418029900 0.9042193600 0.0000436237 0.0002235576 0.0002174840 0.0002411056 2.8233860280 0.0607963682 2.2368453856 0.1447127129
0.28000 0.0013484800 0.0502775600 0.0402162600 0.9081577000 0.0000357693 0.0002327587 0.0002034766 0.0002849560 2.7781603747 0.0669698060 2.1447825259 0.1468010835
0.29000 0.0013075800 0.0479919800 0.0387850400 0.9119154000 0.0000411266 0.0001918298 0.0001915829 0.0002510083 2.7189464551 0.0533345268 2.0281814307 0.1321743742
0.30000 0.0012702600 0.0459381400 0.0373947400 0.9153968600 0.0000325640 0.0001989541 0.0001973658 0.0002823888 2.6831481137 0.0545027700 1.9515353638 0.1400397533
0.31000 0.0012400000 0.0439593500 0.0361228400 0.9186778100 0.0000381774 0.0002250500 0.0001728312 0.0002690109 2.6441767710 0.0501881440 1.8866543620 0.1257514701
0.32000 0.0012149600 0.0421480600 0.0349023500 0.9217346300 0.0000345809 0.0001921261 0.0001935293 0.0002935461 2.6201562303 0.0535779968 1.8349713944 0.1262510149
0.33000 0.0011790400 0.0404373000 0.0337451900 0.9246384700 0.0000356382 0.0001814183 0.0001881773 0.0002622959 2.5933029498 0.0572403125 1.7801429668 0.1183290781
0.34000 0.0011478300 0.0387892900 0.0326465200 0.9274163600 0.0000296669 0.0002010664 0.0001867468 0.0002852169 2.5471296436 0.0514295130 1.6892661981 0.1383607089
0.35000 0.0011261700 0.0372750800 0.0316468000 0.9299519500 0.0000324068 0.0001708661 0.0001734372 0.0002316668 2.5288992271 0.0534835496 1.6412863775 0.1232552398
0.36000 0.0010887000 0.0358017300 0.0306232800 0.9324862900 0.0000352146 0.0001926397 0.0001676105 0.0002847867 2.5093577211 0.0468249762 1.5964986512 0.1145641019
0.37000 0.0010597800 0.0344486000 0.0296724900 0.9348191300 0.0000331390 0.0001833008 0.0001549823 0.0002316104 2.4819250633 0.0490367734 1.5380424543 0.1301937529
0.38000 0.0010387900 0.0331347000 0.0288069000 0.9370196100 0.0000304313 0.0001527387 0.0001578323 0.0002333635 2.4511340459 0.0461547861 1.4621786841 0.1154639994
0.39000 0.0010140900 0.0318871400 0.0279673300 0.9391314400 0.0000284023 0.0001891789 0.0001809257 0.0002582397 2.4405901284 0.0470486816 1.4667213773 0.1237468606
