#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7002
#
#alpha T A L_eff
0.01000 0.9308492859 0.0716578989 7.1657898925
0.02000 0.8749100633 0.1336341827 6.6817091364
0.03000 0.8252791579 0.1920335767 6.4011192220
0.04000 0.7832171002 0.2443453543 6.1086338575
0.05000 0.7448204948 0.2946120362 5.8922407240
0.06000 0.7111855784 0.3408218728 5.6803645472
0.07000 0.6791171189 0.3869616790 5.5280239862
0.08000 0.6510426994 0.4291800484 5.3647506055
0.09000 0.6271436098 0.4665797218 5.1842191311
0.10000 0.6007772799 0.5095309957 5.0953099572
0.11000 0.5786174389 0.5471137470 4.9737613364
0.12000 0.5583951324 0.5826884447 4.8557370390
0.13000 0.5388781563 0.6182657888 4.7558906828
0.14000 0.5236469835 0.6469375173 4.6209822664
0.15000 0.5049004889 0.6833939208 4.5559594718
0.16000 0.4873380431 0.7187972630 4.4924828940
0.17000 0.4752766085 0.7438583107 4.3756371218
0.18000 0.4586744319 0.7794146193 4.3300812181
0.19000 0.4479698379 0.8030293749 4.2264703943
0.20000 0.4353277096 0.8316561762 4.1582808809
0.21000 0.4221530426 0.8623873706 4.1066065267
0.22000 0.4098593305 0.8919412746 4.0542785207
0.23000 0.3986278631 0.9197269712 3.9988129184
0.24000 0.3887305751 0.9448687844 3.9369532682
0.25000 0.3806518500 0.9658701011 3.8634804045
0.26000 0.3685790848 0.9980999776 3.8388460675
0.27000 0.3571436665 1.0296171511 3.8133968558
0.28000 0.3522346796 1.0434576221 3.7266343647
0.29000 0.3405131633 1.0773014953 3.7148327424
0.30000 0.3326610505 1.1006311739 3.6687705795
0.31000 0.3252961538 1.1230192690 3.6226428034
0.32000 0.3179652490 1.1458131820 3.5806661937
0.33000 0.3090622220 1.1742126565 3.5582201712
0.34000 0.3002470073 1.2031497854 3.5386758395
0.35000 0.2943494247 1.2229876980 3.4942505658
0.36000 0.2869505362 1.2484454257 3.4679039604
0.37000 0.2808688312 1.2698675115 3.4320743555
0.38000 0.2746115017 1.2923979012 3.4010471085
0.39000 0.2673882377 1.3190536030 3.3821887256
0.40000 0.2606040348 1.3447531316 3.3618828289
0.41000 0.2553069746 1.3652886360 3.3299722830
0.42000 0.2491176287 1.3898300895 3.3091192608
0.43000 0.2436307807 1.4121013934 3.2839567289
0.44000 0.2391750183 1.4305597010 3.2512720478
0.45000 0.2346116150 1.4498238341 3.2218307426
0.46000 0.2278330775 1.4791420346 3.2155261622
0.47000 0.2232583436 1.4994256867 3.1902674185
0.48000 0.2188450709 1.5193912383 3.1653984132
0.49000 0.2144374635 1.5397371284 3.1423206703
0.50000 0.2091149094 1.5648713724 3.1297427449
0.51000 0.2039198246 1.5900283790 3.1177027040
0.52000 0.1997048376 1.6109148145 3.0979131048
0.53000 0.1947845201 1.6358613564 3.0865308612
0.54000 0.1898896965 1.6613119201 3.0765035557
0.55000 0.1866123175 1.6787219825 3.0522217864
0.56000 0.1831734773 1.6973216117 3.0309314495
0.57000 0.1800972166 1.7142584815 3.0074710201
0.58000 0.1750069400 1.7429296487 3.0050511185
0.59000 0.1706616510 1.7680723318 2.9967327658
0.60000 0.1684408514 1.7811706212 2.9686177020
