#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7012
#
#alpha T A L_eff
0.01000 0.7978713030 0.2258079690 22.5807968962
0.02000 0.6643522164 0.4089428238 20.4471411896
0.03000 0.5697569000 0.5625455003 18.7515166774
0.04000 0.4974936743 0.6981724374 17.4543109353
0.05000 0.4424299729 0.8154730803 16.3094616057
0.06000 0.3981358740 0.9209619401 15.3493656680
0.07000 0.3618481649 1.0165305890 14.5218655573
0.08000 0.3310127954 1.1055982475 13.8199780942
0.09000 0.3054209480 1.1860642966 13.1784921849
0.10000 0.2830595677 1.2620979167 12.6209791675
0.11000 0.2633866254 1.3341322677 12.1284751605
0.12000 0.2472318773 1.3974286084 11.6452384036
0.13000 0.2313738152 1.4637206288 11.2593894525
0.14000 0.2189343628 1.5189833075 10.8498807678
0.15000 0.2065638270 1.5771458249 10.5143054994
0.16000 0.1954193181 1.6326076799 10.2037979995
0.17000 0.1856507298 1.6838881673 9.9052245133
0.18000 0.1766140362 1.7337885139 9.6321584105
0.19000 0.1684746371 1.7809700620 9.3735266422
0.20000 0.1610626531 1.8259618397 9.1298091986
0.21000 0.1538846411 1.8715520408 8.9121525753
0.22000 0.1470105515 1.9172509160 8.7147768909
0.23000 0.1410447831 1.9586778287 8.5159905594
0.24000 0.1351093380 2.0016709175 8.3402954896
0.25000 0.1304839981 2.0365046799 8.1460187194
0.26000 0.1254434355 2.0759003354 7.9842320593
0.27000 0.1207753673 2.1138229276 7.8289738061
0.28000 0.1163788306 2.1509046279 7.6818022425
0.29000 0.1121318430 2.1880799301 7.5451032071
0.30000 0.1082938757 2.2229066761 7.4096889203
0.31000 0.1044655567 2.2588978631 7.2867673004
0.32000 0.1007929892 2.2946864769 7.1708952402
0.33000 0.0976838153 2.3260193907 7.0485436082
0.34000 0.0944888402 2.3592735450 6.9390398383
0.35000 0.0917001286 2.3892314977 6.8263757078
0.36000 0.0887494629 2.4219379027 6.7276052853
0.37000 0.0856123777 2.4579254070 6.6430416404
0.38000 0.0832499155 2.4859081652 6.5418635928
0.39000 0.0807306679 2.5166367519 6.4529147485
0.40000 0.0782682766 2.5476129100 6.3690322750
0.41000 0.0757810753 2.5799066839 6.2924553266
0.42000 0.0736963471 2.6078020454 6.2090524889
