#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7001
#
#alpha T A L_eff
0.01000 0.8327841338 0.1829808134 18.2980813440
0.02000 0.7164417146 0.3334583825 16.6729191233
0.03000 0.6359378570 0.4526544296 15.0884809856
0.04000 0.5734272391 0.5561242221 13.9031055522
0.05000 0.5232963100 0.6476074171 12.9521483420
0.06000 0.4837729858 0.7261395198 12.1023253307
0.07000 0.4488892990 0.8009789718 11.4425567406
0.08000 0.4243920728 0.8570975511 10.7137193883
0.09000 0.3997674323 0.9168723202 10.1874702239
0.10000 0.3775914893 0.9739423839 9.7394238386
0.11000 0.3596158240 1.0227189730 9.2974452088
0.12000 0.3425569556 1.0713173412 8.9276445104
0.13000 0.3270417040 1.1176675810 8.5974429309
0.14000 0.3151775306 1.1546192098 8.2472800701
0.15000 0.3013567424 1.1994605253 7.9964035019
0.16000 0.2889580148 1.2414738789 7.7592117434
0.17000 0.2785246891 1.2782485733 7.5191092550
0.18000 0.2682055969 1.3160014401 7.3111191119
0.19000 0.2598050415 1.3478237696 7.0938093137
0.20000 0.2517471866 1.3793299227 6.8966496134
0.21000 0.2428999490 1.4151056528 6.7385983466
0.22000 0.2354820946 1.4461203997 6.5732745441
0.23000 0.2287833254 1.4749799005 6.4129560892
0.24000 0.2214211232 1.5076888557 6.2820368987
0.25000 0.2154912333 1.5348350510 6.1393402038
0.26000 0.2098205655 1.5615025633 6.0057790896
0.27000 0.2027893476 1.5955875354 5.9095834643
0.28000 0.1974892064 1.6220713473 5.7931119546
0.29000 0.1914992707 1.6528712789 5.6995561342
0.30000 0.1860336374 1.6818277755 5.6060925851
0.31000 0.1816019636 1.7059379999 5.5030258060
0.32000 0.1779347756 1.7263382250 5.3948069532
0.33000 0.1726741768 1.7563488314 5.3222691862
0.34000 0.1681033725 1.7831761762 5.2446358122
0.35000 0.1649311963 1.8022268842 5.1492196693
0.36000 0.1594435950 1.8360650556 5.1001807099
0.37000 0.1552081686 1.8629880401 5.0351028110
0.38000 0.1521341160 1.8829928052 4.9552442242
0.39000 0.1485167220 1.9070577208 4.8898915919
0.40000 0.1449681611 1.9312411395 4.8281028487
0.41000 0.1408425745 1.9601125050 4.7807622074
0.42000 0.1379017943 1.9812134823 4.7171749580
0.43000 0.1342141029 2.0083189716 4.6705092363
0.44000 0.1318825680 2.0258433890 4.6041895204
0.45000 0.1290955636 2.0472023455 4.5493385455
0.46000 0.1252643480 2.0773289905 4.5159325881
0.47000 0.1232828363 2.0932740815 4.4537746415
0.48000 0.1198133600 2.1218200799 4.4204584999
0.49000 0.1174261729 2.1419454582 4.3713172617
0.50000 0.1153743637 2.1595731016 4.3191462031
0.51000 0.1118594869 2.1905117762 4.2951211298
0.52000 0.1096216821 2.2107200946 4.2513847974
0.53000 0.1072081334 2.2329831617 4.2131757768
0.54000 0.1046818158 2.2568298554 4.1793145471
0.55000 0.1021291366 2.2815172216 4.1482131303
0.56000 0.1004346731 2.2982477819 4.1040138962
0.57000 0.0976901402 2.3259546443 4.0806221830
0.58000 0.0953981477 2.3496961173 4.0512002022
0.59000 0.0929055143 2.3761722780 4.0274106407
0.60000 0.0917060626 2.3891667887 3.9819446479
0.61000 0.0894902257 2.4136258696 3.9567637206
0.62000 0.0874764943 2.4363851587 3.9296534818
0.63000 0.0858874771 2.4547172455 3.8963765801
0.64000 0.0840729220 2.4760707380 3.8688605281
0.65000 0.0825088018 2.4948503024 3.8382312345
0.66000 0.0807747960 2.5160902929 3.8122580196
0.67000 0.0796324611 2.5303334670 3.7766171150
0.68000 0.0773214296 2.5597841352 3.7643884341
0.69000 0.0755332361 2.5831825065 3.7437427630
0.70000 0.0736732805 2.6081150897 3.7258786996
0.71000 0.0732046303 2.6144966050 3.6823895846
0.72000 0.0708408757 2.6473191049 3.6768320901
0.73000 0.0692957945 2.6693710608 3.6566726860
0.74000 0.0679440314 2.6890709797 3.6338797023
0.75000 0.0668178064 2.7057856716 3.6077142288
0.76000 0.0653854941 2.7274548478 3.5887563787
0.77000 0.0638052641 2.7519195824 3.5739215356
