#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Sphere radius: R = 0.5
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of NA-values: N_R = 25
#Delta NA: d_NA = 0.025
#Seed: 5000
#
#NA <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.05000 0.0001743100 0.1248999100 0.8749257800 0.0000134755 0.0003174356 0.0003158590 3.5610621624 0.3123670771 3.8375480210 0.6757219681
0.07500 0.0003885000 0.1246659900 0.8749455100 0.0000210500 0.0003522844 0.0003542224 3.5983434451 0.1701773627 3.8820979843 0.3725512755
0.10000 0.0006663900 0.1243280800 0.8750055300 0.0000274023 0.0003338768 0.0003381389 3.6441414204 0.1644527001 4.0142621728 0.3339385866
0.12500 0.0009945200 0.1240540400 0.8749514400 0.0000350162 0.0002925120 0.0002965819 3.7273169258 0.1275225432 4.0495737022 0.2822374217
0.15000 0.0013581900 0.1236387400 0.8750030700 0.0000376742 0.0003081662 0.0003161277 3.8222236775 0.1099344836 4.1848417400 0.2469717476
0.17500 0.0017618800 0.1232564800 0.8749816400 0.0000479984 0.0003283754 0.0003398818 3.9172864058 0.0966649203 4.2457337474 0.1998742701
0.20000 0.0021913900 0.1228334700 0.8749751400 0.0000506967 0.0002996334 0.0002973390 4.0220549487 0.0929623607 4.3135185202 0.1917895750
0.22500 0.0026254900 0.1224084700 0.8749660400 0.0000530120 0.0003068824 0.0003173481 4.1237088706 0.0809012607 4.4104614262 0.1767411684
0.25000 0.0030815900 0.1218754900 0.8750429200 0.0000508845 0.0003384609 0.0003475618 4.2351302209 0.0807620370 4.4870850891 0.1457442409
0.27500 0.0035372500 0.1214409000 0.8750218500 0.0000630229 0.0002757801 0.0002759538 4.3422001572 0.0873742298 4.5766735503 0.1675290100
0.30000 0.0040065800 0.1210069200 0.8749865000 0.0000606271 0.0002967874 0.0003090748 4.4692021212 0.0775488999 4.6710524799 0.1425554772
0.32500 0.0044366800 0.1205974400 0.8749658800 0.0000704727 0.0003364299 0.0003440398 4.6258063291 0.0717918231 4.7769380826 0.1384484514
0.35000 0.0048488200 0.1201445600 0.8750066200 0.0000705727 0.0003367497 0.0003288731 4.7790632308 0.0683307081 4.8604314804 0.1106242640
0.37500 0.0052564500 0.1197937800 0.8749497700 0.0000732795 0.0003720945 0.0003800925 4.9392074296 0.0687990775 4.9281330085 0.1197625068
0.40000 0.0056487000 0.1193901300 0.8749611700 0.0000743150 0.0003595514 0.0003662473 5.1404092079 0.0661655720 5.0475244971 0.1023749598
0.42500 0.0060412900 0.1190033400 0.8749553700 0.0000758532 0.0003149586 0.0003267267 5.2965998789 0.0627152151 5.1171456863 0.1098459420
0.45000 0.0064753800 0.1184950000 0.8750296200 0.0000833625 0.0003170888 0.0003284919 5.4514271966 0.0599713234 5.1803723325 0.1029109293
0.47500 0.0069204900 0.1181223000 0.8749572100 0.0000759465 0.0003080871 0.0003104716 5.5919394800 0.0532041069 5.2270997247 0.0954585074
0.50000 0.0073961500 0.1176333700 0.8749704800 0.0000821186 0.0003163528 0.0002995883 5.7290665166 0.0667735239 5.2677604237 0.0935564180
0.52500 0.0079042500 0.1171166400 0.8749791100 0.0000959343 0.0003135717 0.0003054084 5.8460801631 0.0605358218 5.3039565771 0.0892517871
0.55000 0.0084356900 0.1165651800 0.8749991300 0.0000897844 0.0003203064 0.0003317547 5.9543705568 0.0564522462 5.3434559011 0.0919507340
0.57500 0.0089566200 0.1160575300 0.8749858500 0.0000984090 0.0003075548 0.0003207659 6.0569682578 0.0550974113 5.3631115422 0.0807558339
0.60000 0.0095603800 0.1154666900 0.8749729300 0.0000972781 0.0002856244 0.0003087824 6.1454185527 0.0580666440 5.3841364612 0.0851179118
0.62500 0.0101394000 0.1148970100 0.8749635900 0.0001054299 0.0003484711 0.0003776144 6.2299214276 0.0513664289 5.4031629546 0.0825381643
0.65000 0.0107612200 0.1142653400 0.8749734400 0.0001128398 0.0003323988 0.0003500446 6.3038573889 0.0482584087 5.4257487051 0.0671220291
