#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.96
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.025
#Seed: 3
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.25000 0.0078963800 0.6086372000 0.3834664200 0.0000933951 0.0004846233 0.0005027864 2.7936965572 0.0355635876 2.8153662808 0.0544097065
0.27500 0.0075514900 0.5597687700 0.4326797400 0.0000768862 0.0005144297 0.0005060307 3.2984981283 0.0343926624 3.4769126033 0.0597283630
0.30000 0.0071034900 0.5147259400 0.4781705700 0.0000816055 0.0004957389 0.0004945545 3.8531811323 0.0514022022 4.2079662894 0.0870078371
0.32500 0.0066145900 0.4733700000 0.5200154100 0.0000995670 0.0005229325 0.0005243353 4.4269545067 0.0567441154 4.9545508229 0.0963250495
0.35000 0.0061534600 0.4356095900 0.5582369500 0.0000648312 0.0005118141 0.0005047432 5.0253400018 0.0735785854 5.7445542437 0.1103578231
0.37500 0.0056978400 0.4012969200 0.5930052400 0.0000754889 0.0005261368 0.0005282188 5.6288011489 0.0870097347 6.5550226960 0.1404270722
0.40000 0.0053041100 0.3701103600 0.6245855300 0.0000748230 0.0004806694 0.0004712281 6.2652798877 0.1140436368 7.3762685769 0.1823782709
0.42500 0.0049054700 0.3419089100 0.6531856200 0.0000736331 0.0005152268 0.0005118749 6.8835598425 0.1099572245 8.1942773036 0.1789794772
0.45000 0.0045513600 0.3161741500 0.6792744900 0.0000670901 0.0004995582 0.0005102278 7.5087122272 0.1199377494 9.0173671174 0.2159074117
0.47500 0.0042161400 0.2929999900 0.7027838700 0.0000603214 0.0004908588 0.0004902396 8.1384777578 0.1600513125 9.8353712614 0.2612203677
0.50000 0.0039171700 0.2720297500 0.7240530800 0.0000577298 0.0004178518 0.0004204350 8.7694067479 0.1830118835 10.6956276743 0.2685567335
0.52500 0.0036371300 0.2529295700 0.7434333000 0.0000598182 0.0004204500 0.0004307981 9.4325241666 0.1668766356 11.5487487714 0.2843454674
0.55000 0.0033976300 0.2357275300 0.7608748400 0.0000665954 0.0003882261 0.0003885042 10.0344522123 0.2125595152 12.3558374777 0.3406117866
0.57500 0.0031776500 0.2197872300 0.7770351200 0.0000594611 0.0004460011 0.0004509581 10.6871823498 0.2417271321 13.1702449743 0.3549088972
0.60000 0.0029785900 0.2054274600 0.7915939500 0.0000529156 0.0004336159 0.0004340180 11.3432331663 0.2213948600 14.1078482177 0.4074369702
0.62500 0.0027970600 0.1923545600 0.8048483800 0.0000458581 0.0003927914 0.0003936426 11.9683338566 0.2586209445 14.9944050447 0.4556622620
0.65000 0.0026148200 0.1803417200 0.8170434600 0.0000461192 0.0003947218 0.0003977237 12.6154302459 0.3040854669 15.7959093193 0.5228369635
0.67500 0.0024573900 0.1694623100 0.8280803000 0.0000513223 0.0003754894 0.0003781954 13.2173177418 0.3520370201 16.5537157782 0.5420525558
0.70000 0.0023173800 0.1593433800 0.8383392400 0.0000535439 0.0003871159 0.0003885397 13.8687091454 0.3491428057 17.3906167900 0.6067283860
0.72500 0.0021814100 0.1501677900 0.8476508000 0.0000476127 0.0003439161 0.0003493035 14.5106764949 0.4110817358 18.2154169605 0.6764138295
0.75000 0.0020625900 0.1416769600 0.8562604500 0.0000424716 0.0003447878 0.0003502162 15.1317625474 0.4559840201 19.0911358951 0.6932858123
0.77500 0.0019512100 0.1337687500 0.8642800400 0.0000417468 0.0003417685 0.0003414840 15.6931560639 0.4833827832 19.8210144944 0.8021781265
0.80000 0.0018459000 0.1266608000 0.8714933000 0.0000380846 0.0003145978 0.0003097538 16.2473429892 0.4269180336 20.6153323627 0.7156887332
0.82500 0.0017496800 0.1198984700 0.8783518500 0.0000425137 0.0003552264 0.0003475260 16.9438233595 0.4688992748 21.5899150751 0.8189666548
0.85000 0.0016551900 0.1138034800 0.8845413300 0.0000358551 0.0002696667 0.0002750017 17.5780437234 0.5656324395 22.2996782402 0.9489269129
0.87500 0.0015715600 0.1079976900 0.8904307500 0.0000410167 0.0003170848 0.0003128959 18.1459479436 0.5798532931 23.0717493303 0.9953425095
