#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.025
#Seed: 1
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.25000 0.0056924700 0.3704039100 0.6239036200 0.0000679513 0.0005139620 0.0005260603 1.8797110403 0.0232897327 1.6699105622 0.0393262134
0.27500 0.0053472100 0.3243144100 0.6703383800 0.0000725931 0.0004503788 0.0004577967 2.1026051456 0.0277391598 1.9461164905 0.0469211900
0.30000 0.0049588700 0.2854932800 0.7095478500 0.0000688228 0.0004679633 0.0004722761 2.3220834884 0.0319447743 2.2232980729 0.0542215685
0.32500 0.0045719800 0.2525661300 0.7428618900 0.0000623755 0.0003919175 0.0003948933 2.5570061710 0.0351454507 2.5019886075 0.0651804049
0.35000 0.0042025000 0.2246317200 0.7711657800 0.0000620956 0.0004348459 0.0004328605 2.7728493114 0.0403522671 2.7762540729 0.0736813640
0.37500 0.0038344000 0.2007936300 0.7953719700 0.0000660519 0.0004011328 0.0004089976 3.0023084928 0.0455081727 3.0556296316 0.0824061176
0.40000 0.0035181300 0.1804485400 0.8160333300 0.0000618278 0.0003991601 0.0004041299 3.2301388396 0.0539090418 3.3261058941 0.1034002430
0.42500 0.0032411000 0.1628011600 0.8339577400 0.0000533609 0.0004060926 0.0004170985 3.4404116118 0.0690031979 3.5952626516 0.1248656922
0.45000 0.0029729000 0.1474300900 0.8495970100 0.0000488058 0.0003375544 0.0003322374 3.6661656719 0.0732942427 3.8552035612 0.1464367564
0.47500 0.0027417200 0.1341577900 0.8631004900 0.0000535667 0.0003870076 0.0003850396 3.8835127472 0.0823800617 4.1223845059 0.1606210765
0.50000 0.0025292800 0.1225099600 0.8749607600 0.0000490662 0.0003439641 0.0003532382 4.1133759938 0.0863186320 4.4190665550 0.1604493889
0.52500 0.0023473200 0.1122403300 0.8854123500 0.0000480160 0.0003201972 0.0003212848 4.3056484070 0.0931194350 4.6437691927 0.1924662295
0.55000 0.0021826800 0.1032093800 0.8946079400 0.0000431272 0.0002940838 0.0002978941 4.5413862238 0.0996040014 4.9149085035 0.1986645463
0.57500 0.0020181600 0.0951648900 0.9028169500 0.0000446784 0.0003076911 0.0003098203 4.7226024245 0.1175296699 5.1384644521 0.2447377716
0.60000 0.0018893000 0.0879854500 0.9101252500 0.0000405765 0.0002774072 0.0002748433 4.9440206531 0.1341929765 5.4094558685 0.2802351567
0.62500 0.0017666400 0.0815674800 0.9166658800 0.0000428345 0.0002791688 0.0002826100 5.1744770069 0.1370219550 5.6802887166 0.2514912482
0.65000 0.0016496900 0.0758411400 0.9225091700 0.0000457992 0.0002282283 0.0002314773 5.3716606440 0.1516096317 5.9140167749 0.3020513616
0.67500 0.0015449800 0.0706839000 0.9277711200 0.0000409713 0.0002387603 0.0002448852 5.5783176859 0.1453476202 6.1702627063 0.2837653275
0.70000 0.0014535900 0.0660209800 0.9325254300 0.0000399247 0.0002458869 0.0002524393 5.7756066904 0.1458857489 6.4158108245 0.3010646274
0.72500 0.0013683000 0.0617552200 0.9368764800 0.0000375227 0.0002391730 0.0002370357 6.0011025545 0.1616349599 6.6201850667 0.3218200972
0.75000 0.0012843100 0.0579022100 0.9408134800 0.0000352649 0.0002195347 0.0002220097 6.2304542464 0.1918348788 6.9401832833 0.4147676450
0.77500 0.0012118600 0.0544009200 0.9443872200 0.0000351806 0.0002227119 0.0002281439 6.4067997623 0.1744014401 7.1556794647 0.3678249667
0.80000 0.0011469700 0.0512559700 0.9475970600 0.0000334300 0.0002123170 0.0002117109 6.6372793703 0.2399045090 7.4112517671 0.4078764096
0.82500 0.0010912000 0.0483081600 0.9506006400 0.0000302885 0.0002155598 0.0002139244 6.8208187597 0.2378844466 7.6706585983 0.4733713378
0.85000 0.0010393200 0.0456293300 0.9533313500 0.0000317919 0.0001956832 0.0001954759 7.0494631494 0.2708336833 7.9535110077 0.5434685196
0.87500 0.0009752900 0.0431471000 0.9558776100 0.0000309823 0.0001871920 0.0001890724 7.2589886653 0.2664951250 8.1860237252 0.4871744217
