#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 100
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9810
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.32000 0.0008319005 0.0365004810 0.1519286817 0.0000004083 0.0000203983 0.0001185406 0.0002749553 0.0000000021 2.6119784461 0.0279735758 1.6822722578 0.0367555591
0.33000 0.0008123421 0.0352281959 0.1474645336 0.0000004340 0.0000211795 0.0001169499 0.0002280240 0.0000000020 2.5812679255 0.0278318228 1.6265555876 0.0341320946
0.34000 0.0007898355 0.0339767051 0.1432885716 0.0000004685 0.0000192480 0.0001236361 0.0002615808 0.0000000016 2.5602900808 0.0234338499 1.5845430073 0.0347985225
0.35000 0.0007691975 0.0328128717 0.1392102228 0.0000005146 0.0000200449 0.0001193723 0.0002384046 0.0000000020 2.5415160479 0.0247759265 1.5435038416 0.0323847183
0.36000 0.0007499082 0.0317126854 0.1354075937 0.0000005850 0.0000222341 0.0001031718 0.0002520654 0.0000000024 2.5112326255 0.0228367905 1.4941827032 0.0326349609
0.37000 0.0007296222 0.0306364366 0.1317646996 0.0000006612 0.0000220967 0.0001034001 0.0002491646 0.0000000023 2.4933881183 0.0210075049 1.4592393063 0.0289896927
0.38000 0.0007113387 0.0296384307 0.1282231776 0.0000007592 0.0000211869 0.0001041539 0.0002216019 0.0000000025 2.4734767360 0.0234280892 1.4154041997 0.0301391122
0.39000 0.0006969808 0.0286810914 0.1248760423 0.0000008865 0.0000186137 0.0001023109 0.0001988329 0.0000000028 2.4510265509 0.0215841200 1.3770477859 0.0284165323
0.40000 0.0006828872 0.0277331021 0.1216433852 0.0000007012 0.0000200543 0.0001093593 0.0002423376 0.0000000021 2.4324686089 0.0230542848 1.3390834180 0.0327980968
0.41000 0.0006626882 0.0268734544 0.1184953899 0.0000008364 0.0000184117 0.0001090812 0.0002368943 0.0000000025 2.4159674864 0.0205872761 1.3042105804 0.0316995167
0.42000 0.0006468971 0.0260132645 0.1155326782 0.0000010127 0.0000179318 0.0000998060 0.0002269263 0.0000000032 2.3974390919 0.0217587284 1.2733459721 0.0332014456
0.43000 0.0006323119 0.0252295143 0.1126963369 0.0000008342 0.0000204380 0.0001122694 0.0002185118 0.0000000023 2.3827950169 0.0197255356 1.2439126679 0.0308541524
0.44000 0.0006201556 0.0244548420 0.1098783197 0.0000010341 0.0000190610 0.0001070332 0.0002141046 0.0000000029 2.3656087991 0.0194777718 1.2111679268 0.0301869704
0.45000 0.0006023462 0.0237023179 0.1072538600 0.0000012684 0.0000166919 0.0000956738 0.0002290874 0.0000000032 2.3519350421 0.0191590152 1.1831755579 0.0259325680
0.46000 0.0005899427 0.0229770886 0.1047452402 0.0000010635 0.0000193516 0.0000991550 0.0001996423 0.0000000025 2.3394033443 0.0193898995 1.1535909546 0.0291357768
0.47000 0.0005764172 0.0222832564 0.1022701962 0.0000013657 0.0000151357 0.0000902100 0.0001955105 0.0000000034 2.3286389458 0.0162056205 1.1302215614 0.0274783428
0.48000 0.0005626738 0.0216363654 0.0998424105 0.0000011262 0.0000186199 0.0000885645 0.0001786350 0.0000000026 2.3133474276 0.0214719427 1.0975028598 0.0297739722
0.49000 0.0005485105 0.0210384723 0.0975979231 0.0000014779 0.0000173012 0.0000932395 0.0002044818 0.0000000034 2.3014432153 0.0216073540 1.0771012255 0.0315132074
0.50000 0.0005348829 0.0204130503 0.0954227548 0.0000012320 0.0000179091 0.0001005247 0.0001913010 0.0000000031 2.2942637263 0.0185208990 1.0573840977 0.0293789656
0.51000 0.0005256213 0.0198199672 0.0932840817 0.0000016489 0.0000147374 0.0000861703 0.0002185424 0.0000000035 2.2834273101 0.0185102049 1.0368133436 0.0244594602
0.52000 0.0005119315 0.0192790982 0.0912070092 0.0000014310 0.0000151100 0.0000971375 0.0002014581 0.0000000029 2.2697991894 0.0163908609 1.0075979608 0.0270727327
0.53000 0.0004985090 0.0187330358 0.0892174160 0.0000012046 0.0000159317 0.0000793991 0.0001830886 0.0000000026 2.2592979301 0.0159138909 0.9872256346 0.0255274646
0.54000 0.0004889075 0.0182309354 0.0873058460 0.0000016553 0.0000130877 0.0000848138 0.0001982689 0.0000000034 2.2501395960 0.0175005455 0.9675538506 0.0281908470
0.55000 0.0004772904 0.0177156157 0.0854146662 0.0000014049 0.0000164635 0.0000842020 0.0001735922 0.0000000025 2.2416487082 0.0158312676 0.9498871539 0.0251449301
0.56000 0.0004679882 0.0172425308 0.0836152460 0.0000019137 0.0000153275 0.0000855416 0.0002124670 0.0000000037 2.2326012921 0.0174606414 0.9299281635 0.0285617653
0.57000 0.0004580797 0.0167709015 0.0818753464 0.0000016868 0.0000140507 0.0000736582 0.0001718238 0.0000000033 2.2227872101 0.0180195912 0.9075024274 0.0276787710
0.58000 0.0004491494 0.0163325819 0.0801558840 0.0000014410 0.0000133522 0.0000842846 0.0001819571 0.0000000026 2.2174929648 0.0183183334 0.8945962390 0.0301557496
0.59000 0.0004377176 0.0158872808 0.0785146972 0.0000020829 0.0000152445 0.0000727160 0.0001668527 0.0000000041 2.2071324367 0.0154730344 0.8727364735 0.0268494865
0.60000 0.0004286111 0.0154806983 0.0769249339 0.0000017924 0.0000143898 0.0000805602 0.0001822006 0.0000000033 2.1998933712 0.0169665080 0.8587882058 0.0269982925
0.61000 0.0004193598 0.0150733612 0.0754026993 0.0000015500 0.0000137431 0.0000643498 0.0001890276 0.0000000030 2.1937096924 0.0165665910 0.8422033646 0.0285818196
0.62000 0.0004120397 0.0146863826 0.0738576555 0.0000022924 0.0000134230 0.0000781078 0.0001587007 0.0000000035 2.1860362361 0.0145879837 0.8261392795 0.0267776014
0.63000 0.0003989991 0.0143108836 0.0724092289 0.0000019967 0.0000137390 0.0000725382 0.0002073922 0.0000000040 2.1824722598 0.0169797095 0.8117045593 0.0288192885
0.64000 0.0003929591 0.0139525954 0.0710074205 0.0000018104 0.0000154376 0.0000784878 0.0001799368 0.0000000029 2.1704360045 0.0146900980 0.7918189874 0.0272478086
0.65000 0.0003833403 0.0136112958 0.0696518109 0.0000026345 0.0000138440 0.0000677515 0.0001777461 0.0000000044 2.1664874089 0.0147674330 0.7809617491 0.0267067210
0.66000 0.0003762870 0.0132602474 0.0683082273 0.0000023125 0.0000141059 0.0000649553 0.0001706866 0.0000000039 2.1614046571 0.0148287613 0.7710170837 0.0283539269
0.67000 0.0003693966 0.0129329067 0.0669569013 0.0000021108 0.0000130402 0.0000691947 0.0001806904 0.0000000035 2.1552453487 0.0150486749 0.7578287579 0.0250481465
0.68000 0.0003587111 0.0126328501 0.0656956470 0.0000018506 0.0000141636 0.0000672044 0.0001893955 0.0000000032 2.1493383826 0.0166978710 0.7418626016 0.0310696139
0.69000 0.0003542943 0.0123153108 0.0644701819 0.0000027923 0.0000114794 0.0000684905 0.0001594540 0.0000000047 2.1432861048 0.0165691552 0.7273124365 0.0268873143
0.70000 0.0003435329 0.0120228437 0.0633042874 0.0000024665 0.0000141177 0.0000699684 0.0001702686 0.0000000040 2.1425769404 0.0160907201 0.7221715938 0.0265816622
0.71000 0.0003380019 0.0117267508 0.0621137273 0.0000022656 0.0000134779 0.0000691590 0.0001750901 0.0000000034 2.1327797500 0.0177262074 0.7052026431 0.0304508439
0.72000 0.0003318231 0.0114514470 0.0610073529 0.0000020100 0.0000119288 0.0000661100 0.0001757474 0.0000000032 2.1271373423 0.0137929670 0.6938847822 0.0285124350
0.73000 0.0003216169 0.0111866610 0.0598608621 0.0000017783 0.0000112874 0.0000651142 0.0001535087 0.0000000024 2.1238214173 0.0136820773 0.6805692254 0.0246149563
0.74000 0.0003142560 0.0109255351 0.0587667412 0.0000028866 0.0000143282 0.0000533616 0.0001429090 0.0000000039 2.1224540866 0.0137879201 0.6738027906 0.0261067592
0.75000 0.0003118114 0.0106714911 0.0577397360 0.0000025790 0.0000124698 0.0000583443 0.0001551079 0.0000000032 2.1164290797 0.0148173928 0.6619458808 0.0277691743
0.76000 0.0003027703 0.0104159469 0.0567107177 0.0000022995 0.0000118517 0.0000518718 0.0001722569 0.0000000032 2.1124851609 0.0123343636 0.6544016931 0.0266750888
0.77000 0.0002981495 0.0101790978 0.0557065508 0.0000020501 0.0000111423 0.0000585385 0.0001404052 0.0000000029 2.1057482084 0.0166125529 0.6394260574 0.0314829878
0.78000 0.0002904165 0.0099589130 0.0547398742 0.0000034404 0.0000122410 0.0000577970 0.0001560414 0.0000000041 2.1020691240 0.0140713501 0.6318111268 0.0294174221
0.79000 0.0002850174 0.0097342523 0.0537868369 0.0000030883 0.0000129589 0.0000503411 0.0001611119 0.0000000040 2.1005317425 0.0143958326 0.6254484331 0.0285442685
0.80000 0.0002774831 0.0095168009 0.0528683719 0.0000027741 0.0000116043 0.0000605628 0.0001504995 0.0000000034 2.0958074933 0.0141427360 0.6171399870 0.0254656922
0.81000 0.0002741997 0.0093116056 0.0519866326 0.0000024940 0.0000106659 0.0000583799 0.0001641820 0.0000000031 2.0915168685 0.0140380091 0.6054557325 0.0262321049
0.82000 0.0002671571 0.0090964499 0.0511091596 0.0000022528 0.0000101103 0.0000579929 0.0001728384 0.0000000030 2.0892089169 0.0134272185 0.6033888013 0.0268539312
0.83000 0.0002616227 0.0088966894 0.0502237363 0.0000021530 0.0000112797 0.0000553002 0.0001585124 0.0000000030 2.0822336838 0.0145535799 0.5855381837 0.0280977445
0.84000 0.0002565875 0.0087088447 0.0493788568 0.0000035240 0.0000101381 0.0000558026 0.0001483483 0.0000000044 2.0841807467 0.0142750284 0.5855798070 0.0252311141
