#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 2
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9911
#
#alpha T A L_eff
0.01000 0.6924706476 0.3674894280 36.7489427985
0.05000 0.5230241361 0.6481276666 12.9625533312
0.09000 0.4221721464 0.8623421182 9.5815790909
0.13000 0.3509904800 1.0469961783 8.0538167562
0.17000 0.2995738853 1.2053941962 7.0905540954
0.21000 0.2610286994 1.3431249183 6.3958329441
0.25000 0.2292225774 1.4730617936 5.8922471743
0.29000 0.2028860877 1.5951106016 5.5003813847
0.33000 0.1822179440 1.7025518138 5.1592479206
0.37000 0.1628982164 1.8146297126 4.9044046285
0.41000 0.1464741420 1.9209063711 4.6851374905
0.45000 0.1331096730 2.0165818814 4.4812930697
0.49000 0.1207517526 2.1140184724 4.3143234130
0.53000 0.1097479064 2.2095693032 4.1689986852
0.57000 0.1005181885 2.2974165878 4.0305554172
0.61000 0.0910169052 2.3967100178 3.9290328161
0.65000 0.0833068447 2.4852245637 3.8234224057
0.69000 0.0767011850 2.5678381208 3.7215045228
0.73000 0.0701395440 2.6572685362 3.6400938852
0.77000 0.0648677681 2.7354044188 3.5524732712
0.81000 0.0594438747 2.8227226947 3.4848428330
0.85000 0.0547121337 2.9056697717 3.4184350255
0.89000 0.0497701999 3.0003388701 3.3711672698
0.93000 0.0461391565 3.0760933067 3.3076272115
0.97000 0.0420214389 3.1695753411 3.2676034445
