#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha_s-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9800
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.32000 0.0008203686 0.0365340234 0.1518955160 0.0000004096 0.0000747500 0.0004124998 0.0009306212 0.0000000064 2.5987414424 0.0761870840 1.6726742963 0.0992002653
0.33000 0.0008211367 0.0351228884 0.1474728111 0.0000004348 0.0000724099 0.0003584736 0.0007337624 0.0000000050 2.5856857730 0.0915985150 1.6351494283 0.1014312899
0.34000 0.0008006650 0.0339634100 0.1434469892 0.0000004677 0.0000584323 0.0003378045 0.0008605861 0.0000000059 2.5524302523 0.0588808131 1.5640138197 0.0715895761
0.35000 0.0007833744 0.0328658670 0.1392944056 0.0000005146 0.0000799483 0.0003743951 0.0007561494 0.0000000064 2.5340690559 0.0722316343 1.5509942185 0.1183924206
0.36000 0.0007590427 0.0316832487 0.1353435318 0.0000005850 0.0000709319 0.0003910057 0.0006413360 0.0000000066 2.5004979217 0.0783161633 1.4775283656 0.0883372918
0.37000 0.0007232030 0.0306186376 0.1319735067 0.0000006622 0.0000600984 0.0003383434 0.0008463280 0.0000000074 2.4995500284 0.0800255985 1.4690531875 0.1243738728
0.38000 0.0006954443 0.0296065016 0.1279989509 0.0000007602 0.0000516071 0.0003169576 0.0006775695 0.0000000083 2.4806401106 0.0802788896 1.4201942004 0.0904008882
0.39000 0.0007164353 0.0287325424 0.1250222820 0.0000008848 0.0000591057 0.0003811258 0.0008093220 0.0000000097 2.4439750005 0.0721398023 1.3698079254 0.0840169783
0.40000 0.0006935765 0.0277291235 0.1217404277 0.0000007006 0.0000650523 0.0003646777 0.0006050121 0.0000000051 2.4302125278 0.0616151273 1.3397155287 0.0821508407
0.41000 0.0006519200 0.0268709424 0.1185883784 0.0000008367 0.0000562004 0.0002860753 0.0007145862 0.0000000081 2.4176027934 0.0583024797 1.3068096979 0.0646790518
0.42000 0.0006573448 0.0258904390 0.1156470373 0.0000010132 0.0000638916 0.0003237110 0.0007532875 0.0000000093 2.3969034909 0.0820722450 1.2516914413 0.1264781054
0.43000 0.0006330153 0.0252000835 0.1126952486 0.0000008344 0.0000643605 0.0002681895 0.0005644608 0.0000000067 2.3985950086 0.0682529953 1.2809235868 0.0918685308
0.44000 0.0006092363 0.0244618294 0.1100833107 0.0000010341 0.0000698599 0.0002937801 0.0007616705 0.0000000083 2.3569335076 0.0637120270 1.1977509937 0.0797632024
0.45000 0.0006009768 0.0237228654 0.1074147094 0.0000012672 0.0000632257 0.0002683667 0.0006931687 0.0000000090 2.3638357202 0.0623139213 1.1881413969 0.0623069169
0.46000 0.0006080900 0.0229703547 0.1048230755 0.0000010634 0.0000636398 0.0003233909 0.0007025980 0.0000000081 2.3220236347 0.0750212827 1.1235823740 0.1050418399
0.47000 0.0005747458 0.0223198119 0.1023594368 0.0000013632 0.0000478914 0.0002863596 0.0006887691 0.0000000110 2.3299650761 0.0621499151 1.1276871383 0.0841209757
0.48000 0.0005558251 0.0216230666 0.0997746833 0.0000011266 0.0000548120 0.0002613280 0.0004889718 0.0000000068 2.3284953994 0.0683479903 1.1205889869 0.1029368681
0.49000 0.0005332790 0.0210542143 0.0975137020 0.0000014781 0.0000466152 0.0002926739 0.0006983067 0.0000000106 2.2990727255 0.0637082094 1.0565884744 0.0999224796
0.50000 0.0005421329 0.0204553828 0.0953059699 0.0000012327 0.0000549598 0.0002853980 0.0007026552 0.0000000080 2.2924060425 0.0678740698 1.0445069741 0.0851238717
