#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 4
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha_s-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9803
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0021231990 0.2080229766 0.6930628241 0.0000000000 0.0001460040 0.0011735157 0.0012014048 0.0000000000 9.0218646138 0.5384518479 8.8491434718 0.6045137151
0.02000 0.0018896435 0.1888279865 0.6318311941 0.0000000000 0.0001346242 0.0009608777 0.0009441520 0.0000000000 8.5864635108 0.6556294023 8.2539951044 0.6894409051
0.03000 0.0017762364 0.1725640198 0.5801922626 0.0000000000 0.0001201691 0.0009649196 0.0009665798 0.0000000000 7.7848722311 0.4491303052 7.5386632794 0.4218935613
0.04000 0.0016506793 0.1586607719 0.5357010889 0.0000000000 0.0000996192 0.0010234547 0.0011827879 0.0000000000 7.2127794924 0.4256385122 6.8540124602 0.3903797678
0.05000 0.0015228376 0.1467811302 0.4973409046 0.0000000000 0.0001009508 0.0008824664 0.0008389332 0.0000000000 6.9740503206 0.3842477363 6.5653005516 0.3540954639
0.06000 0.0014262358 0.1362666732 0.4635232316 0.0000000000 0.0001003649 0.0006350389 0.0009171777 0.0000000000 6.4329202071 0.3458883344 6.0132484500 0.3398204018
0.07000 0.0013846869 0.1268737339 0.4338656770 0.0000000000 0.0000839870 0.0008658288 0.0010774324 0.0000000000 6.1536256114 0.2654339557 5.6484248300 0.2711252805
0.08000 0.0012578927 0.1186443823 0.4077136687 0.0000000000 0.0000703312 0.0008225109 0.0011946443 0.0000000000 5.8587572619 0.2474315398 5.4068186048 0.2049646867
0.09000 0.0012185731 0.1115348733 0.3841330028 0.0000000000 0.0000954905 0.0006986282 0.0010637149 0.0000000001 5.5290664371 0.2881333069 5.0455982996 0.2350255074
0.10000 0.0011509766 0.1048080813 0.3628459322 0.0000000001 0.0000793871 0.0008068788 0.0009241016 0.0000000001 5.2718112000 0.2842052933 4.7433704076 0.2026809454
0.11000 0.0010945596 0.0990565737 0.3433648227 0.0000000003 0.0000800569 0.0004639296 0.0008907430 0.0000000002 5.0459411905 0.1947601290 4.5218759823 0.2260772979
0.12000 0.0010394569 0.0935655130 0.3266484040 0.0000000008 0.0000787318 0.0006370783 0.0007776793 0.0000000002 4.8154297040 0.2416354274 4.2622166935 0.1334554620
0.13000 0.0009815403 0.0885820193 0.3102499143 0.0000000018 0.0000808036 0.0006431996 0.0007516002 0.0000000003 4.6985154537 0.2066524582 4.1545648280 0.1788604319
0.14000 0.0009231399 0.0842381320 0.2958904215 0.0000000030 0.0000699534 0.0006808600 0.0009387469 0.0000000006 4.6051734944 0.2200120573 3.9668287368 0.1810073239
0.15000 0.0008958608 0.0802224460 0.2824036994 0.0000000055 0.0000823865 0.0006019662 0.0011011183 0.0000000011 4.4179775943 0.2214648779 3.7496653561 0.1343538287
0.16000 0.0008538277 0.0762239840 0.2702823653 0.0000000089 0.0000687217 0.0005609121 0.0013099257 0.0000000007 4.2666887380 0.1885927024 3.6201970107 0.1532435556
0.17000 0.0008252905 0.0730919356 0.2582322677 0.0000000137 0.0000613131 0.0005144369 0.0010903595 0.0000000012 4.1188287870 0.1880839359 3.4475335818 0.1488264468
0.18000 0.0007906110 0.0696033025 0.2477985234 0.0000000199 0.0000676459 0.0005070156 0.0006779574 0.0000000014 4.0406298028 0.1855717986 3.3234555607 0.1421589206
0.19000 0.0007632424 0.0664926434 0.2380935198 0.0000000267 0.0000600001 0.0004733011 0.0006490320 0.0000000016 3.9460850577 0.1943840508 3.2088654134 0.1086116663
0.20000 0.0007239073 0.0638007236 0.2287218119 0.0000000381 0.0000592777 0.0005821440 0.0010410823 0.0000000024 3.7585784429 0.1406190548 3.0550103254 0.1294297231
0.21000 0.0006873023 0.0611417264 0.2202738372 0.0000000470 0.0000534916 0.0005657291 0.0008989974 0.0000000021 3.7248978836 0.1688445395 2.9844171332 0.1308845060
0.22000 0.0006840828 0.0589610373 0.2119647293 0.0000000600 0.0000473873 0.0005534872 0.0008051676 0.0000000018 3.6566531806 0.1751107369 2.8523126589 0.1193204958
0.23000 0.0006499393 0.0566477279 0.2044380532 0.0000000806 0.0000550087 0.0006474070 0.0009659143 0.0000000030 3.5925958781 0.1590048347 2.7895659201 0.1376825746
0.24000 0.0006240612 0.0543765864 0.1974136040 0.0000000964 0.0000716363 0.0004397558 0.0007920414 0.0000000036 3.4958570076 0.1894928541 2.6587667793 0.1844183977
0.25000 0.0006117730 0.0525101456 0.1904780896 0.0000001207 0.0000442381 0.0004983659 0.0009332026 0.0000000030 3.4227691388 0.1244648245 2.5826440863 0.1049819589
0.26000 0.0005981258 0.0505558195 0.1842020626 0.0000001415 0.0000525653 0.0004746007 0.0007036092 0.0000000036 3.3025588591 0.1522446150 2.4669961088 0.1215468849
0.27000 0.0005743385 0.0487732937 0.1783820573 0.0000001580 0.0000473427 0.0003990916 0.0006809781 0.0000000040 3.2886537384 0.1498448888 2.4255374636 0.1178935767
0.28000 0.0005442423 0.0470390491 0.1726398264 0.0000001836 0.0000560624 0.0004554614 0.0006715818 0.0000000050 3.2792078500 0.1372665763 2.3772428863 0.0923186654
0.29000 0.0005276478 0.0455619209 0.1671712574 0.0000002185 0.0000458865 0.0005527793 0.0008113350 0.0000000037 3.2154001303 0.1550381174 2.3112849101 0.1048082942
0.30000 0.0005261055 0.0439364736 0.1622891341 0.0000002411 0.0000482232 0.0004541648 0.0008145198 0.0000000040 3.1244864405 0.1460137336 2.2318656546 0.1058999772
0.31000 0.0004955084 0.0426261898 0.1573035843 0.0000002711 0.0000478425 0.0004925124 0.0007571629 0.0000000045 3.0921543407 0.1374943226 2.2390629865 0.1094036017
0.32000 0.0004818347 0.0412168481 0.1527428952 0.0000003148 0.0000497431 0.0003957231 0.0006865957 0.0000000047 3.0372791243 0.1242243293 2.1039833444 0.1048874525
0.33000 0.0004584808 0.0399812843 0.1482886846 0.0000003399 0.0000368728 0.0004138562 0.0006622809 0.0000000058 3.0068225056 0.1045085349 2.0659502505 0.0975965565
0.34000 0.0004665071 0.0387035111 0.1440531547 0.0000003725 0.0000397984 0.0003077897 0.0006464333 0.0000000071 2.9219554766 0.1126614937 2.0025575228 0.0703490880
