#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 2
#Anisotropy: g 0.6
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9921
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0019692618 0.2150761948 0.6871394644 0.0958150789 0.0000374171 0.0003986816 0.0004075482 0.0000800416 9.4299530224 0.2032519236 9.0679599143 0.2372953297
0.05000 0.0014261375 0.1553795453 0.4926610621 0.3505332551 0.0000331344 0.0002980713 0.0003134593 0.0002275782 7.0194491137 0.1487869211 6.6067448149 0.1157317103
0.09000 0.0011074577 0.1210519956 0.3805871098 0.4972534370 0.0000253583 0.0002821615 0.0003066479 0.0002384347 5.6646416391 0.0937314398 5.1752057077 0.0724485147
0.13000 0.0009032207 0.0989072621 0.3076630290 0.5925264882 0.0000245874 0.0002330010 0.0003309766 0.0003038604 4.7704222382 0.0820208428 4.2411336468 0.0667510544
0.17000 0.0007520300 0.0834487871 0.2564427067 0.6593564761 0.0000206909 0.0001958992 0.0002873751 0.0002714418 4.1844324202 0.0737411173 3.5960795084 0.0451812717
0.21000 0.0006469474 0.0720875178 0.2186435966 0.7086219386 0.0000187556 0.0001854150 0.0003159619 0.0003149278 3.7143144244 0.0562682900 3.1080506904 0.0478701788
0.25000 0.0005579629 0.0634821699 0.1895032292 0.7464566385 0.0000179431 0.0001779512 0.0002573902 0.0002655428 3.3891070741 0.0656221347 2.7473748523 0.0405899780
0.29000 0.0004910604 0.0567008380 0.1664848876 0.7763232143 0.0000155604 0.0001618201 0.0002437830 0.0002549635 3.1155256300 0.0529292986 2.4570696082 0.0411766548
0.33000 0.0004342017 0.0512051450 0.1477050255 0.8006556269 0.0000142632 0.0001366288 0.0002138272 0.0002358969 2.8995498970 0.0468938469 2.2210520407 0.0331275058
0.37000 0.0003888543 0.0467465580 0.1323095136 0.8205550733 0.0000132824 0.0001526677 0.0002195269 0.0002506318 2.7130211017 0.0499574551 2.0310282932 0.0399908972
0.41000 0.0003485858 0.0430196921 0.1193365478 0.8372951741 0.0000138319 0.0001539556 0.0001963912 0.0002348890 2.5684678104 0.0512416104 1.8762585601 0.0337808603
0.45000 0.0003139218 0.0398596129 0.1083014962 0.8515249690 0.0000117604 0.0001640531 0.0001908886 0.0002144161 2.4415382616 0.0539836994 1.7425201720 0.0322153337
0.49000 0.0002872065 0.0371942197 0.0987825387 0.8637360349 0.0000121454 0.0001293799 0.0002047380 0.0002280506 2.3175555691 0.0478688973 1.6232283994 0.0285951939
0.53000 0.0002638703 0.0348954766 0.0905324561 0.8743081971 0.0000120868 0.0001521337 0.0001854294 0.0001978578 2.2229090245 0.0412745753 1.5279037152 0.0396175920
0.57000 0.0002377369 0.0328838462 0.0833032407 0.8835751760 0.0000109060 0.0001108988 0.0001609902 0.0001963370 2.1391039054 0.0448437343 1.4502885369 0.0312278116
0.61000 0.0002201418 0.0311259434 0.0769313560 0.8917225603 0.0000108575 0.0001209009 0.0001742383 0.0001866315 2.0544181406 0.0467142468 1.3805691974 0.0279456391
0.65000 0.0002052694 0.0295919669 0.0712669732 0.8989357897 0.0000099604 0.0001203462 0.0001798169 0.0002110578 1.9729048357 0.0457991479 1.3149250933 0.0307724742
0.69000 0.0001873328 0.0282357018 0.0662183521 0.9053586119 0.0000084011 0.0001185686 0.0001833553 0.0001979537 1.9139054694 0.0428485269 1.2678683556 0.0293337915
0.73000 0.0001748624 0.0270128621 0.0616587404 0.9111535353 0.0000084113 0.0001159687 0.0001672518 0.0001938348 1.8555491597 0.0396729067 1.2081888454 0.0268677373
0.77000 0.0001627159 0.0259386098 0.0575638105 0.9163348610 0.0000073994 0.0001215958 0.0001465292 0.0001957353 1.7940010721 0.0454136421 1.1705520704 0.0284793903
0.81000 0.0001512812 0.0249483281 0.0538383359 0.9210620573 0.0000070229 0.0000980158 0.0001266993 0.0001561002 1.7422009901 0.0452474286 1.1359735917 0.0243919386
0.85000 0.0001407721 0.0240650431 0.0504624809 0.9253317055 0.0000063373 0.0001090479 0.0001554822 0.0001749131 1.6936385798 0.0439235138 1.0990292620 0.0247760703
0.89000 0.0001324731 0.0232512919 0.0473827044 0.9292335317 0.0000075486 0.0001013277 0.0001372902 0.0001595666 1.6487348508 0.0444375995 1.0743194599 0.0251504675
0.93000 0.0001234853 0.0225169158 0.0445637815 0.9327958171 0.0000064866 0.0001034387 0.0001260595 0.0001488765 1.6086635173 0.0476227020 1.0453712917 0.0262882005
0.97000 0.0001155405 0.0218534479 0.0419718638 0.9360591482 0.0000064274 0.0001164768 0.0001300914 0.0001605639 1.5521969850 0.0453049254 1.0225303405 0.0242201057
