#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 3
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9912
#
#alpha T A L_eff
0.01000 0.6342943098 0.4552422213 45.5242221269
0.05000 0.4714669368 0.7519063028 15.0381260558
0.09000 0.3723044175 0.9880434328 10.9782603641
0.13000 0.3079869294 1.1776979340 9.0592148773
0.17000 0.2585051647 1.3528396057 7.9578800336
0.21000 0.2230374693 1.5004154980 7.1448357050
0.25000 0.1950429545 1.6345354654 6.5381418617
0.29000 0.1729055910 1.7550095501 6.0517570694
0.33000 0.1525662853 1.8801561195 5.6974427864
0.37000 0.1366648146 1.9902239595 5.3789836743
0.41000 0.1220381864 2.1034212797 5.1302958041
0.45000 0.1099656706 2.2075870476 4.9057489948
0.49000 0.0993334513 2.3092728936 4.7128018236
0.53000 0.0902772452 2.4048698410 4.5374902661
0.57000 0.0821160481 2.4996218109 4.3853014226
0.61000 0.0747285772 2.5938927001 4.2522831149
0.65000 0.0684735004 2.6813084642 4.1250899449
0.69000 0.0626891050 2.7695676100 4.0138661014
0.73000 0.0577140352 2.8522548905 3.9071984801
0.77000 0.0527207959 2.9427452925 3.8217471331
0.81000 0.0481424277 3.0335914182 3.7451745904
0.85000 0.0442915944 3.1169603635 3.6670121924
0.89000 0.0408180828 3.1986300908 3.5939663941
0.93000 0.0374604357 3.2844699505 3.5316881188
0.97000 0.0344468977 3.3683363368 3.4725116874
