#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9910
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0027599542 0.2057223550 0.6943726881 0.0000000000 0.0000467265 0.0003922754 0.0004031310 0.0000000000 7.4658687759 0.1322358997 8.3653121719 0.2024222482
0.05000 0.0021377964 0.1435847484 0.4980289769 0.0000000000 0.0000368388 0.0002999278 0.0003608650 0.0000000000 5.4955395710 0.0851876806 5.8880555073 0.0807991764
0.09000 0.0017594269 0.1078672603 0.3842514517 0.0000000001 0.0000373321 0.0002812852 0.0003657555 0.0000000000 4.4344850352 0.0703466147 4.4937836125 0.0734364672
0.13000 0.0014899357 0.0847448598 0.3102087635 0.0000000028 0.0000306503 0.0001999689 0.0002937436 0.0000000002 3.7957530396 0.0471034023 3.5794894439 0.0591100605
0.17000 0.0012963906 0.0685915336 0.2582258158 0.0000000204 0.0000302183 0.0001578325 0.0002882047 0.0000000004 3.3684512553 0.0425817723 2.9390966359 0.0423256531
0.21000 0.0011357015 0.0568491268 0.2196951423 0.0000000696 0.0000272371 0.0001620219 0.0002817519 0.0000000008 3.0777658373 0.0315953871 2.4838094039 0.0364303223
0.25000 0.0010124535 0.0478779274 0.1900269275 0.0000001674 0.0000249581 0.0001386450 0.0002613529 0.0000000012 2.8622689720 0.0288541754 2.1272433027 0.0386691345
0.29000 0.0008983799 0.0408426312 0.1665231971 0.0000002659 0.0000246725 0.0001486965 0.0002554124 0.0000000016 2.7110940404 0.0276155629 1.8546025640 0.0315945121
0.33000 0.0008091495 0.0352133486 0.1474985197 0.0000004341 0.0000196806 0.0001187726 0.0002661816 0.0000000020 2.5887347968 0.0246972509 1.6348172712 0.0332250765
0.37000 0.0007302721 0.0306487219 0.1317435023 0.0000006609 0.0000209169 0.0001026786 0.0002357195 0.0000000026 2.4943165286 0.0226897199 1.4615935601 0.0327726305
0.41000 0.0006640035 0.0268509787 0.1184894415 0.0000008360 0.0000200695 0.0001081455 0.0002392592 0.0000000025 2.4152608539 0.0238047872 1.3076610373 0.0326979913
0.45000 0.0006022082 0.0236898734 0.1072578683 0.0000012681 0.0000181214 0.0001021937 0.0002221628 0.0000000028 2.3566925437 0.0192426275 1.1880172784 0.0294003078
0.49000 0.0005476293 0.0210057642 0.0976026543 0.0000014781 0.0000177279 0.0000896514 0.0001627989 0.0000000030 2.3038549741 0.0171103876 1.0813899433 0.0259309899
0.53000 0.0005024210 0.0187414402 0.0892068578 0.0000012040 0.0000157291 0.0000868301 0.0002039561 0.0000000024 2.2591286764 0.0156574119 0.9893557775 0.0273354458
0.57000 0.0004596365 0.0167769269 0.0818716398 0.0000016865 0.0000159762 0.0000815380 0.0001668873 0.0000000029 2.2241000102 0.0160497183 0.9090671602 0.0281946284
0.61000 0.0004227711 0.0150727923 0.0753790416 0.0000015501 0.0000140516 0.0000714177 0.0001746335 0.0000000031 2.1921462159 0.0157919975 0.8358802495 0.0259163594
0.65000 0.0003833840 0.0136037592 0.0696323833 0.0000026347 0.0000145641 0.0000703522 0.0001890881 0.0000000041 2.1702831107 0.0156993804 0.7874350802 0.0278881687
0.69000 0.0003515647 0.0123174234 0.0644847592 0.0000027911 0.0000125665 0.0000732838 0.0001655712 0.0000000039 2.1467199908 0.0160572920 0.7342966417 0.0260194573
0.73000 0.0003241261 0.0111850506 0.0598862598 0.0000017783 0.0000116038 0.0000601737 0.0001429024 0.0000000025 2.1220587573 0.0142111248 0.6800981707 0.0256031642
0.77000 0.0002958933 0.0101857556 0.0557100475 0.0000020500 0.0000105382 0.0000607426 0.0001480101 0.0000000029 2.1073430823 0.0155905895 0.6454744989 0.0293474996
0.81000 0.0002752340 0.0093200925 0.0519647371 0.0000024924 0.0000102342 0.0000608441 0.0001630948 0.0000000032 2.0869917355 0.0128323555 0.6010818412 0.0240546574
0.85000 0.0002519403 0.0085168593 0.0485535443 0.0000031917 0.0000109414 0.0000511530 0.0001466613 0.0000000036 2.0772286011 0.0132392778 0.5739846577 0.0274264076
0.89000 0.0002310248 0.0078241458 0.0454069771 0.0000022951 0.0000107897 0.0000471719 0.0001439255 0.0000000027 2.0650768298 0.0157740958 0.5468910423 0.0280565774
0.93000 0.0002134884 0.0072064997 0.0425732709 0.0000029960 0.0000089361 0.0000436976 0.0001526399 0.0000000037 2.0524495316 0.0127651804 0.5216035945 0.0266094774
0.97000 0.0001958943 0.0066318203 0.0399547502 0.0000043444 0.0000095716 0.0000469626 0.0001340226 0.0000000048 2.0429618702 0.0147448601 0.4970302485 0.0289674077
