#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 2
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9801
#
#alpha T A L_eff
0.01000 0.6883728917 0.3734245942 37.3424594191
0.02000 0.6406829183 0.4452206116 22.2610305806
0.03000 0.6000122979 0.5108051275 17.0268375844
0.04000 0.5629052947 0.5746438805 14.3660970123
0.05000 0.5172413358 0.6592457130 13.1849142603
0.06000 0.4876986267 0.7180576321 11.9676272017
0.07000 0.4754245221 0.7435471433 10.6221020478
0.08000 0.4395673933 0.8219642329 10.2745529106
0.09000 0.4183406780 0.8714591593 9.6828795476
0.10000 0.3938325020 0.9318295819 9.3182958187
0.11000 0.3843834009 0.9561147847 8.6919525880
0.12000 0.3687333908 0.9976814143 8.3140117856
0.13000 0.3577054082 1.0280455136 7.9080424121
0.14000 0.3356549036 1.0916717194 7.7976551383
0.15000 0.3196807536 1.1404324260 7.6028828402
0.16000 0.3136672956 1.1594224231 7.2463901445
0.17000 0.3015645572 1.1987711658 7.0515950928
0.18000 0.2938265095 1.2247657897 6.8042543874
0.19000 0.2840539028 1.2585912602 6.6241645274
0.20000 0.2764238489 1.2858199068 6.4290995341
0.21000 0.2640393904 1.3316569809 6.3412237186
0.22000 0.2517449476 1.3793388167 6.2697218939
0.23000 0.2452053593 1.4056592183 6.1115618188
0.24000 0.2401423954 1.4265232176 5.9438467399
0.25000 0.2295458157 1.4716526369 5.8866105476
0.26000 0.2181508358 1.5225685479 5.8560328765
0.27000 0.2138904581 1.5422912732 5.7121899008
0.28000 0.2093604136 1.5636980453 5.5846358761
0.29000 0.2097336303 1.5619169808 5.3859206234
0.30000 0.1993122916 1.6128823800 5.3762746001
0.31000 0.1981399376 1.6187817425 5.2218765888
0.32000 0.1917142051 1.6517495311 5.1617172846
0.33000 0.1765616284 1.7340852941 5.2548039216
0.34000 0.1719414332 1.7606013647 5.1782393081
0.35000 0.1724163369 1.7578431636 5.0224090390
0.36000 0.1677706813 1.7851572244 4.9587700677
0.37000 0.1617459113 1.8217286237 4.9235908748
0.38000 0.1627020042 1.8158349466 4.7785130174
0.39000 0.1587777270 1.8402499985 4.7185897397
0.40000 0.1574072898 1.8489186302 4.6222965755
0.41000 0.1480445634 1.9102419462 4.6591266981
0.42000 0.1478616733 1.9114780819 4.5511382903
0.43000 0.1425194181 1.9482770209 4.5308767927
0.44000 0.1386565010 1.9757556201 4.4903536820
0.45000 0.1342604318 2.0079738442 4.4621640981
0.46000 0.1280055879 2.0556813604 4.4688725226
0.47000 0.1224583922 2.0999839622 4.4680509834
0.48000 0.1243557566 2.0846088160 4.3429350334
0.49000 0.1233111482 2.0930444578 4.2715193016
0.50000 0.1174234102 2.1419689864 4.2839379729
