#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g = 0.6
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9920
#
#alpha T A L_eff
0.01000 0.6449552059 0.4385744127 43.8574412749
0.05000 0.4820436259 0.7297206589 14.5944131787
0.09000 0.3855760985 0.9530167033 10.5890744809
0.13000 0.3193324261 1.1415226307 8.7809433133
0.17000 0.2707077355 1.3067155070 7.6865618058
0.21000 0.2342472670 1.4513780251 6.9113239292
0.25000 0.2051526526 1.5840009300 6.3360037201
0.29000 0.1805724805 1.7116230280 5.9021483725
0.33000 0.1615783517 1.8227651038 5.5235306177
0.37000 0.1450162437 1.9309095176 5.2186743720
0.41000 0.1306012029 2.0356068515 4.9648947598
0.45000 0.1181299731 2.1359697941 4.7465995425
0.49000 0.1074605746 2.2306312467 4.5523086668
0.53000 0.0973239208 2.3297104746 4.3956801408
0.57000 0.0893238028 2.4154872782 4.2376969792
0.61000 0.0813775894 2.5086553582 4.1125497675
0.65000 0.0748684985 2.5920220578 3.9877262427
0.69000 0.0679757723 2.6886039270 3.8965274304
0.73000 0.0631168631 2.7627673014 3.7846127416
0.77000 0.0578238412 2.8503541106 3.7017585851
0.81000 0.0539845724 2.9190569704 3.6037740375
0.85000 0.0492284485 3.0112836012 3.5426865896
0.89000 0.0455088936 3.0898475088 3.4717387739
0.93000 0.0423817562 3.1610372868 3.3989648245
0.97000 0.0388381417 3.2483524808 3.3488169905
