#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 3
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha_s-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9802
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0022568148 0.2071077634 0.6937540551 0.0000000000 0.0001330170 0.0014989301 0.0015249153 0.0000000000 8.7344075964 0.6449261290 8.8631005001 0.6333478008
0.02000 0.0020828517 0.1880694302 0.6322000370 0.0000000000 0.0001153579 0.0011032473 0.0011283301 0.0000000000 7.9837231143 0.5601802726 8.1212130068 0.5403954957
0.03000 0.0019026718 0.1714712553 0.5806915471 0.0000000000 0.0001362648 0.0010345908 0.0011299430 0.0000000000 7.3693048320 0.3770776200 7.3148217138 0.4899070376
0.04000 0.0017484482 0.1574250810 0.5366090542 0.0000000000 0.0000870989 0.0006390479 0.0007560600 0.0000000000 6.9411222074 0.3769380975 6.8466423322 0.4228930674
0.05000 0.0016275333 0.1455171756 0.4975209366 0.0000000000 0.0001009116 0.0008681297 0.0009870355 0.0000000000 6.6672428070 0.3888397541 6.4656520121 0.3795411049
0.06000 0.0015724588 0.1352494239 0.4639599417 0.0000000000 0.0001102297 0.0008111630 0.0007959634 0.0000000000 6.1049924638 0.2892028379 5.9244450090 0.2897343533
0.07000 0.0014693982 0.1258168433 0.4342780714 0.0000000000 0.0000940222 0.0009704944 0.0012149244 0.0000000000 5.7511971358 0.2398103449 5.4932126318 0.2127119040
0.08000 0.0013981375 0.1176297202 0.4076036743 0.0000000000 0.0001022288 0.0006859269 0.0009350433 0.0000000000 5.5136708655 0.2525782341 5.2252906421 0.2641040720
0.09000 0.0013321205 0.1103858691 0.3841498390 0.0000000000 0.0000779548 0.0005385706 0.0008853330 0.0000000001 5.2529673308 0.2384544455 4.8959023383 0.1749576377
0.10000 0.0012552714 0.1036428549 0.3630242145 0.0000000001 0.0000811960 0.0009296817 0.0010582889 0.0000000001 5.0602181332 0.2320320886 4.7097237862 0.2034202631
0.11000 0.0011971522 0.0977437147 0.3436025658 0.0000000003 0.0000886451 0.0007596048 0.0009848945 0.0000000002 4.7817012048 0.2235504622 4.3815089191 0.2244997961
0.12000 0.0011534008 0.0923200033 0.3260771465 0.0000000010 0.0000845321 0.0006189595 0.0010187126 0.0000000004 4.6125041544 0.2057409812 4.2037317578 0.1869055831
0.13000 0.0010930509 0.0873738927 0.3101117452 0.0000000016 0.0000786230 0.0006390630 0.0008688873 0.0000000004 4.4823500960 0.2394116238 4.0021738679 0.1734454982
0.14000 0.0010149841 0.0830806318 0.2953786274 0.0000000036 0.0000883036 0.0006060088 0.0009510222 0.0000000005 4.3268832488 0.2278767160 3.8082868195 0.2420288307
0.15000 0.0009861513 0.0788074080 0.2821850794 0.0000000064 0.0000675488 0.0005633819 0.0008136090 0.0000000008 4.1852155907 0.2045270863 3.6464449554 0.1818469278
0.16000 0.0009661635 0.0748230029 0.2698608963 0.0000000095 0.0000753457 0.0006147146 0.0012068958 0.0000000009 4.0395071718 0.2140460491 3.4715253561 0.1762455559
0.17000 0.0009053059 0.0714253919 0.2584516143 0.0000000149 0.0000829335 0.0006810817 0.0009983773 0.0000000010 3.9384751263 0.1817757153 3.3427023391 0.1628260211
0.18000 0.0008911897 0.0682919858 0.2477386844 0.0000000205 0.0000676691 0.0006035667 0.0008059888 0.0000000015 3.8276847824 0.1480465875 3.2031444779 0.1300824907
0.19000 0.0008476724 0.0650007693 0.2382516582 0.0000000287 0.0000586328 0.0005399627 0.0007889071 0.0000000017 3.7356986034 0.1629329250 3.0562074460 0.1454718739
