#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 3
#Anisotropy: g 0.6
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9922
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0018721323 0.2211198591 0.6820097577 0.0949982509 0.0000445972 0.0003745774 0.0003801855 0.0000729388 9.6333957197 0.1970280839 9.1719621227 0.2427508399
0.05000 0.0013497861 0.1628052009 0.4887697455 0.3470752675 0.0000336158 0.0003006469 0.0003270663 0.0002130252 7.1570609733 0.1273390466 6.7064758668 0.1139067420
0.09000 0.0010447421 0.1293108828 0.3776339950 0.4920103800 0.0000250995 0.0002692389 0.0003429253 0.0003040331 5.7198524919 0.0854051164 5.2810124474 0.0828109858
0.13000 0.0008496559 0.1077244150 0.3054076151 0.5860183140 0.0000215893 0.0002486633 0.0003084851 0.0002937648 4.8039776140 0.0858887829 4.3624749729 0.0640201443
0.17000 0.0007080294 0.0926275996 0.2547480667 0.6519163043 0.0000207610 0.0002534353 0.0002545128 0.0002721020 4.1558982400 0.0747753972 3.7223168475 0.0525520938
0.21000 0.0006052287 0.0814419421 0.2173898882 0.7005629413 0.0000191804 0.0002294405 0.0002595896 0.0002912074 3.6846793514 0.0767461175 3.2382878681 0.0489509394
0.25000 0.0005257966 0.0729825654 0.1886660539 0.7378255840 0.0000166260 0.0001741774 0.0002845963 0.0002497490 3.3136158637 0.0649780933 2.8736251360 0.0439628686
0.29000 0.0004634452 0.0662450446 0.1657796964 0.7675118134 0.0000152129 0.0001595352 0.0002409055 0.0002447384 3.0094924095 0.0604717202 2.5861968660 0.0324128772
0.33000 0.0004127166 0.0608230156 0.1473835714 0.7913806961 0.0000161541 0.0001832672 0.0002213756 0.0002377341 2.7702422082 0.0617376791 2.3567296173 0.0371277955
0.37000 0.0003715517 0.0563721156 0.1321244136 0.8111319180 0.0000138209 0.0001852028 0.0001985905 0.0002745123 2.5478927267 0.0530120785 2.1601816271 0.0370527662
0.41000 0.0003355269 0.0526463199 0.1192901473 0.8277280059 0.0000134392 0.0001634141 0.0002272028 0.0002541594 2.3890727744 0.0587367091 2.0051256458 0.0350184067
0.45000 0.0003052777 0.0494917379 0.1083476339 0.8418553501 0.0000106813 0.0001860831 0.0001782722 0.0002187195 2.2465055400 0.0568060092 1.8676997016 0.0331973680
0.49000 0.0002785185 0.0467899248 0.0989796054 0.8539519521 0.0000122338 0.0001516780 0.0001808471 0.0002177961 2.1157488461 0.0602852227 1.7533678139 0.0339617502
0.53000 0.0002594061 0.0444364552 0.0908080920 0.8644960458 0.0000093164 0.0001509487 0.0001949122 0.0002177667 1.9925183900 0.0484021386 1.6424243722 0.0296114445
0.57000 0.0002387437 0.0423908836 0.0836859062 0.8736844661 0.0000107205 0.0001579881 0.0001728730 0.0002209352 1.8990760476 0.0517627721 1.5584969221 0.0274956345
0.61000 0.0002211424 0.0406074374 0.0773662473 0.8818051719 0.0000093613 0.0001622631 0.0001617424 0.0002026664 1.7962235714 0.0407775110 1.4798675340 0.0258028471
0.65000 0.0002076513 0.0389652243 0.0717776681 0.8890494560 0.0000087396 0.0001526956 0.0001674676 0.0002225037 1.7220483344 0.0471108927 1.4082439064 0.0253764185
0.69000 0.0001942859 0.0375676803 0.0667633140 0.8954747196 0.0000093009 0.0001377565 0.0001488447 0.0002081533 1.6426875791 0.0517644331 1.3449670851 0.0261816274
0.73000 0.0001808963 0.0362977509 0.0622602319 0.9012611217 0.0000085749 0.0001389452 0.0001511709 0.0001900618 1.5712358788 0.0458805741 1.2925202382 0.0223191164
0.77000 0.0001705175 0.0351251880 0.0581904920 0.9065138030 0.0000085363 0.0001518576 0.0001649173 0.0002220513 1.5012732994 0.0478770867 1.2404617442 0.0237819661
0.81000 0.0001608709 0.0340797376 0.0545300778 0.9112293129 0.0000095606 0.0001500936 0.0001463871 0.0002135568 1.4490504176 0.0453988835 1.1942467550 0.0253562444
0.85000 0.0001522909 0.0330903053 0.0511741071 0.9155832941 0.0000085237 0.0001283152 0.0001176840 0.0001440755 1.3939022752 0.0499062864 1.1470450226 0.0256494214
0.89000 0.0001428341 0.0322097016 0.0480992128 0.9195482504 0.0000066852 0.0001490309 0.0001407471 0.0001916871 1.3430111884 0.0478836640 1.1110052541 0.0267586301
0.93000 0.0001370914 0.0314059655 0.0453098933 0.9231470494 0.0000066338 0.0001437222 0.0001375751 0.0001681476 1.2964955742 0.0444458983 1.0699183997 0.0238917737
0.97000 0.0001300569 0.0306457211 0.0427595677 0.9264646528 0.0000068201 0.0001358873 0.0001211667 0.0001670546 1.2575675106 0.0445541967 1.0371258835 0.0215856289
