#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9910
#
#alpha T A L_eff
0.01000 0.7820272922 0.2458656386 24.5865638590
0.05000 0.6057401787 0.5013041329 10.0260826575
0.09000 0.4985299597 0.6960915918 7.7343510198
0.13000 0.4221701779 0.8623467810 6.6334367772
0.17000 0.3673295791 1.0014957983 5.8911517549
0.21000 0.3217986563 1.1338292200 5.3991867617
0.25000 0.2868766014 1.2487031158 4.9948124634
0.29000 0.2545540782 1.3682419775 4.7180757845
0.33000 0.2292708408 1.4728512633 4.4631856464
0.37000 0.2069210867 1.5754177823 4.2578858981
0.41000 0.1881440066 1.6705476167 4.0745063821
0.45000 0.1706344578 1.7682316840 3.9294037422
0.49000 0.1551696286 1.8632363824 3.8025232294
0.53000 0.1423599606 1.9493964950 3.6781065943
0.57000 0.1302370484 2.0383990401 3.5761386668
0.61000 0.1197913015 2.1220042040 3.4786954165
0.65000 0.1086310701 2.2197978153 3.4150735619
0.69000 0.0996151232 2.3064412863 3.3426685309
0.73000 0.0918404506 2.3877024396 3.2708252598
0.77000 0.0838407666 2.4788359150 3.2192674221
0.81000 0.0779869891 2.5512132721 3.1496460150
0.85000 0.0713867587 2.6396428791 3.1054622107
0.89000 0.0654603944 2.7263099852 3.0632696463
0.93000 0.0604914878 2.8052526215 3.0164006683
0.97000 0.0555062386 2.8912598582 2.9806802662
