#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 2
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha_s-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9801
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0024152710 0.2059945089 0.6945355004 0.0000000000 0.0001826908 0.0013185682 0.0013482650 0.0000000000 8.2733865109 0.4929630216 8.7132969126 0.6181242324
0.02000 0.0022479428 0.1874251825 0.6325209945 0.0000000000 0.0001304648 0.0010934140 0.0010619028 0.0000000000 7.5169028540 0.3860882161 7.9163782937 0.3613579241
0.03000 0.0021052431 0.1707988441 0.5807864231 0.0000000000 0.0001447546 0.0008905916 0.0012454446 0.0000000000 6.9028077129 0.4305890809 7.1440730246 0.3777038860
0.04000 0.0019750470 0.1568815513 0.5363153731 0.0000000000 0.0001350231 0.0010207653 0.0011485296 0.0000000000 6.3904082738 0.2736420399 6.5751255080 0.3239572219
0.05000 0.0018148274 0.1444113592 0.4979060992 0.0000000000 0.0001258593 0.0006929949 0.0008088207 0.0000000000 6.0553244567 0.3641044825 6.2138829729 0.3472965669
0.06000 0.0017111719 0.1340645719 0.4641653989 0.0000000000 0.0001227126 0.0007938300 0.0010361502 0.0000000000 5.6359403343 0.2198509374 5.6915801095 0.3017442255
0.07000 0.0016681062 0.1248471135 0.4341826291 0.0000000000 0.0001103098 0.0006958652 0.0009998936 0.0000000000 5.3751676952 0.2509143023 5.3627045987 0.2630238026
0.08000 0.0015422955 0.1165061954 0.4079530457 0.0000000000 0.0000827653 0.0006282995 0.0009838401 0.0000000000 5.1030916967 0.2110749146 5.0562039014 0.2413704718
0.09000 0.0014678180 0.1089897610 0.3843879423 0.0000000000 0.0001019245 0.0008170025 0.0011277505 0.0000000001 4.8469196936 0.2344604267 4.7104774241 0.2702223826
0.10000 0.0013818270 0.1024537041 0.3628765917 0.0000000002 0.0001040366 0.0006003263 0.0010290518 0.0000000001 4.7482798621 0.2015802746 4.5108457062 0.2176480010
0.11000 0.0013486732 0.0965740251 0.3436027281 0.0000000004 0.0000862294 0.0007242344 0.0012705749 0.0000000002 4.5073121834 0.1601078790 4.2487488263 0.1159623986
