#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 2
#Anisotropy: g = 0.6
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9921
#
#alpha T A L_eff
0.01000 0.5586003799 0.5823209455 58.2320945452
0.05000 0.4045378533 0.9050099663 18.1001993269
0.09000 0.3141412026 1.1579127044 12.8656967156
0.13000 0.2562073769 1.3617680965 10.4751392040
0.17000 0.2133206722 1.5449587420 9.0879926000
0.21000 0.1835129621 1.6954699756 8.0736665505
0.25000 0.1582716280 1.8434425576 7.3737702303
0.29000 0.1392940714 1.9711679587 6.7971308921
0.33000 0.1231655699 2.0942257317 6.3461385808
0.37000 0.1103023131 2.2045303820 5.9581902217
0.41000 0.0988797597 2.3138507159 5.6435383314
0.45000 0.0890469975 2.4185909868 5.3746466373
0.49000 0.0814689207 2.5075336721 5.1174156573
0.53000 0.0748493990 2.5922771970 4.8910890510
0.57000 0.0674364052 2.6965702697 4.7308250345
0.61000 0.0624453824 2.7734629859 4.5466606327
0.65000 0.0582266630 2.8434119028 4.3744798505
0.69000 0.0531387815 2.9348482695 4.2534032891
0.73000 0.0496014174 3.0037358698 4.1147066710
0.77000 0.0461559442 3.0757295254 3.9944539291
0.81000 0.0429123899 3.1485946860 3.8871539333
0.85000 0.0399313824 3.2205927374 3.7889326323
0.89000 0.0375772917 3.2813553563 3.6869161306
0.93000 0.0350278221 3.3516126153 3.6038845326
0.97000 0.0327742044 3.4181135234 3.5238283746
