#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 3
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9802
#
#alpha T A L_eff
0.01000 0.6405946091 0.4453584573 44.5358457256
0.02000 0.5912153421 0.5255749589 26.2787479433
0.03000 0.5400714836 0.6160537712 20.5351257061
0.04000 0.4962952473 0.7005842727 17.5146068168
0.05000 0.4619736948 0.7722473273 15.4449465454
0.06000 0.4463408442 0.8066723942 13.4445399039
0.07000 0.4170871850 0.8744600023 12.4922857469
0.08000 0.3968599269 0.9241718896 11.5521486204
0.09000 0.3781210650 0.9725408570 10.8060095221
0.10000 0.3563075229 1.0319610927 10.3196109266
0.11000 0.3398104378 1.0793673528 9.8124304801
0.12000 0.3273916416 1.1165981440 9.3049845333
0.13000 0.3102614071 1.1703400881 9.0026160620
0.14000 0.2881022207 1.2444399288 8.8888566343
0.15000 0.2799180423 1.2732584246 8.4883894974
0.16000 0.2742445251 1.2937351434 8.0858446460
0.17000 0.2569701705 1.3587952687 7.9929133455
0.18000 0.2529632979 1.3745108682 7.6361714902
0.19000 0.2406109486 1.4245739711 7.4977577426
0.20000 0.2338116328 1.4532394757 7.2661973784
0.21000 0.2314573848 1.4633595054 6.9683785969
0.22000 0.2174392024 1.5258359968 6.9356181673
0.23000 0.2072774379 1.5736971034 6.8421613191
0.24000 0.1992652315 1.6131185199 6.7213271663
0.25000 0.1921600304 1.6494267622 6.5977070489
0.26000 0.1890215684 1.6658941517 6.4072851988
0.27000 0.1841397935 1.6920600623 6.2668891197
0.28000 0.1766032534 1.7338495687 6.1923198881
0.29000 0.1676676629 1.7857714555 6.1578326053
0.30000 0.1675783487 1.7863042839 5.9543476129
0.31000 0.1568347296 1.8525627058 5.9760087285
0.32000 0.1547818387 1.8657386458 5.8304332682
0.33000 0.1496288789 1.8995971910 5.7563551242
0.34000 0.1473610202 1.9148697836 5.6319699517
0.35000 0.1439345860 1.9383963466 5.5382752761
0.36000 0.1404644068 1.9628011547 5.4522254298
0.37000 0.1358618609 1.9961166384 5.3949098336
0.38000 0.1387588267 1.9750179128 5.1974155600
0.39000 0.1298943724 2.0410336791 5.2334196899
0.40000 0.1266167411 2.0665905417 5.1664763542
0.41000 0.1187774606 2.1305036158 5.1963502824
0.42000 0.1200024548 2.1202430802 5.0481978099
0.43000 0.1160443376 2.1537829400 5.0087975349
0.44000 0.1162831947 2.1517267297 4.8902880220
0.45000 0.1058180860 2.2460338292 4.9911862871
0.46000 0.1063038915 2.2414533853 4.8727247507
0.47000 0.1066293977 2.2383960298 4.7625447444
0.48000 0.1023893296 2.2789727752 4.7478599483
0.49000 0.0989110767 2.3135340475 4.7214980561
0.50000 0.0955579424 2.3480224889 4.6960449778
