#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.98
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 30
#Delta R: d_R = 0.025
#Seed: 33
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0586432900 0.8337844000 0.1075723100 0.0002561220 0.0004251940 0.0003333637 2.1927231143 0.0072427857 1.5055142584 0.0134250862
0.32500 0.0557938000 0.8163346600 0.1278715400 0.0002124446 0.0003727215 0.0003286516 2.7941807780 0.0090230366 2.1975115036 0.0149447271
0.35000 0.0532477900 0.7982361600 0.1485160500 0.0002014187 0.0003827387 0.0003432927 3.4664458841 0.0158926611 2.9288427867 0.0248859915
0.37500 0.0509134100 0.7796341200 0.1694524700 0.0002287616 0.0004096798 0.0003417836 4.2162426710 0.0183975401 3.7196459632 0.0251335538
0.40000 0.0488742100 0.7604650900 0.1906607000 0.0002205551 0.0004239062 0.0004062102 5.0388369709 0.0204105180 4.5797835702 0.0318391785
0.42500 0.0468413700 0.7410749600 0.2120836700 0.0002141726 0.0004237036 0.0003873425 5.9361309129 0.0243037063 5.5097006901 0.0377946435
0.45000 0.0450194800 0.7214654400 0.2335150800 0.0001908524 0.0004607844 0.0004198580 6.9022783761 0.0318777504 6.5016363834 0.0464835380
0.47500 0.0433083900 0.7018188000 0.2548728100 0.0002022396 0.0004643251 0.0004462354 7.9469413046 0.0332088926 7.5710906949 0.0512122285
0.50000 0.0416682800 0.6820967900 0.2762349300 0.0002146767 0.0004602044 0.0004402176 9.0461127420 0.0407062122 8.6911632394 0.0546846454
0.52500 0.0401443400 0.6625561200 0.2972995400 0.0001999371 0.0004860860 0.0004716624 10.2092148901 0.0400228273 9.8770667028 0.0649436985
0.55000 0.0386639000 0.6432988500 0.3180372500 0.0001867176 0.0004395331 0.0004527184 11.4462720833 0.0599056827 11.1323041589 0.0891354831
0.57500 0.0372381100 0.6241856200 0.3385762700 0.0001918026 0.0005218961 0.0005234327 12.7305099043 0.0627379073 12.4408097026 0.0845590529
0.60000 0.0358855000 0.6054383000 0.3586762000 0.0001915250 0.0004014983 0.0004263167 14.0688751488 0.0699456318 13.8054054254 0.1139805564
0.62500 0.0346116500 0.5870668400 0.3783215100 0.0002003331 0.0005349504 0.0005223260 15.4804195192 0.0806327869 15.2338791482 0.1209450484
0.65000 0.0334051300 0.5688396700 0.3977552000 0.0001878199 0.0005128373 0.0005091559 16.8772816747 0.0885179487 16.6696691358 0.1243665366
0.67500 0.0322046300 0.5513131000 0.4164822700 0.0001754960 0.0004862445 0.0005289752 18.3556880845 0.0954324912 18.1446137525 0.1501908896
0.70000 0.0310973200 0.5341864100 0.4347162700 0.0001839131 0.0005748237 0.0005466297 19.8925827218 0.1108129648 19.7055281955 0.1647076607
0.72500 0.0300104400 0.5173756600 0.4526139000 0.0001776229 0.0004473556 0.0004757049 21.4420082706 0.1250784937 21.2573478910 0.1900253942
0.75000 0.0289419000 0.5011834100 0.4698746900 0.0001768435 0.0004641907 0.0004685064 23.0099245410 0.1398250872 22.8573196624 0.2062674479
0.77500 0.0279878700 0.4854210300 0.4865911000 0.0001666312 0.0004865719 0.0004788080 24.6109592083 0.1434389227 24.4779930031 0.1967187095
0.80000 0.0270209000 0.4701933900 0.5027857100 0.0001534920 0.0004813842 0.0004780244 26.2744811317 0.1593417436 26.1590653613 0.2422901632
0.82500 0.0261329700 0.4553727600 0.5184942700 0.0001695066 0.0005105624 0.0005234062 27.9466418302 0.1508794476 27.8516122818 0.2135479226
0.85000 0.0252521300 0.4410209600 0.5337269100 0.0001482265 0.0004673004 0.0004577364 29.6220189427 0.1927579616 29.5332390789 0.2676472707
0.87500 0.0243969200 0.4272897300 0.5483133500 0.0001415435 0.0005465405 0.0005584765 31.3350801475 0.1954060453 31.2681659748 0.2745186227
0.90000 0.0236219300 0.4140237600 0.5623543100 0.0001530730 0.0004985146 0.0005039088 33.0979429127 0.2437053895 33.0573228635 0.3145566865
0.92500 0.0228203500 0.4011807400 0.5759989100 0.0001627851 0.0005036932 0.0005238899 34.8452787225 0.2254691147 34.7851089189 0.3366882322
0.95000 0.0220802200 0.3886489800 0.5892708000 0.0001276055 0.0005132575 0.0005355732 36.5632116990 0.2504949978 36.5586573885 0.3533818896
0.97500 0.0213807500 0.3766844700 0.6019347800 0.0001468713 0.0004920961 0.0005098522 38.3570555478 0.2526677944 38.3831179070 0.3556838948
1.00000 0.0206549200 0.3651243600 0.6142207200 0.0001303175 0.0004606109 0.0004609911 40.1330074787 0.3007397396 40.1268917008 0.4146628995
1.02500 0.0200159000 0.3539808500 0.6260032500 0.0001413229 0.0005015968 0.0005137655 41.9693593597 0.2962750024 42.0733546837 0.4333509580
