#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 5
#Number of R-values: N_R = 20
#Delta R: d_R = 0.025
#Seed: 21
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.37500 0.0550840000 0.8536840000 0.0912320000 0.0007571856 0.0009675123 0.0003739251 4.5191352970 0.0304330522 4.0403885603 0.0737165025
0.40000 0.0527940000 0.8428380000 0.1043680000 0.0007825791 0.0009159531 0.0006529701 5.4836625133 0.0533743151 5.0469542265 0.0678573646
0.42500 0.0520920000 0.8302980000 0.1176100000 0.0008315768 0.0018647708 0.0011485426 6.4963991920 0.1096937057 6.0699278500 0.1043644177
0.45000 0.0500120000 0.8195060000 0.1304820000 0.0007041449 0.0006463204 0.0008492762 7.7272474080 0.0311561783 7.3640257014 0.1694179705
0.47500 0.0489060000 0.8060200000 0.1450740000 0.0009626941 0.0018460363 0.0014498724 8.9909206988 0.1199383145 8.6607154885 0.1234515267
0.50000 0.0471480000 0.7936560000 0.1591960000 0.0009005942 0.0008413858 0.0004368982 10.3235114762 0.0875615117 9.9450167393 0.0998315968
0.52500 0.0461640000 0.7807340000 0.1731020000 0.0009799133 0.0016888694 0.0011911633 11.9597397400 0.1045298025 11.7740577513 0.2414932350
0.55000 0.0454540000 0.7663500000 0.1881960000 0.0003581620 0.0012922848 0.0013601765 13.4053417477 0.2395276259 13.3857283179 0.3391134325
0.57500 0.0440360000 0.7535980000 0.2023660000 0.0002847455 0.0005270389 0.0004197976 15.2565520575 0.4133179701 14.9955940844 0.5511927595
0.60000 0.0423560000 0.7407640000 0.2168800000 0.0005919290 0.0012724897 0.0007833901 16.9075217389 0.3385729846 16.6268733521 0.2237365333
0.62500 0.0418920000 0.7279860000 0.2301220000 0.0008832440 0.0011878047 0.0005766455 19.1105807879 0.3940919072 19.0146242342 0.7117428972
0.65000 0.0409360000 0.7127400000 0.2463240000 0.0004814873 0.0015083600 0.0016759564 20.9820300930 0.2624520030 21.1688375334 0.6088988760
0.67500 0.0401000000 0.6993760000 0.2605240000 0.0003440203 0.0017520360 0.0017387869 23.2086542916 0.3889587172 23.0104012230 0.3491155159
0.70000 0.0387900000 0.6855180000 0.2756920000 0.0003518522 0.0011859680 0.0011806015 25.4278249746 0.3837757329 25.2755684149 0.6390662892
0.72500 0.0381680000 0.6713440000 0.2904880000 0.0005937339 0.0015194341 0.0020159663 27.2925273956 0.3686353206 26.8814435251 0.3848883870
0.75000 0.0372580000 0.6588340000 0.3039080000 0.0004570777 0.0009710973 0.0009756383 29.9365573068 0.1701445083 29.8498117801 0.2964370368
0.77500 0.0365320000 0.6441620000 0.3193060000 0.0006543470 0.0013814196 0.0010838035 32.2816030112 0.3237392572 32.2629613515 0.2924916655
0.80000 0.0349700000 0.6328020000 0.3322280000 0.0006070008 0.0012569089 0.0013900611 35.1060916405 0.4197377705 35.0379221505 0.8733181414
0.82500 0.0347920000 0.6177540000 0.3474540000 0.0005755606 0.0012332396 0.0016463991 37.3592536624 0.6199878402 37.2209107731 0.7881318290
0.85000 0.0338600000 0.6028800000 0.3632600000 0.0005389805 0.0004096950 0.0006173735 40.5777579954 0.7170847827 40.2550051868 1.2209750559
