#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1001
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.42000 0.0009419000 0.0285180500 0.9705400500 0.0000355600 0.0001149460 0.0001127855 2.3828626367 0.0395673078 1.3402490081 0.1217235843
0.43000 0.0009215500 0.0274681000 0.9716103500 0.0000348387 0.0001918697 0.0001833597 2.3662143996 0.0361716047 1.3015243753 0.1071581998
0.44000 0.0008860500 0.0265249500 0.9725890000 0.0000244615 0.0001637172 0.0001684290 2.3285798927 0.0416276462 1.1794733775 0.1075487836
0.45000 0.0008892500 0.0256576000 0.9734531500 0.0000371991 0.0001341674 0.0001339832 2.3325888732 0.0438832075 1.1799664017 0.0948714696
0.46000 0.0008540500 0.0247356500 0.9744103000 0.0000287008 0.0001716466 0.0001800000 2.3119113826 0.0441650965 1.1449031821 0.1298687782
0.47000 0.0008458000 0.0239498500 0.9752043500 0.0000324258 0.0001619630 0.0001649131 2.2999412592 0.0432493222 1.1242307190 0.1136149015
0.48000 0.0008219000 0.0231011000 0.9760770000 0.0000248700 0.0001979524 0.0002011119 2.2947423956 0.0353165352 1.1220009279 0.0920257678
0.49000 0.0008048000 0.0223878500 0.9768073500 0.0000349219 0.0001450830 0.0001542913 2.2580518109 0.0510398042 1.0376696979 0.1328868296
0.50000 0.0007721500 0.0216031000 0.9776247500 0.0000337783 0.0001184118 0.0001310150 2.2656767523 0.0474969524 1.0532597724 0.1108726821
0.51000 0.0007620500 0.0209143000 0.9783236500 0.0000262247 0.0001650541 0.0001668940 2.2504973515 0.0319867312 1.0035367186 0.0864267834
