#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.3
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1002
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.76000 0.0053655000 0.0646130000 0.9300215000 0.0001805102 0.0010189732 0.0010432050 1.5729868796 0.0360787563 0.8858689844 0.0724456581
0.77000 0.0053770000 0.0633100000 0.9313130000 0.0002210763 0.0006777284 0.0007068321 1.5775597360 0.0477976418 0.9153091516 0.0919663919
0.78000 0.0051500000 0.0621120000 0.9327380000 0.0002189448 0.0006272547 0.0007142504 1.5735155388 0.0304975318 0.8965075006 0.0762361818
0.79000 0.0051545000 0.0608100000 0.9340355000 0.0002191725 0.0006983891 0.0007241872 1.5501575698 0.0387239950 0.8665250643 0.0594862557
0.80000 0.0049485000 0.0599055000 0.9351460000 0.0002011879 0.0007953515 0.0008227771 1.5547356996 0.0376068045 0.8672223231 0.0670772229
0.81000 0.0050465000 0.0585885000 0.9363650000 0.0001758670 0.0008628733 0.0008246498 1.5537608660 0.0405338655 0.8642102466 0.0754545765
0.82000 0.0048465000 0.0574865000 0.9376670000 0.0002178912 0.0007687945 0.0007907831 1.5213572017 0.0332200290 0.8128903730 0.0384110061
0.83000 0.0047975000 0.0566135000 0.9385890000 0.0002228021 0.0007676298 0.0008346944 1.5222817039 0.0395351789 0.8108495434 0.0630535909
0.84000 0.0047020000 0.0553300000 0.9399680000 0.0001957872 0.0005915190 0.0006068087 1.5132397292 0.0355942141 0.8000947822 0.0811833851
0.85000 0.0047190000 0.0542500000 0.9410310000 0.0001711847 0.0007216574 0.0006903843 1.5113139240 0.0348836130 0.8014767902 0.0672907037
0.86000 0.0046755000 0.0533935000 0.9419310000 0.0002674534 0.0006431851 0.0007138989 1.5125826442 0.0300840609 0.8142380460 0.0634456572
0.87000 0.0045905000 0.0520800000 0.9433295000 0.0002136518 0.0006523641 0.0006851314 1.4988554812 0.0424031136 0.7521519736 0.0594370051
0.88000 0.0044455000 0.0515730000 0.9439815000 0.0002260292 0.0006940279 0.0007777043 1.4905323008 0.0371551376 0.7694612022 0.0677548166
0.89000 0.0043190000 0.0504085000 0.9452725000 0.0002150618 0.0006087111 0.0005633067 1.4913455557 0.0330134923 0.7554194465 0.0656225240
0.90000 0.0044085000 0.0492765000 0.9463150000 0.0002025697 0.0006196372 0.0006484922 1.4706941059 0.0347265721 0.7300022478 0.0656390815
0.91000 0.0042020000 0.0484115000 0.9473865000 0.0001670991 0.0006112479 0.0006700689 1.4800081770 0.0310910057 0.7550477905 0.0628065881
0.92000 0.0041950000 0.0477005000 0.9481045000 0.0001933772 0.0006598602 0.0006499431 1.4708210116 0.0370638519 0.7277923306 0.0658387453
0.93000 0.0040725000 0.0467880000 0.9491395000 0.0001864876 0.0006652313 0.0006885643 1.4634627273 0.0470386437 0.7224383450 0.0808265270
0.94000 0.0040675000 0.0460255000 0.9499070000 0.0002669491 0.0006338228 0.0007347545 1.4597883260 0.0351034429 0.7284155081 0.0623556410
0.95000 0.0039615000 0.0450485000 0.9509900000 0.0002166315 0.0006032916 0.0006559044 1.4634397368 0.0379688080 0.7151603107 0.0721775137
0.96000 0.0039995000 0.0441855000 0.9518150000 0.0001608685 0.0005609154 0.0005981683 1.4596356702 0.0279479886 0.7266685148 0.0522155651
0.97000 0.0037970000 0.0434790000 0.9527240000 0.0001641597 0.0006404595 0.0006174259 1.4434497532 0.0279016756 0.6952811003 0.0636741120
0.98000 0.0038595000 0.0429070000 0.9532335000 0.0001804811 0.0006816783 0.0007101985 1.4482868907 0.0375439018 0.6947733508 0.0766947649
0.99000 0.0038320000 0.0420590000 0.9541090000 0.0001928075 0.0005575123 0.0005453333 1.4197351481 0.0368678015 0.6515349330 0.0693172111
1.00000 0.0036800000 0.0414740000 0.9548460000 0.0002346330 0.0006219528 0.0006630901 1.4345590590 0.0396740505 0.6654815692 0.0810998554
1.01000 0.0036965000 0.0406255000 0.9556780000 0.0002044576 0.0009457688 0.0009582034 1.4277382419 0.0233674644 0.6624292661 0.0485826721
1.02000 0.0037030000 0.0399055000 0.9563915000 0.0001769954 0.0006250514 0.0005999761 1.4271244708 0.0250700092 0.6859826107 0.0731791857
1.03000 0.0035805000 0.0392410000 0.9571785000 0.0001627551 0.0008113789 0.0008628184 1.4202233451 0.0344315783 0.6606730818 0.0674654140
1.04000 0.0035260000 0.0384820000 0.9579920000 0.0002078309 0.0005585281 0.0005293352 1.4145579310 0.0422797301 0.6461308283 0.0713953894
