#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha-values: N_alpha_s = 40
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 19001
#
#alpha T A L_eff
0.10000 0.9435028249 0.0581559202 0.5815592016
0.20000 0.9682203390 0.0322955947 0.1614779735
0.30000 0.9272598870 0.0755214000 0.2517379998
0.40000 0.8813559322 0.1262937253 0.3157343133
0.50000 0.8898305085 0.1167242743 0.2334485486
0.60000 0.9000706215 0.1052820504 0.1754700841
0.70000 0.8682909605 0.1412284126 0.2017548751
0.80000 0.8707627119 0.1383857711 0.1729822139
0.90000 0.8926553672 0.1135546995 0.1261718884
1.00000 0.8764124294 0.1319184890 0.1319184890
1.10000 0.8679378531 0.1416351647 0.1287592406
1.20000 0.8361581921 0.1789374588 0.1491145490
1.30000 0.8520480226 0.1601123892 0.1231633763
1.40000 0.8125000000 0.2076393648 0.1483138320
1.50000 0.8149717514 0.2046018272 0.1364012181
1.60000 0.8259180791 0.1912596882 0.1195373051
1.70000 0.7962570621 0.2278332029 0.1340195311
1.80000 0.8153248588 0.2041686455 0.1134270253
1.90000 0.7471751412 0.2914556618 0.1533977168
2.00000 0.7683615819 0.2634948468 0.1317474234
2.10000 0.7761299435 0.2534353199 0.1206834856
2.20000 0.7718926554 0.2589097861 0.1176862664
2.30000 0.7994350282 0.2238500155 0.0973260937
2.40000 0.7500000000 0.2876820725 0.1198675302
2.50000 0.7782485876 0.2507092845 0.1002837138
2.60000 0.7662429379 0.2662560083 0.1024061570
2.70000 0.7584745763 0.2764459992 0.1023874071
2.80000 0.7471751412 0.2914556618 0.1040913078
2.90000 0.7733050847 0.2570816320 0.0886488386
3.00000 0.7655367232 0.2671780923 0.0890593641
3.10000 0.7733050847 0.2570816320 0.0829295587
3.20000 0.7457627119 0.2933478100 0.0916711906
3.30000 0.7754237288 0.2543456522 0.0770744401
3.40000 0.7598870056 0.2745855335 0.0807604510
3.50000 0.8008474576 0.2220847900 0.0634527971
3.60000 0.7701271186 0.2611996886 0.0725554691
3.70000 0.7821327684 0.2457307723 0.0664137223
3.80000 0.7711864407 0.2598251179 0.0683750310
3.90000 0.7655367232 0.2671780923 0.0685072031
4.00000 0.7418785311 0.2985697540 0.0746424385
