#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha_s-values: N_alpha_s = 40
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 19001
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0066800000 0.6031375000 0.3901825000 0.0000000000 0.0000739369 0.0023181224 0.0023540656 0.0000000000 21.2225056592 0.6608584169 24.5573877692 1.1229130799
0.20000 0.0068550000 0.6052025000 0.3879425000 0.0000000000 0.0003774034 0.0011282250 0.0013414762 0.0000000000 20.6352947812 0.8343978874 23.3479661885 1.4915246870
0.30000 0.0065650000 0.6039975000 0.3894375000 0.0000000000 0.0000660808 0.0011680860 0.0011393383 0.0000000000 22.0542238672 1.1838514020 24.8162118348 1.6406023707
0.40000 0.0062400000 0.6048600000 0.3889000000 0.0000000000 0.0002299275 0.0024934180 0.0025213885 0.0000000000 22.6978993004 0.7736153911 25.5603028579 0.8671228208
0.50000 0.0063000000 0.6046050000 0.3890950000 0.0000000000 0.0002879815 0.0013146482 0.0014721526 0.0000000000 22.5604130316 1.2072980069 24.6769625877 1.4642564244
0.60000 0.0063725000 0.6032575000 0.3903700000 0.0000000000 0.0003974397 0.0012869441 0.0016081459 0.0000000000 22.6776814256 1.0877687334 24.9806797635 1.1287202288
0.70000 0.0061475000 0.6041925000 0.3896600000 0.0000000000 0.0002544766 0.0010777252 0.0012218292 0.0000000000 23.6965537861 0.9264773073 25.5458065178 0.7000796560
0.80000 0.0061650000 0.6042425000 0.3895925000 0.0000000000 0.0002063169 0.0009856428 0.0010411972 0.0000000000 23.8117397313 1.5878507299 25.3372025196 1.9519334563
0.90000 0.0063200000 0.6036900000 0.3899900000 0.0000000000 0.0000852447 0.0017290653 0.0017137678 0.0000000000 23.7379590616 0.5401847807 24.7157355170 0.9722121040
1.00000 0.0062050000 0.6051700000 0.3886250000 0.0000000000 0.0002131510 0.0024889489 0.0022877427 0.0000000000 23.5827029504 0.5783713626 24.5499842113 1.1312508244
1.10000 0.0061450000 0.6057075000 0.3881475000 0.0000000000 0.0002455606 0.0012607240 0.0012084529 0.0000000000 23.8256629657 1.2434003680 25.4436191160 2.1750284301
1.20000 0.0059200000 0.6039550000 0.3901250000 0.0000000000 0.0001807392 0.0012788146 0.0013028303 0.0000000000 24.3508376486 0.8063491786 25.3249926726 1.5141160908
1.30000 0.0060325000 0.6042600000 0.3897075000 0.0000000000 0.0000963933 0.0005872535 0.0005945517 0.0000000000 24.6756390204 1.0060242928 25.1392600974 1.5009115484
1.40000 0.0057525000 0.6038550000 0.3903925000 0.0000000000 0.0003919503 0.0016777862 0.0019624708 0.0000000000 24.8964448111 0.8857948744 26.2654575078 0.8786932797
1.50000 0.0057700000 0.6043700000 0.3898600000 0.0000000000 0.0001444530 0.0012923622 0.0012758788 0.0000000000 24.8580831102 1.5985116655 25.6280887652 1.7051182168
1.60000 0.0058475000 0.6043025000 0.3898500000 0.0000000000 0.0001728921 0.0017978019 0.0017493046 0.0000000000 24.8636518240 1.0009783316 25.1677844948 1.6725220409
1.70000 0.0056375000 0.6041025000 0.3902600000 0.0000000000 0.0004211393 0.0016401499 0.0016790672 0.0000000000 24.8368144507 0.6839582247 24.8719916675 1.1021135718
1.80000 0.0057725000 0.6042725000 0.3899550000 0.0000000000 0.0001734695 0.0021964118 0.0021670641 0.0000000000 24.8047900293 1.7538538848 25.6083389795 0.9361280421
1.90000 0.0052900000 0.6041125000 0.3905975000 0.0000000000 0.0001186030 0.0004596647 0.0004470925 0.0000000000 25.6383082867 1.0694148688 26.2196131943 1.7300893489
2.00000 0.0054400000 0.6043075000 0.3902525000 0.0000000000 0.0003987480 0.0027351097 0.0024978441 0.0000000000 24.6367278463 0.4030496391 24.8220258896 0.6209917008
2.10000 0.0054950000 0.6045700000 0.3899350000 0.0000000000 0.0002452889 0.0008552193 0.0007394367 0.0000000000 25.5597652716 1.1053948083 25.6161986290 1.9995487519
2.20000 0.0054650000 0.6045950000 0.3899400000 0.0000000000 0.0002368544 0.0006627971 0.0005907058 0.0000000000 25.6142562642 0.8755286544 25.3362378136 1.3340876123
2.30000 0.0056600000 0.6039325000 0.3904075000 0.0000000000 0.0001453731 0.0011109868 0.0010168046 0.0000000000 25.0189381408 0.1911150733 24.0840184991 0.9114891870
2.40000 0.0053100000 0.6033250000 0.3913650000 0.0000000000 0.0001998333 0.0007450503 0.0007794656 0.0000000000 26.1746494423 0.5542524299 27.0200768953 1.8264241495
