#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha_s-values: N_alpha_s = 20
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 19000
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0064650000 0.6048975000 0.3886375000 0.0000000000 0.0001488847 0.0010922874 0.0012174393 0.0000000000 21.3400406545 0.8869917433 24.6652871347 1.4613212950
0.20000 0.0064450000 0.6042550000 0.3893000000 0.0000000000 0.0000680686 0.0008606393 0.0008773825 0.0000000000 22.1404736796 0.6784052963 25.6518597865 1.3124046845
0.30000 0.0061725000 0.6043800000 0.3894475000 0.0000000000 0.0001770828 0.0011003939 0.0009315355 0.0000000000 22.3655735967 1.0850470214 24.4556571037 0.6729509705
0.40000 0.0060025000 0.6046300000 0.3893675000 0.0000000000 0.0001913766 0.0022645529 0.0020988787 0.0000000000 23.9421538432 1.3889664834 25.8154628132 1.3193858845
0.50000 0.0060475000 0.6034700000 0.3904825000 0.0000000000 0.0002035313 0.0007292919 0.0009189260 0.0000000000 24.6361946371 0.9069601855 26.8471529343 1.7177796273
0.60000 0.0062850000 0.6043850000 0.3893300000 0.0000000000 0.0000624500 0.0013402860 0.0013892684 0.0000000000 23.9824040364 1.0684386729 24.7822807903 1.3926775872
0.70000 0.0057475000 0.6048125000 0.3894400000 0.0000000000 0.0001450000 0.0012869959 0.0011723481 0.0000000000 25.0016113695 0.7209416781 26.0239124171 1.1304157652
0.80000 0.0056575000 0.6077000000 0.3866425000 0.0000000000 0.0000650000 0.0009782978 0.0010296075 0.0000000000 24.4834179691 0.9420998243 25.3485570278 1.4606302337
0.90000 0.0058325000 0.6050525000 0.3891150000 0.0000000000 0.0002599199 0.0016384825 0.0015059548 0.0000000000 25.1893970301 0.2627691478 26.5318504955 2.0135301324
1.00000 0.0055025000 0.6064575000 0.3880400000 0.0000000000 0.0002123480 0.0013421966 0.0013646001 0.0000000000 25.7461965484 1.3216407286 26.3099606782 0.5403193892
1.10000 0.0056200000 0.6060350000 0.3883450000 0.0000000000 0.0002133854 0.0014431101 0.0012926072 0.0000000000 26.0867920892 0.5558807751 27.4298471402 1.8605193491
1.20000 0.0055100000 0.6069675000 0.3875225000 0.0000000000 0.0003069202 0.0006577424 0.0007433875 0.0000000000 25.4206551590 0.9334099811 26.1056119853 1.6403522909
1.30000 0.0055450000 0.6070150000 0.3874400000 0.0000000000 0.0000544671 0.0009614052 0.0009427973 0.0000000000 25.7365727869 1.1278260172 25.9696015328 1.8298178559
1.40000 0.0052625000 0.6078975000 0.3868400000 0.0000000000 0.0002185368 0.0019801242 0.0018987540 0.0000000000 25.6653687000 1.6847674689 25.3047923268 2.1520904554
1.50000 0.0052450000 0.6082950000 0.3864600000 0.0000000000 0.0004186088 0.0009625487 0.0013358393 0.0000000000 27.2408600583 1.2765832101 27.9060522651 2.3773168275
1.60000 0.0053650000 0.6078400000 0.3867950000 0.0000000000 0.0001929594 0.0007568796 0.0007939144 0.0000000000 26.8864929805 0.8509520443 27.8380083182 1.3763501586
1.70000 0.0053600000 0.6073175000 0.3873225000 0.0000000000 0.0002412468 0.0023986020 0.0026151402 0.0000000000 27.0355700413 0.2421998567 26.6583681818 1.1024963143
1.80000 0.0052325000 0.6078675000 0.3869000000 0.0000000000 0.0002892951 0.0007850000 0.0008763941 0.0000000000 26.7395960080 0.6362807027 26.9809788168 1.1626123241
1.90000 0.0052000000 0.6090725000 0.3857275000 0.0000000000 0.0001708801 0.0023817693 0.0023346574 0.0000000000 26.4969274695 0.4767492928 26.5097403402 0.9383446454
2.00000 0.0050675000 0.6085625000 0.3863675000 0.0000000000 0.0002058114 0.0002266238 0.0003879326 0.0000000000 27.7140617117 0.9650502181 26.4513560432 1.0763548136
