#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 18
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 13002
#
#alpha T A L_eff
0.10000 0.9875940305 0.0124835659 0.1248356595
0.40000 0.9576838880 0.0432375262 0.1080938156
0.70000 0.9363695708 0.0657450398 0.0939214854
1.00000 0.9140987016 0.0898167248 0.0898167248
1.30000 0.8985134742 0.1070135765 0.0823181358
1.60000 0.8812415024 0.1264235676 0.0790147297
1.90000 0.8698125304 0.1394775729 0.0734092489
2.20000 0.8566997346 0.1546677897 0.0703035408
2.50000 0.8482441063 0.1645868235 0.0658347294
2.80000 0.8406238180 0.1736110223 0.0620039365
3.10000 0.8338403303 0.1817133455 0.0586172082
3.40000 0.8256329673 0.1916049537 0.0563543982
3.70000 0.8201433806 0.1982760996 0.0535881350
4.00000 0.8133277644 0.2066210964 0.0516552741
4.30000 0.8111780779 0.2092676708 0.0486669002
4.60000 0.8051875791 0.2166800111 0.0471043502
4.90000 0.8008327115 0.2221032033 0.0453271844
5.20000 0.7968852911 0.2270445363 0.0436624108
