#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 10
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 19000
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0034592000 0.2283683000 0.7681725000 0.0000000000 0.0001739655 0.0013358053 0.0013480022 0.0000000000 7.4088620901 0.5084249184 8.8987682875 0.8153053556
0.20000 0.0033857000 0.2283782000 0.7682361000 0.0000000000 0.0001679602 0.0012591703 0.0012511465 0.0000000000 7.4667108378 0.4972789302 8.8853616734 0.7025532504
0.30000 0.0033143000 0.2286425000 0.7680432000 0.0000000000 0.0001815715 0.0013954474 0.0014083237 0.0000000000 7.6265363335 0.4774803225 8.9597191752 0.7556797015
0.40000 0.0033013000 0.2286109000 0.7680878000 0.0000000000 0.0001950325 0.0012943951 0.0012983911 0.0000000000 7.6611040579 0.4426251920 9.0208227325 0.7339784341
0.50000 0.0032105000 0.2285002000 0.7682893000 0.0000000000 0.0001604940 0.0012880829 0.0012844330 0.0000000000 7.8113413878 0.5352356538 9.1222590214 0.8459589407
0.60000 0.0031583000 0.2288072000 0.7680345000 0.0000000000 0.0001461427 0.0015513872 0.0015460960 0.0000000000 7.9560207288 0.5064170887 9.1180697758 0.8556089597
0.70000 0.0030973000 0.2287202000 0.7681825000 0.0000000000 0.0001736294 0.0012746748 0.0012883451 0.0000000000 7.8851790068 0.5464507320 8.8946188241 0.8410746467
0.80000 0.0030723000 0.2288246000 0.7681031000 0.0000000000 0.0001757458 0.0012951381 0.0012887334 0.0000000000 8.1111481002 0.5281186210 9.2527175107 0.7935972784
0.90000 0.0030362000 0.2289451000 0.7680187000 0.0000000000 0.0001601248 0.0013809421 0.0013550241 0.0000000000 8.2419048421 0.5787911276 9.2883134569 0.8836309705
1.00000 0.0029795000 0.2291242000 0.7678963000 0.0000000000 0.0001766488 0.0013102472 0.0012954736 0.0000000000 8.2552119665 0.5120313042 9.2094808428 0.8009972554
