#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 18
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 13002
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0067625600 0.6043761600 0.3888612800 0.0000000000 0.0000868205 0.0004879317 0.0004806298 0.0000000000 21.3966468100 0.2965453391 24.8117472184 0.4334603121
0.40000 0.0065577500 0.6043452400 0.3890970100 0.0000000000 0.0000819872 0.0004701861 0.0004919006 0.0000000000 21.9717484004 0.2905235713 25.0445372403 0.4164071427
0.70000 0.0064118000 0.6044338300 0.3891543700 0.0000000000 0.0000725822 0.0004651751 0.0004603931 0.0000000000 22.4902875379 0.3208303058 25.1467215352 0.4943652580
1.00000 0.0062593000 0.6044351700 0.3893055300 0.0000000000 0.0000845963 0.0005081612 0.0005070088 0.0000000000 22.9831615788 0.2856707929 25.2539420782 0.4195957355
1.30000 0.0061525800 0.6043612200 0.3894862000 0.0000000000 0.0000673520 0.0004929604 0.0004814016 0.0000000000 23.4062907900 0.2990504234 25.3482267154 0.5013296152
1.60000 0.0060343100 0.6043243900 0.3896413000 0.0000000000 0.0000912338 0.0005284302 0.0005351915 0.0000000000 23.8060975718 0.3002079939 25.5350315366 0.4476013820
1.90000 0.0059560500 0.6043646500 0.3896793000 0.0000000000 0.0000840575 0.0005254723 0.0005307913 0.0000000000 24.1190422062 0.3254308170 25.5300537391 0.4918908499
2.20000 0.0058662600 0.6042543200 0.3898794200 0.0000000000 0.0000761983 0.0004685188 0.0004525717 0.0000000000 24.3999857676 0.3520387778 25.5879358328 0.5040324983
2.50000 0.0058083600 0.6042674600 0.3899239600 0.0000000000 0.0000735455 0.0004786076 0.0004735785 0.0000000000 24.6440748005 0.3014879256 25.5911659283 0.4515798557
2.80000 0.0057561800 0.6042308500 0.3900118500 0.0000000000 0.0000745279 0.0004492139 0.0004545137 0.0000000000 24.8887215203 0.3206740271 25.6284453826 0.4782651048
3.10000 0.0057097300 0.6041801400 0.3901057700 0.0000000000 0.0000641096 0.0004828133 0.0004923101 0.0000000000 25.1846335089 0.3443108153 25.7015210208 0.4809839289
3.40000 0.0056535300 0.6040448500 0.3902885300 0.0000000000 0.0000738630 0.0004974582 0.0004986484 0.0000000000 25.3562444836 0.3105337913 25.7278209676 0.4645665887
3.70000 0.0056159400 0.6040462700 0.3903065800 0.0000000000 0.0000672763 0.0004912216 0.0004847525 0.0000000000 25.4649392752 0.3463574310 25.7172185493 0.4723115807
4.00000 0.0055692700 0.6038677300 0.3904946800 0.0000000000 0.0000692652 0.0004595717 0.0004595265 0.0000000000 25.6561624437 0.3831082624 25.7344216476 0.4805779867
4.30000 0.0055545500 0.6038094000 0.3905004700 0.0000000000 0.0000742742 0.0005360168 0.0005410852 0.0000000000 25.7982638590 0.2973104576 25.6774824520 0.3542526859
4.60000 0.0055135300 0.6036483000 0.3905906400 0.0000000000 0.0000819497 0.0005100082 0.0005163673 0.0000000000 25.9172673620 0.3424514010 25.6885024450 0.4803692199
4.90000 0.0054837100 0.6034290800 0.3906785600 0.0000000000 0.0000685267 0.0005326821 0.0005293977 0.0000000000 25.9284172162 0.3149363459 25.5292907109 0.4440384240
5.20000 0.0054566800 0.6032167600 0.3906799600 0.0000000000 0.0000708860 0.0005078212 0.0005108663 0.0000000000 26.0418220244 0.3672549022 25.4660048562 0.4641464468
