#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 10
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 19000
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0034522200 0.2283559300 0.7681918500 0.0000000000 0.0000631251 0.0004144461 0.0004255600 0.0000000000 7.3849090191 0.1425923435 8.8484381961 0.2426541995
0.40000 0.0032737200 0.2285984400 0.7681278400 0.0000000000 0.0000638032 0.0004656349 0.0004736189 0.0000000000 7.7266293491 0.1688778860 9.0693934329 0.2882026172
0.70000 0.0031290000 0.2287782900 0.7680927100 0.0000000000 0.0000519777 0.0003691391 0.0003725159 0.0000000000 7.9823036832 0.1580338418 9.1909284287 0.2811565803
1.00000 0.0029901400 0.2289809300 0.7680289300 0.0000000000 0.0000570847 0.0004125885 0.0004090597 0.0000000000 8.2474892469 0.1507120862 9.2976705502 0.2342001290
1.30000 0.0028537000 0.2292376000 0.7679087000 0.0000000000 0.0000575042 0.0004558275 0.0004503013 0.0000000000 8.5034091968 0.1576865384 9.3789800470 0.2488558804
1.60000 0.0027703100 0.2294876900 0.7677420000 0.0000000000 0.0000496456 0.0004565947 0.0004592822 0.0000000000 8.7013125474 0.1884086408 9.4565381885 0.3143937629
1.90000 0.0026843000 0.2296499900 0.7676657100 0.0000000000 0.0000528498 0.0004509782 0.0004568964 0.0000000000 8.9024632807 0.1901688793 9.4461906372 0.2733427299
2.20000 0.0026093000 0.2297345400 0.7676561600 0.0000000000 0.0000492108 0.0004819104 0.0004785819 0.0000000000 9.1125673745 0.1893275264 9.5532261409 0.2645459872
2.50000 0.0025442600 0.2299948700 0.7674608700 0.0000000000 0.0000542321 0.0004212459 0.0004102049 0.0000000000 9.3200813357 0.2169807370 9.6475565335 0.2962103689
2.80000 0.0024747800 0.2301334500 0.7673917700 0.0000000000 0.0000526319 0.0004456686 0.0004525364 0.0000000000 9.4475548187 0.1952621568 9.6401116029 0.2887312884
