#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 10
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 19001
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0033624500 0.2286222900 0.7680152600 0.0000000000 0.0000638575 0.0004549086 0.0004648029 0.0000000000 7.5942694763 0.1315245356 8.9930095331 0.2391514994
0.40000 0.0029648900 0.2299291800 0.7671059300 0.0000000000 0.0000575773 0.0004412490 0.0004405377 0.0000000000 8.2746788780 0.1778854360 9.2852291875 0.2595460849
0.70000 0.0026820500 0.2311931200 0.7661248300 0.0000000000 0.0000584397 0.0004231668 0.0004158788 0.0000000000 8.8991894298 0.1674279156 9.5115690982 0.2816991209
1.00000 0.0024942500 0.2325971300 0.7649086200 0.0000000000 0.0000477750 0.0004110710 0.0004123117 0.0000000000 9.4025239031 0.1900664648 9.7213905957 0.2991176836
1.30000 0.0023649500 0.2339455300 0.7636895200 0.0000000000 0.0000499902 0.0004129723 0.0004151415 0.0000000000 9.7911100503 0.2104707582 9.8379610567 0.2777827923
1.60000 0.0022564800 0.2354779200 0.7622656000 0.0000000000 0.0000489187 0.0004015421 0.0003995277 0.0000000000 10.0827362540 0.2238626550 9.9234083706 0.3133006817
1.90000 0.0021954700 0.2370541700 0.7607503600 0.0000000000 0.0000529077 0.0004718055 0.0004726441 0.0000000000 10.2483633670 0.1994379097 9.9387182564 0.3000294461
2.20000 0.0021478100 0.2386077400 0.7592444500 0.0000000000 0.0000473783 0.0004273238 0.0004290571 0.0000000000 10.3470287091 0.2122134521 9.9555767707 0.3120177119
2.50000 0.0021243300 0.2402419500 0.7576337200 0.0000000000 0.0000473643 0.0004675269 0.0004684094 0.0000000000 10.4809753054 0.1982146859 10.0402962878 0.2619010586
2.80000 0.0020840400 0.2420019900 0.7559139700 0.0000000000 0.0000485888 0.0004320253 0.0004380977 0.0000000000 10.5319642176 0.2363135718 10.0938523523 0.3506796377
