#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 18
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 13001
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0034638400 0.2282853500 0.7682508100 0.0000000000 0.0000618589 0.0004407242 0.0004417214 0.0000000000 7.4143690102 0.1513792592 8.9144372546 0.2333532487
0.40000 0.0032772600 0.2285882400 0.7681345000 0.0000000000 0.0000528089 0.0004612363 0.0004622732 0.0000000000 7.7162361845 0.1589726946 9.0790276540 0.2441343516
0.70000 0.0031346700 0.2287778500 0.7680874800 0.0000000000 0.0000533479 0.0004489361 0.0004402835 0.0000000000 7.9928529607 0.1383986369 9.1423174390 0.2408392508
1.00000 0.0029932100 0.2289830300 0.7680237600 0.0000000000 0.0000515263 0.0004137035 0.0004103061 0.0000000000 8.2384755606 0.1626940147 9.2677545710 0.2568776493
1.30000 0.0028816900 0.2292939400 0.7678243700 0.0000000000 0.0000519595 0.0003958294 0.0004001473 0.0000000000 8.4908665378 0.1831559083 9.3659755439 0.2972988653
1.60000 0.0027641700 0.2294210300 0.7678148000 0.0000000000 0.0000501797 0.0003743213 0.0003798182 0.0000000000 8.7219306636 0.1899730543 9.4484854787 0.2588239248
1.90000 0.0026779400 0.2296533100 0.7676687500 0.0000000000 0.0000537649 0.0004301426 0.0004360442 0.0000000000 8.9063735917 0.1813847654 9.4783375127 0.2727044698
2.20000 0.0026042900 0.2298398000 0.7675559100 0.0000000000 0.0000429835 0.0004599319 0.0004634954 0.0000000000 9.1655984902 0.2181233764 9.6128579041 0.2966003149
2.50000 0.0025485100 0.2299843600 0.7674671300 0.0000000000 0.0000438868 0.0003769041 0.0003832138 0.0000000000 9.3218883897 0.1990945158 9.6288831107 0.2673729009
2.80000 0.0024893800 0.2302803400 0.7672302800 0.0000000000 0.0000574189 0.0003854001 0.0003784367 0.0000000000 9.4716700086 0.1998733549 9.7143477258 0.2908026713
3.10000 0.0024337400 0.2303790500 0.7671872100 0.0000000000 0.0000534462 0.0004057842 0.0004080836 0.0000000000 9.6490254967 0.1878378215 9.7768548346 0.2897426326
3.40000 0.0023899000 0.2305969300 0.7670131700 0.0000000000 0.0000468025 0.0003998714 0.0003988921 0.0000000000 9.7489385472 0.1854896111 9.7690827831 0.2938855008
3.70000 0.0023528400 0.2307285400 0.7669186200 0.0000000000 0.0000526242 0.0004131621 0.0004188837 0.0000000000 9.8572575311 0.2032166032 9.7483373241 0.3107890038
4.00000 0.0023137100 0.2309014900 0.7667848000 0.0000000000 0.0000465883 0.0004159046 0.0004222372 0.0000000000 10.0117783064 0.2193956277 9.8211026408 0.2966353930
4.30000 0.0022858800 0.2311632000 0.7665509200 0.0000000000 0.0000493659 0.0004655206 0.0004634115 0.0000000000 10.0833733432 0.1887540621 9.8436830259 0.2608098577
4.60000 0.0022681200 0.2313316400 0.7664002300 0.0000000000 0.0000449274 0.0004027414 0.0004068639 0.0000000000 10.1617066853 0.1998498020 9.8871371428 0.3080304879
4.90000 0.0022312800 0.2315754500 0.7661932700 0.0000000000 0.0000456524 0.0004157171 0.0004206343 0.0000000000 10.2788635750 0.2239134322 9.9248914063 0.3072681385
5.20000 0.0022338600 0.2317612200 0.7660049200 0.0000000000 0.0000464341 0.0003810831 0.0003722705 0.0000000000 10.3248050395 0.2020408967 9.8751422519 0.2541698861
