#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 10
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 19002
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0033256300 0.2293356900 0.7673386800 0.0000000000 0.0000492150 0.0004045574 0.0004062935 0.0000000000 7.6226828334 0.1615766511 9.0352630156 0.2600556770
0.40000 0.0028614800 0.2330611600 0.7640773600 0.0000000000 0.0000585087 0.0003897590 0.0003899232 0.0000000000 8.4521532384 0.1781527594 9.3753533750 0.2492584584
0.70000 0.0025534500 0.2367002000 0.7607463500 0.0000000000 0.0000484175 0.0003957552 0.0003935951 0.0000000000 9.1151922461 0.1909142440 9.6437014041 0.2977602405
1.00000 0.0023772000 0.2405715700 0.7570512300 0.0000000000 0.0000459185 0.0003859400 0.0003785763 0.0000000000 9.6042420195 0.2221183675 9.8493413633 0.3039094442
1.30000 0.0022518300 0.2445323300 0.7532158400 0.0000000000 0.0000455592 0.0004542648 0.0004564936 0.0000000000 9.8875725004 0.1979320677 9.9564557387 0.3138405300
1.60000 0.0021743100 0.2487828100 0.7490428800 0.0000000000 0.0000455369 0.0004597840 0.0004600415 0.0000000000 10.0659052101 0.2353842151 10.0763962419 0.3349758676
1.90000 0.0021148000 0.2528631900 0.7450220100 0.0000000000 0.0000451894 0.0004339413 0.0004322686 0.0000000000 10.1577736570 0.2012565089 10.0924583431 0.2651302136
2.20000 0.0020786500 0.2572008800 0.7407204700 0.0000000000 0.0000441376 0.0004044847 0.0004047837 0.0000000000 10.1824978256 0.2431462713 10.1712116917 0.3123870618
2.50000 0.0020623400 0.2615109800 0.7364266800 0.0000000000 0.0000447063 0.0004256174 0.0004333724 0.0000000000 10.0859208754 0.2289557481 10.1379778732 0.3073630444
2.80000 0.0020446800 0.2659735500 0.7319817700 0.0000000000 0.0000452294 0.0004016171 0.0004026809 0.0000000000 10.0595027458 0.2117245143 10.2596596858 0.3140287337
