#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha-values: N_alpha_s = 40
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 19002
#
#alpha T A L_eff
0.10000 0.9124008652 0.0916758403 0.9167584033
0.20000 0.9441240087 0.0574977564 0.2874887818
0.30000 0.9170872386 0.0865526764 0.2885089214
0.40000 0.8648161500 0.1452383380 0.3630958451
0.50000 0.8734679164 0.1352838801 0.2705677601
0.60000 0.8583273252 0.1527697544 0.2546162573
0.70000 0.8395818313 0.1748513310 0.2497876157
0.80000 0.8273251622 0.1895574784 0.2369468480
0.90000 0.8172314348 0.2018329504 0.2242588337
1.00000 0.8103821197 0.2102493899 0.2102493899
1.10000 0.8157894737 0.2035989552 0.1850899593
1.20000 0.8374188897 0.1774308681 0.1478590568
1.30000 0.7855082913 0.2414242659 0.1857109738
1.40000 0.7801009373 0.2483319609 0.1773799721
1.50000 0.8139870224 0.2058108562 0.1372072374
1.60000 0.7725306417 0.2580836054 0.1613022534
1.70000 0.7703677001 0.2608873456 0.1534631444
1.80000 0.7714491709 0.2594844929 0.1441580516
1.90000 0.7764960346 0.2529637432 0.1331388122
2.00000 0.7674837779 0.2646379360 0.1323189680
2.10000 0.7718096611 0.2590173123 0.1233415773
2.20000 0.7426099495 0.2975843391 0.1352656087
2.30000 0.7782984859 0.2506451704 0.1089761610
2.40000 0.7613554434 0.2726549560 0.1136062317
2.50000 0.7440519106 0.2956444743 0.1182577897
2.60000 0.7534246575 0.2831262559 0.1088947138
2.70000 0.7768565249 0.2524995983 0.0935183698
2.80000 0.7469358327 0.2917759975 0.1042057134
2.90000 0.7682047585 0.2636989688 0.0909306789
3.00000 0.7386445566 0.3029384526 0.1009794842
3.10000 0.7573900505 0.2778769000 0.0896377097
3.20000 0.7490987743 0.2888844292 0.0902763841
3.30000 0.7458543619 0.2932249231 0.0888560373
3.40000 0.7390050469 0.3024505287 0.0889560379
3.50000 0.7725306417 0.2580836054 0.0737381730
3.60000 0.7588320115 0.2759748548 0.0766596819
3.70000 0.7548666186 0.2812142094 0.0760038404
3.80000 0.7332372026 0.3102860243 0.0816542169
3.90000 0.7253064167 0.3211610697 0.0823489922
4.00000 0.7674837779 0.2646379360 0.0661594840
