#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 18
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 13000
#
#alpha T A L_eff
0.10000 0.9752610695 0.0250500802 0.2505008019
0.40000 0.9064532049 0.0982158719 0.2455396797
0.70000 0.8473340308 0.1656602927 0.2366575610
1.00000 0.7969757388 0.2269310413 0.2269310413
1.30000 0.7537517026 0.2826922721 0.2174555939
1.60000 0.7190398168 0.3298385448 0.2061490905
1.90000 0.6860572083 0.3767942607 0.1983127688
2.20000 0.6581518842 0.4183195472 0.1901452487
2.50000 0.6350000987 0.4541301247 0.1816520499
2.80000 0.6120930967 0.4908708892 0.1753110319
3.10000 0.5921708747 0.5239600460 0.1690193697
3.40000 0.5732514756 0.5564307831 0.1636561127
3.70000 0.5627810569 0.5748646130 0.1553688143
4.00000 0.5530844701 0.5922445404 0.1480611351
4.30000 0.5406834199 0.6149213473 0.1430049645
4.60000 0.5323568312 0.6304412791 0.1370524520
4.90000 0.5207138204 0.6525546772 0.1331744239
5.20000 0.5127030815 0.6680583899 0.1284727673
